"regulator","gene_name","gene_id","effect","evidence","source","category","regulator_label","Use","regulator_id","prsn_in_gBnb"
"AaeR","aaeA","b3241","+","STRONG","RegulonDB_TF","TF",NA,NA,"b3243","Yes"
"AaeR","aaeB","b3240","+","STRONG","RegulonDB_TF","TF",NA,NA,"b3243","Yes"
"AaeR","aaeX","b3242","+","STRONG","RegulonDB_TF","TF",NA,NA,"b3243","Yes"
"AccB","accB","b3255","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3255","Yes"
"AccB","accC","b3256","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3255","Yes"
"AcrR","acrA","b0463","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464","Yes"
"AcrR","acrB","b0462","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464","Yes"
"AcrR","acrR","b0464","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464","Yes"
"AcrR","flhC","b1891","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464",NA
"AcrR","flhD","b1892","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464","Yes"
"AcrR","marA","b1531","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464","Yes"
"AcrR","marB","b1532","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464",NA
"AcrR","marR","b1530","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464","Yes"
"AcrR","micF","b4439","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464",NA
"AcrR","soxR","b4063","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464","Yes"
"AcrR","soxS","b4062","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0464","Yes"
"Ada","aidB","b4187","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2213","Yes"
"Ada","alkA","b2068","+","STRONG","RegulonDB_TF","TF",NA,NA,"b2213","Yes"
"AdiY","adiA","b4117","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116","Yes"
"AdiY","gadA","b3517","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116",NA
"AdiY","gadB","b1493","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116",NA
"AdiY","gadC","b1492","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116",NA
"AdiY","gadX","b3516","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116","Yes"
"AdiY","gltB","b3212","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116","Yes"
"AdiY","gltD","b3213","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116","Yes"
"AdiY","gltF","b3214","+","STRONG","RegulonDB_TF","TF",NA,NA,"b4116",NA
"AgaR","agaB","b3138","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131",NA
"AgaR","agaC","b3139","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131",NA
"AgaR","agaD","b3140","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131",NA
"AgaR","agaI","b3141","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131",NA
"AgaR","agaR","b3131","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131","Yes"
"AgaR","agaS","b3136","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131",NA
"AgaR","agaV","b3133","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131","Yes"
"AgaR","kbaY","b3137","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131",NA
"AgaR","kbaZ","b3132","-","STRONG","RegulonDB_TF","TF",NA,NA,"b3131","Yes"
"AidB","aidB","b4187","-","STRONG","RegulonDB_TF","TF",NA,NA,"b4187","Yes"
"AlaS","alaS","b2697","-","STRONG","RegulonDB_TF","TF",NA,NA,"b2697","Yes"
"AllR","allA","b0505","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506","Yes"
"AllR","allB","b0512","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506","Yes"
"AllR","allS","b0504","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506",NA
"AllR","gcl","b0507","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506","Yes"
"AllR","glxK","b0514","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506","Yes"
"AllR","glxR","b0509","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506",NA
"AllR","hyi","b0508","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506",NA
"AllR","ybbW","b0511","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506",NA
"AllR","ybbY","b0513","-","STRONG","RegulonDB_TF","TF",NA,NA,"b0506","Yes"
