regulator,target
AaeR,aaeA
AaeR,aaeB
AaeR,aaeX
AccB,AccB
AccB,accC
AcrR,acrA
AcrR,acrB
AcrR,AcrR
AcrR,FlhDC
AcrR,MarA
AcrR,marB
AcrR,MarR
AcrR,micF
AcrR,SoxR
AcrR,SoxS
Ada,AidB
Ada,alkA
AdiY,adiA
AdiY,gadA
AdiY,gadB
AdiY,gadC
AdiY,GadX
AdiY,gltB
AdiY,gltD
AdiY,gltF
AgaR,agaB
AgaR,agaC
AgaR,agaD
AgaR,agaI
AgaR,AgaR
AgaR,agaS
AgaR,agaV
AgaR,kbaY
AgaR,kbaZ
AidB,AidB
AlaS,AlaS
AllR,allA
AllR,allB
AllR,AllS
AllR,gcl
AllR,glxK
AllR,glxR
AllR,hyi
AllR,ybbW
AllR,ybbY
AllS,allC
AllS,allD
AllS,allE
AlpA,PhoB
AlpA,phoR
AlsR,alsA
AlsR,alsB
AlsR,alsC
AlsR,alsE
AlsR,AlsR
AlsR,rpiB
AppY,appA
AppY,appB
AppY,appC
AppY,appX
AppY,hyaA
AppY,hyaB
AppY,hyaC
AppY,hyaD
AppY,hyaE
AppY,hyaF
AraC,araE
AraC,araF
AraC,araG
AraC,araH
AraC,araJ
AraC,xylA
AraC,xylB
AraC,ydeM
AraC,ydeN
AraC,ygeA
ArcA,aceA
ArcA,aceB
ArcA,aceE
ArcA,aceF
ArcA,aceK
ArcA,ackA
ArcA,acnA
ArcA,acnB
ArcA,aldA
ArcA,appA
ArcA,appB
ArcA,appC
ArcA,appX
ArcA,AppY
ArcA,arcZ
ArcA,betA
ArcA,betB
ArcA,BetI
ArcA,betT
ArcA,cadA
ArcA,cadB
ArcA,caiA
ArcA,caiB
ArcA,caiC
ArcA,caiD
ArcA,caiE
ArcA,caiT
ArcA,citC
ArcA,citD
ArcA,citE
ArcA,citF
ArcA,citG
ArcA,citX
ArcA,cydA
ArcA,cydB
ArcA,cydC
ArcA,cydD
ArcA,cyoA
ArcA,cyoB
ArcA,cyoC
ArcA,cyoD
ArcA,cyoE
ArcA,dctA
ArcA,dcuC
ArcA,DpiA
ArcA,dpiB
ArcA,fadA
ArcA,fadB
ArcA,fadD
ArcA,fadE
ArcA,fadH
ArcA,fadI
ArcA,fadJ
ArcA,fadL
ArcA,Fnr
ArcA,focA
ArcA,fumA
ArcA,fumB
ArcA,fumC
ArcA,gadA
ArcA,GadE
ArcA,GadE-RcsB
ArcA,gadF
ArcA,GadX
ArcA,gatA
ArcA,gatB
ArcA,gatD
ArcA,gatY
ArcA,gatZ
ArcA,glcA
ArcA,glcB
ArcA,glcD
ArcA,glcE
ArcA,glcF
ArcA,glcG
ArcA,glpA
ArcA,glpB
ArcA,glpC
ArcA,glpD
ArcA,gltA
ArcA,grcA
ArcA,hemA
ArcA,hyaA
ArcA,hyaB
ArcA,hyaC
ArcA,hyaD
ArcA,hyaE
ArcA,hyaF
ArcA,hybA
ArcA,hybB
ArcA,hybC
ArcA,hybD
ArcA,hybE
ArcA,hybF
ArcA,hybG
ArcA,hybO
ArcA,icd
ArcA,iraM
ArcA,lldD
ArcA,lldP
ArcA,LldR
ArcA,lpd
ArcA,mdh
ArcA,moeA
ArcA,moeB
ArcA,ndh
ArcA,nuoA
ArcA,nuoB
ArcA,nuoC
ArcA,nuoE
ArcA,nuoF
ArcA,nuoG
ArcA,nuoH
ArcA,nuoI
ArcA,nuoJ
ArcA,nuoK
ArcA,nuoL
ArcA,nuoM
ArcA,nuoN
ArcA,ompW
ArcA,oppA
ArcA,oppB
ArcA,oppC
ArcA,oppD
ArcA,oppF
ArcA,pflB
ArcA,prfA
ArcA,prmC
ArcA,ptsG
ArcA,puuA
ArcA,puuB
ArcA,puuC
ArcA,puuD
ArcA,puuE
ArcA,puuP
ArcA,PuuR
ArcA,rhaT
ArcA,rmf
ArcA,rplB
ArcA,rplC
ArcA,rplD
ArcA,rplP
ArcA,rplV
ArcA,rplW
ArcA,rpmC
ArcA,RpoS
ArcA,rpsC
ArcA,rpsJ
ArcA,rpsQ
ArcA,rpsS
ArcA,rsd
ArcA,rutA
ArcA,rutB
ArcA,rutC
ArcA,rutD
ArcA,rutE
ArcA,rutF
ArcA,rutG
ArcA,sodA
ArcA,ssb
ArcA,tpx
ArcA,treB
ArcA,treC
ArcA,ubiA
ArcA,ubiC
ArcA,uvrA
ArcA,XylR
ArcA,ybdN
ArcA,ydeA
ArcA,ymjE
ArgP,argO
ArgP,ArgP
ArgP,dapB
ArgP,dapD
ArgP,DnaA
ArgP,dnaN
ArgP,gdhA
ArgP,lysA
ArgP,lysC
ArgP,lysP
ArgP,nrdA
ArgP,nrdB
ArgP,recF
ArgP,yfaE
ArgR,argA
ArgR,argB
ArgR,argC
ArgR,argD
ArgR,argE
ArgR,argF
ArgR,argG
ArgR,argH
ArgR,argI
ArgR,ArgR
ArgR,artI
ArgR,artJ
ArgR,artM
ArgR,artP
ArgR,artQ
ArgR,astA
ArgR,astB
ArgR,astC
ArgR,astD
ArgR,astE
ArgR,carA
ArgR,carB
ArgR,gltB
ArgR,gltD
ArgR,gltF
ArgR,hisJ
ArgR,hisM
ArgR,hisP
ArgR,hisQ
ArgR,infB
ArgR,lysO
ArgR,metY
ArgR,nusA
ArgR,pnp
ArgR,rbfA
ArgR,rimP
ArgR,rpsO
ArgR,truB
ArsR,arsB
ArsR,arsC
ArsR,ArsR
AscG,ascB
AscG,ascF
AscG,htpG
AscG,PrpR
AscG,ybiT
AsnC,asnA
AsnC,AsnC
AsnC,mioC
AsnC,mnmG
AtoC,atoA
AtoC,atoB
AtoC,atoD
AtoC,atoE
BaeR,acrD
BaeR,BaeR
BaeR,baeS
BaeR,mdtA
BaeR,mdtB
