Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Regulated,Regulated_Bnb,Inhibited,Inhibited_Bnb,Activated,Activated_Bnb
DNA-binding transcriptional repressor FrmR,FrmR,frmR,b0357,frmR,TF,"frmR,frmA,frmB","b0357,b0356,b0355","frmR,frmA,frmB","b0357,b0356,b0355",,
DNA-binding transcriptional repressor DgoR,DgoR,dgoR,b4479,dgoR,TF,"dgoR,dgoK,dgoA,dgoD,dgoT","b4479,b3693,b4477,b4478,b3691","dgoR,dgoK,dgoA,dgoD,dgoT","b4479,b3693,b4477,b4478,b3691",,
DNA-binding transcriptional dual regulator AsnC,AsnC,asnC,b3743,asnC,TF,"mnmG,mioC,asnC,asnA","b3741,b3742,b3743,b3744","mnmG,mioC,asnC","b3741,b3742,b3743",asnA,b3744
Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,RelB,relB,b1564,relB,TF,"hokD,relE,relB","b1562,b1563,b1564","hokD,relE,relB","b1562,b1563,b1564",,
DNA-binding transcriptional dual regulator AraC,AraC,araC,b0064,araC,TF,"yjfF,ytfT,ytfR,ytfQ,araC,araD,araA,araB","b4231,b4230,b4485,b4227,b0064,b0061,b0062,b0063","yjfF,ytfT,ytfR,ytfQ,ydeM,ydeN,xylB,xylA,araC,araD,araA,araB","b4231,b4230,b4485,b4227,b1497,b1498,b3564,b3565,b0064,b0061,b0062,b0063","ygeA,araE,araH,araG,araF,araJ,araC,araD,araA,araB","b2840,b2841,b4460,b1900,b1901,b0396,b0064,b0061,b0062,b0063"
DNA-binding transcriptional dual regulator Lrp,Lrp,lrp,b0889,lrp,TF,"zntR,zitB,zipA,ytjB,ytfJ,ytfB,yqeG,yoeG,yodC,yoaH,ynjH,ykgE,yjiL,yjfP,yjeH,yjbR,yiiM,yicH,yibT,yibL,yiaG,yhjR,yhjJ,yhiM,yhhA,yhdW,yhdV,yhdN,yhcN,yhbY,ygiW,ygiV,yfiB,yfaP,tsuA,yebF,yeaG,yeaE,ydhQ,ydgH,ydeN,ydeE,ydcL,ydcK,yciZ,yciT,ychE,ycgB,ycfJ,yceB,trhO,ybjX,ybjN,ybiT,ybiO,ybiI,ybhQ,ybgA,ybeX,ybdL,ybdG,ybdF,yaiY,yagU,yaeQ,yacL,yabQ,yaaX,wecB,upp,ubiA,trxB,treA,topA,thiC,sulA,sthA,sstT,sroH,soxS,slyX,slyA,serS,sad,rseA,rsd,rpsH,rpoN,rplR,rplF,rpiB,rpiA,rnr,rlmE,ribE,rhtB,relA,radD,qseB,pyrI,purT,purM,ptsN,pspG,proP,prlF,ppsA,ppk,polA,pntA,pncB,phoH,phoA,pgl,panZ,pal,pabB,ompT,nusB,nuoA,napF,nac,mutY,mscS,mscK,msbA,modA,mnmA,metT,metH,menA,manA,lpxL,lolA,lipA,leuO,leuL,leuA,ldhA,katE,iraP,iraD,intZ,insH3,insC5,ibpB,ibpA,htrE,hspQ,hpf,hlyE,groS,groL,gpt,gltP,glnQ,glnL,glnK,glnH,glnA,glgC,glcA,gdhA,gadY,gadW,gadB,fxsA,fumA,frdB,frdA,fliA,fadL,fadI,exbB,eptB,eno,emrD,dtpB,dppA,dhaK,dgcZ,dgcQ,dgcM,dgcJ,deoB,dedA,deaD,cysB,cydC,rdcA,creA,cpoB,clpS,clpP,chbG,cbl,can,btuE,bssS,borD,atpH,atpA,astC,aspS,aspC,asnB,asnA,artP,artI,aroG,argT,argS,argR,argA,arcB,aphA,amiC,alaS,alaE,alaA,aer,acrZ,yzgL,ytfK,yqeF,yjiC,yjeM,yjbQ,yjbJ,yhjE,yhhW,patA,yfcZ,yfcC,yehL,yciN,ycaM,ybjS,ybiJ,ybgS,uspE,tyrR,tyrP,dtpA,thrL,serB,sdaC,ppx,potF,pepD,mtr,mqo,metK,lrhA,lolC,livJ,leuE,ftsQ,eco,cycA,csiE,brnQ,avtA,aspA,ansB,aceB,ridA,fau,ssrS,cadA,cadB,lysP,adhE,lysU,gcvP,gcvH,gcvT,osmC,serA,sdaA,oppA,oppB,oppC,oppD,oppF,aidB,malT,tdh,kbl,osmY,stpA,livF,livG,livM,livH,livK,gltB,gltD,gltF,lrp,micF,fimE,fimD,fimH,fimG,fimF,fimC,fimI,fimA,dadX,dadA,ilvX,ilvG,ilvA,ilvD,ilvE,ilvM,ilvL,serC,aroA,ompC,ilvI,ilvH","b3292,b0752,b2412,b4387,b4216,b4206,b2845,b4640,b1957,b1811,b1760,b0306,b4334,b4190,b4141,b4057,b3910,b3655,b4554,b3602,b3555,b3535,b3527,b3491,b3448,b3268,b3267,b3293,b3238,b3180,b3024,b3023,b2605,b2225,b2013,b1847,b1783,b1781,b1664,b1604,b1498,b1534,b1431,b1428,b4596,b1284,b1242,b1188,b1110,b1063,b1055,b0877,b0853,b0820,b0808,b0803,b0791,b0707,b0658,b0600,b0577,b0579,b0379,b0287,b0190,b0119,b0057,b0005,b3786,b2498,b4040,b0888,b1197,b1274,b3994,b0958,b3962,b3089,b4691,b4062,b3348,b1642,b0893,b1525,b2572,b3995,b3306,b3202,b3304,b3305,b4090,b2914,b4179,b3179,b0415,b3824,b2784,b2184,b3025,b4244,b1849,b2499,b3204,b4050,b4111,b3129,b1702,b2501,b3863,b1603,b0931,b1020,b0383,b0767,b3459,b0741,b1812,b0565,b0416,b2288,b2208,b1988,b2961,b2924,b0465,b0914,b0763,b1133,b0673,b4019,b3930,b1613,b1054,b0891,b0628,b0076,b0075,b0074,b1380,b1732,b0382,b4326,b2442,b0656,b3044,b3686,b3687,b0139,b0966,b3203,b1182,b4142,b4143,b0238,b4077,b0809,b3869,b0450,b0811,b3870,b3430,b2975,b1761,b4452,b3515,b1493,b4140,b1612,b4153,b4154,b1922,b2344,b2342,b3006,b3546,b2779,b3673,b3496,b3544,b1200,b1535,b1956,b1341,b1786,b4383,b2317,b3162,b1275,b0886,b4109,b4397,b0742,b0881,b0437,b1733,b1987,b0126,b1710,b1060,b0557,b3735,b3734,b1748,b1866,b0928,b0674,b3744,b0864,b0863,b0754,b2310,b1876,b3237,b2818,b3210,b4055,b2817,b2697,b2670,b2290,b3072,b0762,b3427,b4217,b2844,b4325,b4156,b4056,b4045,b3523,b3439,b3073,b2343,b2298,b2119,b1273,b0899,b0868,b0802,b0753,b1333,b1323,b1907,b1634,b0001,b4388,b2796,b2502,b0854,b0237,b3161,b2210,b2942,b2289,b1116,b3460,b1798,b0093,b2209,b4208,b2535,b0401,b3572,b4139,b2957,b4014,b4243,b2912,b2911,b4131,b4132,b2156,b1241,b4129,b2903,b2904,b2905,b1482,b2913,b1814,b1243,b1244,b1245,b1246,b1247,b4187,b3418,b3616,b3617,b4376,b2669,b3454,b3455,b3456,b3457,b3458,b3212,b3213,b3214,b0889,b4439,b4313,b4317,b4320,b4319,b4318,b4316,b4315,b4314,b1190,b1189,b4669,b4488,b3772,b3771,b3770,b3769,b3766,b0907,b0908,b2215,b0077,b0078","artP,ytfJ,ytfB,yqeG,yodC,yjiL,yiiM,yiaG,yhiM,yhcN,yhbY,ygiW,ygiV,yfiB,tsuA,yebF,yeaE,ydeE,ychE,ycgB,yceB,trhO,ybjN,ybiT,ybiO,ybhQ,ybgA,ybeX,ybdL,ybdG,wecB,upp,trxB,treA,topA,thiC,sthA,sstT,sroH,slyA,serS,serC,rpsH,rpoN,rplR,rplF,rpiA,rnr,ridA,ribE,radD,qseB,purM,ptsN,ppsA,ppk,polA,pncB,pgl,panZ,pal,pabB,nusB,nuoA,napF,mutY,mscS,mscK,msbA,mnmA,metT,metH,manA,lysP,lpxL,lolA,leuO,leuA,kbl,katE,iraD,intZ,hpf,hlyE,groS,groL,gpt,gltP,glgC,glcA,gdhA,gcvT,gadW,gadB,fxsA,frdB,frdA,fliA,fadI,emrD,dtpB,dppA,dhaK,dgcQ,dgcM,dgcJ,deoB,dedA,deaD,cysB,cydC,creA,cpoB,btuE,atpH,atpA,astC,aspS,aspA,artI,aroG,aroA,argS,argR,argA,arcB,aphA,ansB,amiC,alaS,alaE,aer,acrZ,ytfK,yjiC,yjeM,yjbQ,yjbJ,yhhW,patA,yfcZ,yfcC,yehL,yciN,ycaM,ybjS,ybiJ,ybgS,uspE,tyrR,tyrP,dtpA,thrL,sdaC,ppx,potF,pepD,mtr,mqo,metK,ftsQ,eco,cycA,csiE,brnQ,fau,ssrS,ilvH,ilvI,adhE,lysU,osmC,sdaA,oppA,oppB,oppC,oppD,oppF,aidB,osmY,livF,livG,livM,livH,livK,lrp,dadX,dadA,leuE,avtA,alaA,yhiD,hdeB,hdeA,rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD,rrfH,rrlH,alaV,ileV,rrsH,rrfG,rrlG,gltW,rrsG,rrfE,rrlE,gltV,rrsE,rrfC,rrlC,gltU,rrsC,rrfA,rrlA,alaT,ileT,rrsA,serA,livJ,micF,rrfB,rrlB,gltT,rrsB,ilvX,ilvG,ilvA,ilvD,ilvE,ilvM,ilvL,ompC","b0864,b4216,b4206,b2845,b1957,b4334,b3910,b3555,b3491,b3238,b3180,b3024,b3023,b2605,b2013,b1847,b1781,b1534,b1242,b1188,b1063,b1055,b0853,b0820,b0808,b0791,b0707,b0658,b0600,b0577,b3786,b2498,b0888,b1197,b1274,b3994,b3962,b3089,b4691,b1642,b0893,b0907,b3306,b3202,b3304,b3305,b2914,b4179,b4243,b0415,b2184,b3025,b2499,b3204,b1702,b2501,b3863,b0931,b0767,b3459,b0741,b1812,b0416,b2288,b2208,b2961,b2924,b0465,b0914,b1133,b0673,b4019,b1613,b2156,b1054,b0891,b0076,b0074,b3617,b1732,b4326,b2442,b3203,b1182,b4142,b4143,b0238,b4077,b3430,b2975,b1761,b2905,b3515,b1493,b4140,b4153,b4154,b1922,b2342,b3673,b3496,b3544,b1200,b1956,b1341,b1786,b4383,b2317,b3162,b1275,b0886,b4397,b0742,b1710,b3735,b3734,b1748,b1866,b4139,b0863,b0754,b0908,b1876,b3237,b2818,b3210,b4055,b2957,b2817,b2697,b2670,b3072,b0762,b4217,b4325,b4156,b4056,b4045,b3439,b3073,b2343,b2298,b2119,b1273,b0899,b0868,b0802,b0753,b1333,b1323,b1907,b1634,b0001,b2796,b2502,b0854,b0237,b3161,b2210,b2942,b0093,b2209,b4208,b2535,b0401,b2912,b2911,b0078,b0077,b1241,b4129,b1482,b1814,b1243,b1244,b1245,b1246,b1247,b4187,b4376,b3454,b3455,b3456,b3457,b3458,b0889,b1190,b1189,b1798,b3572,b2290,b3508,b3509,b3510,b3272,b3273,b3274,b3275,b3276,b3277,b3278,b0205,b0204,b0203,b0202,b0201,b2588,b2589,b2590,b2591,b4010,b4009,b4008,b4007,b3759,b3758,b3757,b3756,b3855,b3854,b3853,b3852,b3851,b2913,b3460,b4439,b3971,b3970,b3969,b3968,b4669,b4488,b3772,b3771,b3770,b3769,b3766,b2215","zntR,zitB,zipA,ytjB,ytfJ,ytfB,yoeG,yoaH,ynjH,ykgE,yjiL,yjfP,yjeH,yjbR,yicH,yibT,yibL,yhjR,yhjJ,yhhW,yhhA,yhdW,yhdV,yhdN,ygiW,ygiV,yfaP,tsuA,yeaG,ydhQ,ydgH,ydeN,ydcL,ydcK,yciZ,yciT,ycgB,ycfJ,ybjX,ybiI,ybhQ,ybgS,ybdF,yaiY,yagU,yaeQ,yacL,yabQ,yaaX,ubiA,tyrR,tyrP,sulA,soxS,slyX,slyA,sad,rseA,rsd,rplR,rpiB,rnr,rlmE,rhtB,relA,pyrI,purT,purM,pspG,proP,prlF,ppx,potF,pntA,phoH,phoA,patA,panZ,ompT,nac,modA,menA,livK,livJ,lipA,leuO,leuL,leuA,ldhA,katE,iraP,insH3,insC5,ilvL,ibpB,ibpA,htrE,hspQ,groL,glnQ,glnL,glnK,glnH,glnA,glcA,gadY,gadW,fxsA,fumA,fliA,fadL,fadI,exbB,eptB,eno,dppA,dgcZ,dgcM,dadA,csiE,rdcA,clpS,clpP,chbG,cbl,can,bssS,borD,astC,aspC,asnB,asnA,artP,artI,aroG,argT,argR,alaA,adhE,acrZ,yzgL,yqeF,yhjE,serB,lrhA,lolC,avtA,aspA,ansB,aceB,ridA,cadA,cadB,lysP,gcvP,gcvH,gcvT,osmC,serA,malT,tdh,kbl,stpA,fimE,fimD,fimH,fimG,fimF,fimC,fimI,fimA,serC,aroA,ilvI,ilvH,alaE,argO,yojI,gltB,gltD,gltF,gabP,gabT,gabD,lhgD,glaH,yeiL","b3292,b0752,b2412,b4387,b4216,b4206,b4640,b1811,b1760,b0306,b4334,b4190,b4141,b4057,b3655,b4554,b3602,b3535,b3527,b3439,b3448,b3268,b3267,b3293,b3024,b3023,b2225,b2013,b1783,b1664,b1604,b1498,b1431,b1428,b4596,b1284,b1188,b1110,b0877,b0803,b0791,b0753,b0579,b0379,b0287,b0190,b0119,b0057,b0005,b4040,b1323,b1907,b0958,b4062,b3348,b1642,b1525,b2572,b3995,b3304,b4090,b4179,b3179,b3824,b2784,b4244,b1849,b2499,b4050,b4111,b3129,b2502,b0854,b1603,b1020,b0383,b3073,b3459,b0565,b1988,b0763,b3930,b3458,b3460,b0628,b0076,b0075,b0074,b1380,b1732,b0382,b0656,b3044,b3766,b3686,b3687,b0139,b0966,b4143,b0809,b3869,b0450,b0811,b3870,b2975,b4452,b3515,b4140,b1612,b1922,b2344,b2342,b3006,b3546,b2779,b3544,b1535,b1341,b1189,b2535,b4109,b0881,b0437,b1733,b1987,b0126,b1060,b0557,b1748,b0928,b0674,b3744,b0864,b0863,b0754,b2310,b3237,b2290,b1241,b0762,b3427,b2844,b3523,b4388,b2289,b1116,b3572,b4139,b2957,b4014,b4243,b4131,b4132,b2156,b2903,b2904,b2905,b1482,b2913,b3418,b3616,b3617,b2669,b4313,b4317,b4320,b4319,b4318,b4316,b4315,b4314,b0907,b0908,b0077,b0078,b2670,b2923,b2211,b3212,b3213,b3214,b2663,b2662,b2661,b2660,b2659,b2163"
DNA-binding transcriptional repressor YjjQ,YjjQ,yjjQ,b4365,yjjQ,TF,"ompC,flhC,flhD,gfcA,yciX,ymiA,yfiB,dgcN,yfiR,ybhL","b2215,b1891,b1892,b0987,b4523,b4522,b2605,b2604,b2603,b0786","ompC,flhC,flhD,gfcA,yciX,ymiA,yfiB,dgcN,yfiR,ybhL","b2215,b1891,b1892,b0987,b4523,b4522,b2605,b2604,b2603,b0786",,
HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor,HipAB,"hipB,hipA","b1508,b1507","hipB,hipA",TF,"mazF,mazE,relA,hipA,hipB","b2782,b2783,b2784,b1507,b1508","fadH,eutH,eutA,mazF,mazE,relA,hipA,hipB","b3081,b2452,b2451,b2782,b2783,b2784,b1507,b1508",,
DLP12 prophage; DNA-binding transcriptional activator AppY,AppY,appY,b0564,appY,TF,"appX,appC,appB,appA,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF","b4592,b0978,b0979,b0980,b0972,b0973,b0974,b0975,b0976,b0977",,,"appX,appC,appB,appA,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF","b4592,b0978,b0979,b0980,b0972,b0973,b0974,b0975,b0976,b0977"
DNA-binding transcriptional activator TdcR,TdcR,tdcR,b3119,tdcR,TF,"tdcG,tdcF,tdcE,tdcD,tdcC,tdcB,tdcA","b4471,b3113,b3114,b3115,b3116,b3117,b3118",,,"tdcG,tdcF,tdcE,tdcD,tdcC,tdcB,tdcA","b4471,b3113,b3114,b3115,b3116,b3117,b3118"
