TU,Genes,regulator_notes,regulator_genes,Bnb,ECKnb,Promoter
hdhA,hdhA,,,b1619,ECK1614,hdhAp
ade,adeD,DNA-binding transcriptional dual regulator H-NS,hns,b3665,ECK3656,adep
yqhD-dkgA,"dkgA,yqhD","DNA-binding transcriptional activator YqhC,DNA-binding transcriptional dual regulator Nac","yqhC,nac","b3012,b3011","ECK3004,ECK3003",yqhDp
flgBCDEFGHIJ,"flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ",FlhDC DNA-binding transcriptional dual regulator,"flhD,flhC","b1073,b1074,b1075,b1076,b1077,b1078,b1079,b1080,b1081","ECK1058,ECK1059,ECK1060,ECK1061,ECK1062,ECK1063,ECK1064,ECK1065,ECK1066",flgBp
omrB,omrB,DNA-binding transcriptional dual regulator OmpR-phosphorylated,ompR,b4445,ECK2834,omrBp
yghW,yghW,,,b2998,ECK2992,
feoABC,"feoC,feoA,feoB","DNA-binding transcriptional dual regulator OmpR-phosphorylated,DNA-binding transcriptional dual regulator NagC,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","ompR,nagC,fur,fnr,arcA","b3410,b3408,b3409","ECK3397,ECK3395,ECK3396",feoAp
radA-nadR,"nadR,radA",,,"b4390,b4389","ECK4382,ECK4381",
mlc,mlc,"DNA-binding transcriptional repressor Mlc,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","mlc,crp",b1594,ECK1589,mlcp1
mqsRA,"mqsA,mqsR",,,"b3021,b3022","ECK3012,ECK3013",mqsRp2
nrdR-ribDE-nusB-thiL-pgpA,"pgpA,thiL,nusB,ribE,ribD,nrdR","DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator Lrp","nac,lrp","b0418,b0417,b0416,b0415,b0414,b0413","ECK0412,ECK0411,ECK0410,ECK0409,ECK0408,ECK0407",nrdRp
malY,malY,DNA-binding transcriptional dual regulator Nac,nac,b1622,ECK1617,malYp
yegRZ,"yegZ,yegR","DNA-binding transcriptional activator EvgA-phosphorylated,DNA-binding transcriptional dual regulator Nac","evgA,nac","b2083,b2085","ECK2080,ECK2081",yegRp
dicA,dicA,DNA-binding transcriptional dual regulator DicA,dicA,b1570,ECK1564,
alaE,alaE,"DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional repressor GlaR","lrp,glaR",b2670,ECK2664,alaEp
tktA,tktA,,,b2935,ECK2930,tktAp
creABCD,"creA,creB,creC,creD","DNA-binding transcriptional dual regulator NagC,DNA-binding transcriptional dual regulator Lrp","nagC,lrp","b4397,b4398,b4399,b4400","ECK4389,ECK4390,ECK4391,ECK4392",creAp
yjiXA,"yjiX,yjiA",,,"b4353,b4352","ECK4343,ECK4342",yjiXp
torYZ,"torZ,torY",,,"b1872,b1873","ECK1873,ECK1874",
ycgZ-ymgA-ariR-ymgC,"ymgC,ariR,ymgA,ycgZ","DNA-binding transcriptional dual regulator MarA,DNA-binding transcriptional repressor BluR","marA,bluR","b1167,b1166,b1165,b1164","ECK1154,ECK1153,ECK1152,ECK1151",ycgZp
frmRAB,"frmR,frmA,frmB",DNA-binding transcriptional repressor FrmR,frmR,"b0357,b0356,b0355","ECK0354,ECK0353,ECK0352",
csgA,csgA,DNA binding transcriptional dual regulator BolA-phosphorylated,bolA,b1042,ECK1028,csgAp
amyA,amyA,,,b1927,ECK1926,amyAp
ydfH,rspR,DNA-binding transcriptional dual regulator PhoB-phosphorylated,phoB,b1540,ECK1533,ydfHp
yfaL,yfaL,,,b2233,ECK2225,
ygfTS,"ygfT,ygfS",,,"b2887,b2886","ECK2882,ECK2881",
ampDE,"ampD,ampE","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Nac","crp,nac","b0110,b0111","ECK0109,ECK0110",ampD
yjhF,yjhF,,,b4296,ECK4285,
gadAX,"gadX,gadA","DNA-binding transcriptional activator AdiY,DNA-binding transcriptional dual regulator RcsB-phosphorylated,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator GadW,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator GadX,GadE-RcsB DNA-binding transcriptional activator,DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR,DNA-binding transcriptional dual regulator TorR-phosphorylated","adiY,rcsB,fis,hns,gadW,crp,fnr,gadX,gadE,arcA,nac,glaR,torR","b3516,b3517","ECK3501,ECK3502",gadAp
uvrB,uvrB,DNA-binding transcriptional repressor LexA,lexA,b0779,ECK0768,uvrBp1
