Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Effectors
DNA-binding transcriptional activator AaeR,AaeR,aaeR,b3243,aaeR,TF,
biotin carboxyl carrier protein (dimer),AccB,accB,b3255,accB,TF,
DNA-binding transcriptional repressor AcrR,AcrR,acrR,b0464,acrR,TF,"3,6-diaminoacridine // rhodamine 6G // putrescine // cadaverine // spermidine // ethidium bromide // ethidium"
DNA-binding transcriptional dual regulator / DNA repair protein Ada,Ada,ada,b2213,ada,TF,
DNA-binding transcriptional activator AdiY,AdiY,adiY,b4116,adiY,TF,
DNA-binding transcriptional repressor AgaR,AgaR,agaR,b3131,agaR,TF,
isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor,AidB,aidB,b4187,aidB,TF,
AlaS-L-alanine DNA-binding transcriptional repressor,AlaS,alaS,b2697,alaS,TF,L-alanine
AllR-allantoin,AllR,allR,b0506,allR,TF,allantoin
AllS-allantoin DNA-binding transcriptional activator,AllS,allS,b0504,allS,TF,allantoin
CP4-57 prophage; DNA-binding transcriptional activator AlpA,AlpA,alpA,b2624,alpA,TF,
DNA-binding transcriptional repressor AlsR,AlsR,alsR,b4089,alsR,TF,D-allose
DLP12 prophage; DNA-binding transcriptional activator AppY,AppY,appY,b0564,appY,TF,
DNA-binding transcriptional dual regulator AraC,AraC,araC,b0064,araC,TF,D-fucose // &alpha;-L-arabinopyranose
DNA-binding transcriptional dual regulator ArcA-phosphorylated,ArcA,arcA,b4401,arcA,TF,phosphate
DNA-binding transcriptional dual regulator ArgP,ArgP,argP,b2916,argP,TF,L-arginine // L-lysine
DNA-binding transcriptional dual regulator ArgR,ArgR,argR,b3237,argR,TF,L-arginine
DNA-binding transcriptional repressor ArsR,ArsR,arsR,b3501,arsR,TF,
DNA-binding transcriptional repressor AscG,AscG,ascG,b2714,ascG,TF,
DNA-binding transcriptional dual regulator AsnC,AsnC,asnC,b3743,asnC,TF,L-asparagine
DNA-binding transcriptional activator AtoC-phosphorylated,AtoC,atoC,b2220,atoC,TF,phosphate
DNA-binding transcriptional activator BaeR-phosphorylated,BaeR,baeR,b2079,baeR,TF,phosphate
DNA-binding transcriptional dual regulator BasR-phosphorylated,BasR,basR,b4113,basR,TF,phosphate
DNA-binding transcriptional repressor BetI,BetI,betI,b0313,betI,TF,choline
BirA-biotinyl-5'-adenylate DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase,BirA,birA,b3973,birA,TF,biotinyl-5'-adenylate
DNA-binding transcriptional repressor BluR,BluR,bluR,b1162,bluR,TF,
DNA binding transcriptional dual regulator BolA-phosphorylated,BolA,bolA,b0435,bolA,TF,phosphate
Phosphorylated DNA-binding transcriptional dual regulator BtsR,BtsR,btsR,b2125,btsR,TF,phosphate
DNA-binding transcriptional activator CadC,CadC,cadC,b4133,cadC,TF,
CaiF-L-carnitine DNA-binding Transcriptional Activator,CaiF,caiF,b0034,caiF,TF,L-carnitine
DNA-binding transcriptional activator Cbl,Cbl,cbl,b1987,cbl,TF,thiosulfate // adenosine 5'-phosphosulfate
DNA-binding transcriptional activator CdaR,CdaR,cdaR,b0162,cdaR,TF,
DNA-binding transcriptional dual regulator CecR,CecR,cecR,b0796,cecR,TF,
DNA binding transcriptional dual regulator ChbR,ChbR,chbR,b1735,chbR,TF,6-phospho-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosamine
DNA-binding transcriptional repressor CitR,CitR,citR,b0603,citR,TF,
DNA-binding transcriptional repressor ComR,ComR,comR,b1111,comR,TF,Cu<SUP>+</SUP>
DNA-binding transcriptional dual regulator CpxR-phosphorylated,CpxR,cpxR,b3912,cpxR,TF,phosphate
DNA-binding transcriptional dual regulator Cra,Cra,cra,b0080,cra,TF,&beta;-D-fructofuranose 1-phosphate
DNA-binding transcriptional regulator CreB-phosphorylated,CreB,creB,b4398,creB,TF,phosphate
CRP-cyclic-AMP DNA-binding transcriptional dual regulator,Crp,crp,b3357,crp,TF,cyclic-AMP
DNA-binding transcriptional  repressor CRP-Sxy,CRP-Sxy,"sxy,crp","b0959,b3357","sxy,crp",TF,
DNA-binding transcriptional dual regulator CsgD,CsgD,csgD,b1040,csgD,TF,
cold shock protein CspA,CspA,cspA,b3556,cspA,TF,
DNA-binding transcriptional dual regulator CsqR,CsqR,csqR,b3884,csqR,TF,6-sulfo-D-quinovose
DNA-binding transcriptional dual regulator CueR-Cu<sup>+</sup>,CueR,cueR,b0487,cueR,TF,Cu<SUP>+</SUP>
DNA-binding transcriptional activator CusR-phosphorylated,CusR,cusR,b0571,cusR,TF,phosphate
DNA-binding transcriptional dual regulator CynR,CynR,cynR,b0338,cynR,TF,cyanate
DNA-binding transcriptional dual regulator CysB,CysB,cysB,b1275,cysB,TF,<i>O</i>-acetyl-L-serine
DNA-binding transcriptional repressor CytR,CytR,cytR,b3934,cytR,TF,cytidine
DNA-binding transcriptional activator DcuR-phosphorylated,DcuR,dcuR,b4124,dcuR,TF,phosphate
DNA-binding transcriptional activator DecR,DecR,decR,b0447,decR,TF,
DNA-binding transcriptional repressor DeoR,DeoR,deoR,b0840,deoR,TF,
DNA-binding transcriptional repressor DgoR,DgoR,dgoR,b4479,dgoR,TF,D-galactonate
DNA-binding transcriptional dual regulator DhaR,DhaR,dhaR,b1201,dhaR,TF,
DNA-binding transcriptional dual regulator DicA,DicA,dicA,b1570,dicA,TF,
DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor,DinJ-YafQ,"yafQ,dinJ","b0225,b0226","yafQ,dinJ",TF,phosphate
DnaA-ATP DNA-binding transcriptional dual regulator,DnaA,dnaA,b3702,dnaA,TF,ATP
DNA-binding transcriptional dual regulator DpiA-phosphorylated,DpiA,dpiA,b0620,dpiA,TF,phosphate
DsdC-D-serine DNA-binding transcriptional dual regulator,DsdC,dsdC,b2364,dsdC,TF,D-serine
DNA-binding transcriptional repressor EbgR,EbgR,ebgR,b3075,ebgR,TF,
DNA-binding transcriptional dual regulator MatA,EcpR,matA,b0294,matA,TF,
DNA-binding transcriptional repressor EnvR,EnvR,envR,b3264,envR,TF,
DNA-binding transcriptional activator EnvY,EnvY,envY,b0566,envY,TF,
DNA-binding transcriptional activator EvgA-phosphorylated,EvgA,evgA,b2369,evgA,TF,phosphate
