regulator_protein_eccid,regulator_genes_eccid,regulator_ids,names,regulation,targets_inhibition_eccid,targets_activation_eccid,protein,regulator,category
G7688-MONOMER,G7688,b3243,aaeR,G7687@G7686@G7685,,G7687@G7686@G7685,DNA-binding transcriptional activator AaeR,AaeR,TF
BCCP-CPLX,EG10275,b3255,accB,EG10275@EG10276,EG10275@EG10276,,biotin carboxyl carrier protein (dimer),AccB,TF
EG12116-MONOMER,EG12116,b0464,acrR,EG10319@EG10320@EG10958@EG10957@EG11435@EG11434@EG11599@EG30063@EG12116@EG11703@EG11704,EG10319@EG10320@EG10958@EG10957@EG11435@EG11434@EG11599@EG30063@EG12116@EG11703@EG11704,,DNA-binding transcriptional repressor AcrR,AcrR,TF
PD00230,EG10029,b2213,ada,EG10037@EG10029@EG11811@EG11222,EG10037@EG10029,EG10037@EG10029@EG11811@EG11222,DNA-binding transcriptional dual regulator / DNA repair protein Ada,Ada,TF
EG11966-MONOMER,EG11966,b4116,adiY,EG10403@EG10404@EG11514@G6786@EG11490@EG12243@EG50009@EG11501,,EG10403@EG10404@EG11514@G6786@EG11490@EG12243@EG50009@EG11501,DNA-binding transcriptional activator AdiY,AdiY,TF
G7630-MONOMER,G7630,b3131,agaR,G7636@G7635@EG12770@EG12769@EG12768@G7634@G7630@EG12766@G7633@G7632@G7631,G7636@G7635@EG12770@EG12769@EG12768@G7634@G7630@EG12766@G7633@G7632@G7631,,DNA-binding transcriptional repressor AgaR,AgaR,TF
CPLX0-7691,EG11811,b4187,aidB,EG11811,EG11811,,isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor,AidB,TF
CPLX0-7541,EG10034,b2697,alaS,EG10034,EG10034,,AlaS-L-alanine DNA-binding transcriptional repressor,AlaS,TF
CPLX0-8071,G6276,b0506,allR,G6274@G6275@G6283@G6282@G6281@G6280@G6278@G6277@EG11583,G6274@G6275@G6283@G6282@G6281@G6280@G6278@G6277@EG11583,,AllR-allantoin,AllR,TF
MONOMER0-2221,G6274,b0504,allS,G6284@G6285@G6286,,G6284@G6285@G6286,AllS-allantoin DNA-binding transcriptional activator,AllS,TF
PD02850,EG12112,b2624,alpA,EG10728@EG10733@EG11783,EG10728@EG10733,EG11783,CP4-57 prophage; DNA-binding transcriptional activator AlpA,AlpA,TF
G7821-MONOMER,G7821,b4089,alsR,EG11957@EG11958@EG11959@EG12458@G7821@EG11827,EG11957@EG11958@EG11959@EG12458@G7821@EG11827,,DNA-binding transcriptional repressor AlsR,AlsR,TF
PD00967,EG10050,b0564,appY,G0-10588@EG11380@EG11379@EG10049@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473,,G0-10588@EG11380@EG11379@EG10049@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473,DLP12 prophage; DNA-binding transcriptional activator AppY,AppY,TF
PC00003,EG10054,b0064,araC,EG12439@EG12520@EG12518@EG12517@EG10054@EG10055@EG10052@EG10053,EG12439@EG12520@EG12518@EG12517@G6787@G6788@EG11075@EG11074@EG10054@EG10055@EG10052@EG10053,EG11157@EG10056@EG10059@EG10058@EG10057@EG10060@EG10054@EG10055@EG10052@EG10053,DNA-binding transcriptional dual regulator AraC,AraC,TF
PHOSPHO-ARCA,EG10061,b4401,arcA,G7745@EG12249@EG10522@EG11786@EG10650@EG12069@G6668@EG11393@G7741@G7243@G6763@G6762@G7936@EG11467@EG11722@EG12042@EG12036@G6863@G6424@EG11521@EG11073@EG10998@EG11585@EG11428@EG12732@G6864@EG10845@EG10802@EG10801@EG11629@EG10744@EG10738@EG11734@EG10696@EG11391@EG11971@G7740@EG12394@EG30063@EG10566@EG10513@EG10395@G7546@G0-8867@EG11375@EG12101@EG10248@EG10006@EG11225@EG12504@G7394@EG10134@EG10072@EG10070@EG10061@EG50003@EG10742@EG10012@EG11405@EG50004@EG11738@EG10050@EG11124@G0-16680@EG11544@G6346@G6345@G6344@G6343@G6342@G6341@G6340@G6339@G0-8871@G36@G6600@G6331@G6646@EG11822@EG10036@EG12431@G6645@G0-16737@G6643@G6644@EG11784@EG10787@EG11636@G6347@G6523@G6522@G6521@G6520@G6519@G6518@G6517@G7212@G7213@EG11369@EG11370@EG10025@EG10024@EG10916@EG10887@EG10877@EG10902@EG10882@EG10918@EG10865@EG10883@EG10867@EG10866@EG10909@EG10027@EG10131@EG10132@G7542@EG20080@G7543@G0-8601@G7544@G7545@EG10035@EG11402@EG12127@EG10543@G0-9384@EG11530@EG10576@EG10489@EG10402@EG10358@EG10356@G0-17009@EG10933@EG10934@EG10931@EG10932@EG10979@EG10980@EG10981@EG10982@EG10182@EG10181@EG10180@EG10179@EG10178@EG12424@EG10761@EG10427@EG10357@EG10649@EG12417@EG12416@EG12415@EG12414@G7128@EG12419@EG12608@EG11557@EG11558@EG11559@EG11560@EG11561@EG12093@EG11773@EG12092@EG12091@EG12090@EG12089@EG12088@EG12087@EG11774@EG12086@EG12084@EG12083@EG12082@EG10510@EG10674@EG10675@EG10676@EG10677@EG10678@EG11061@EG10976@EG10953@G0-10588@EG11380@EG11379@EG10049@EG10112@EG10109@EG10110@EG10111@G6105@EG11313@EG20044@EG10154@EG10153@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473@EG10701@EG11258@G6660@EG11963@EG11962@EG11961@G7554@EG11805@EG11804@EG11803@EG11802@EG11801@EG11800@EG11799@EG10174@EG10173@EG20253@EG12243@EG50009@EG12316@EG11325@EG10023@EG10022@EG10026@EG10394@EG10391@EG10392@EG10393@EG10325@EG10280@EG10278@EG10279,EG12249@EG10522@EG10650@EG12069@G6668@G6763@G6762@G7936@EG11467@EG11722@EG12042@EG12036@G6863@G6424@EG11073@EG10998@EG11585@EG11428@EG10802@EG10801@EG11629@EG11734@EG10696@EG11391@G7740@EG12394@EG10513@EG10395@G7546@EG11375@EG11258@EG12101@EG12504@G7394@EG10072@EG50004@EG11738@EG11124@G6344@G6343@G6342@G6341@G6340@G6339@G0-8871@G36@G6646@EG11822@EG10036@EG12431@G6645@G0-16737@G6643@G6644@EG10787@EG11636@G7212@G7213@EG11369@EG11370@EG10025@EG10024@EG10916@EG10887@EG10877@EG10902@EG10882@EG10918@EG10865@EG10883@EG10867@EG10866@EG10909@EG10131@EG10132@G7542@EG20080@G7543@G0-8601@G7544@G7545@EG10035@EG10543@G0-9384@EG11530@EG10576@EG10489@EG10402@EG10358@EG10356@G0-17009@EG10933@EG10934@EG10931@EG10932@EG10979@EG10980@EG10981@EG10982@EG10182@EG10181@EG10180@EG10179@EG10178@EG10649@EG12417@EG12416@EG12415@EG12414@G7128@EG12419@EG12093@EG11773@EG12092@EG12091@EG12090@EG12089@EG12088@EG12087@EG11774@EG12086@EG12084@EG12083@EG12082@EG10510@EG10674@EG10675@EG10676@EG10677@EG10678@EG11061@EG10976@EG10953@EG10112@EG10109@EG10110@EG10111@G6105@EG11313@EG20044@G6660@EG11963@EG11962@EG11961@G7554@EG11805@EG11804@EG11803@EG11802@EG11801@EG11800@EG11799@EG12316@EG11325@EG10023@EG10022@EG10026@EG10394@EG10391@EG10392@EG10393@EG10325@EG10280@EG10278@EG10279,G7745@EG11786@EG11393@G7741@G7243@EG11521@EG12732@G6864@EG10845@EG10744@EG10738@EG10674@EG11971@EG30063@EG10566@G0-8867@EG10248@EG10006@EG11225@EG10134@EG10070@EG10061@EG50003@EG10742@EG10012@EG11405@EG10050@G0-16680@EG11544@G6346@G6345@G6600@G6331@EG11784@G6347@G6523@G6522@G6521@G6520@G6519@G6518@G6517@EG10027@EG11402@EG12127@G0-17009@EG10933@EG10934@EG10931@EG10932@EG10979@EG10980@EG10981@EG10982@EG12424@EG10761@EG10427@EG10357@EG12608@EG11557@EG11558@EG11559@EG11560@EG11561@G0-10588@EG11380@EG11379@EG10049@EG10154@EG10153@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473@EG10701@EG11258@EG10174@EG10173@EG20253@EG12243@EG50009,DNA-binding transcriptional dual regulator ArcA-phosphorylated,ArcA,TF
CPLX0-7669,EG10490,b2916,argP,EG10088@EG10207@EG10549@EG10550@EG10372@EG11337@EG10206@EG10828@EG10242@EG10235@EG12360@EG10660@EG10661,EG10490,EG10088@EG10207@EG10549@EG10550@EG10372@EG11337@EG10206@EG10828@EG10242@EG10235@EG12360@EG10660@EG10661@EG11159,DNA-binding transcriptional dual regulator ArgP,ArgP,TF
PC00005,EG10070,b3237,argR,EG11627@EG11626@EG11625@EG11624,EG11627@EG11626@EG11625@EG11624@G7190@G6861@EG10520@EG11554@EG11279@EG11629@EG10700@EG11252@EG10547@G0-8899@EG11269@G7055@EG10347@EG11415@EG10203@EG10169@EG10081@G7669@G6458@EG10403@EG10404@EG11514@EG10063@EG10068@EG11628@EG10452@EG10007@EG12125@EG12124@EG10066@EG10743@EG10914@EG11177@EG11178@EG10505@EG10665@EG11179@EG30061@EG10134@EG10135@EG10070@EG10069@EG10067@EG11286@EG10065@EG10064@EG11223,G7645@G6170@EG11147@EG11566@EG11822@EG10405@G7292@EG10084@G6940@G6941@G6942@G6943@G6944,DNA-binding transcriptional dual regulator ArgR,ArgR,TF
CPLX0-7734,EG12235,b3501,arsR,EG12235@EG12236@EG12237,EG12235@EG12236@EG12237,,DNA-binding transcriptional repressor ArsR,ArsR,TF
EG10087-MONOMER,EG10087,b2714,ascG,EG10461@G6423@G6195@EG10086@EG10085,EG10461@G6423@G6195@EG10086@EG10085,,DNA-binding transcriptional repressor AscG,AscG,TF
CPLX0-7733,EG10093,b3743,asnC,EG10375@EG11199@EG10093@EG10091,EG10375@EG11199@EG10093,EG10091,DNA-binding transcriptional dual regulator AsnC,AsnC,TF
PHOSPHO-ATOC,EG11668,b2220,atoC,EG11672@EG11669@EG11670@EG11671,,EG11672@EG11669@EG11670@EG11671,DNA-binding transcriptional activator AtoC-phosphorylated,AtoC,TF
PHOSPHO-BAER,EG11618,b2079,baeR,EG10014@EG11241@G6939@EG11618@EG11617@EG12136@G7115@G7114@G7113,,EG10014@EG11241@G6939@EG11618@EG11617@EG12136@G7115@G7114@G7113,DNA-binding transcriptional activator BaeR-phosphorylated,BaeR,TF
PHOSPHO-BASR,EG11615,b4113,basR,EG12658@G7575@EG10309@G6825@EG10801@EG12429@EG10439@EG10224@EG11266@G7171@G0-10460@G7170@G7169@G7168@G7167@G7166@EG11613@G6543@G6544@G6545@G6546@G7667,EG10801@G7667,EG12658@G7575@EG10309@G6825@EG12429@EG10439@EG10224@EG11266@G7171@G0-10460@G7170@G7169@G7168@G7167@G7166@EG11613@G6543@G6544@G6545@G6546,DNA-binding transcriptional dual regulator BasR-phosphorylated,BasR,TF
