gene,locus_tag in MG1655,gene_type,strand,product,HS_LB,E1114_LB,E1167_LB,H120_LB,TA054_LB,TA447_LB,E101_LB,41-1Ti9_LB,TA280_LB,M114_LB,TA249_LB,JJ1886_LB,CFT073_LB,APECO1_LB,UTI89_LB,S88_LB,MG1655_LB,ROAR8_LB,HS_M9,E1114_M9,E1167_M9,H120_M9,TA054_M9,TA447_M9,E101_M9,41-1Ti9_M9,TA280_M9,M114_M9,TA249_M9,ROAR8_M9,JJ1886_M9,MG1655_M9,HS_GMM,E1114_GMM,E1167_GMM,H120_GMM,TA054_GMM,TA447_GMM,E101_GMM,41-1Ti9_GMM,TA280_GMM,M114_GMM,TA249_GMM,ROAR8_GMM,JJ1886_GMM,CFT073_GMM,APECO1_GMM,UTI89_GMM,S88_GMM,MG1655_GMM,median_LB,median_M9,median_GMM
aaeA,b3241,CDS,-1,aromatic carboxylic acid efflux pump membrane fusion protein,0.051355735,0.183324491,-0.051200012,0.095659497,-0.000842679,-0.162436743,0.038860758,-0.02022238,-0.030108324,-0.104500887,-0.203712332,-0.095959822,0.029545691,-0.097773069,-0.208822762,-0.131247288,0.066241728,-0.146020162,0.08510454,0.107656642,-0.021511668,0.019410176,0.022883006,-0.036857487,-0.136389246,0.093547557,0.197862741,0.047121208,-0.273930393,-0.102146476,-0.037626372,-0.026037767,0.180849274,0.28609682,-0.017014847,0.484059444,-0.051804339,0.034663979,-0.073345261,-0.015002997,0.074545244,-0.028819596,0.069097966,0.02693518,0.109003707,0.214894793,0.105714698,0.266267457,-0.026317231,-0.138825786,-0.040654168,-0.001050746,0.051880972
aaeB,b3240,CDS,-1,aromatic carboxylic acid efflux pump subunit AaeB,-0.24727213,-0.974411216,-0.218553042,0.145327525,-0.463718816,-0.092976445,-0.164324679,-0.151735764,-0.162040974,-0.318971809,-0.459577729,-0.165692651,-0.000133734,-0.38939796,-0.146974162,-0.098837404,-0.187192409,-0.456607025,-0.139416576,-0.412433959,-0.147796873,-0.068841752,-0.295452186,0.007579547,-0.275841702,-0.176121646,0.094586868,0.058379679,0.103017726,-0.179694748,-0.167383585,0.106242063,-0.238211018,-1.115747979,-0.109368374,0.020541181,-0.401797237,-0.193820486,-0.171669778,-0.516995182,0.019683431,-0.002961209,-0.087869836,-0.324131018,-0.006505555,0.011525736,-0.071025313,-0.219678521,0.002646033,-0.117810202,-0.17644253,-0.143606724,-0.113589288
aaeR,b3243,CDS,1,LysR-type transcriptional regulator AaeR,-0.036250478,0.199311391,0.031720129,-0.043699796,-0.087586521,-0.015295509,NaN,0.195506664,0.00485988,0.031009684,-0.378564576,0.05374783,0.151123003,-0.054775356,-0.10132761,-0.000896236,0.247528918,-0.024755685,-0.093870512,0.123822427,-0.053251178,-0.147757464,0.021524881,-0.074180921,NaN,0.116376185,-0.031034763,0.061954877,-0.254573264,0.163943845,-0.18937064,0.142982532,0.061850248,0.261273839,0.047540823,-0.03225394,-0.048734709,0.211107083,NaN,0.117413187,-0.042077641,-0.054889432,-0.007526729,0.180072015,-0.008545406,0.175724464,0.06186538,0.186956351,0.069171277,0.128342235,-0.000896236,-0.031034763,0.06186538
aaeX,b3242,CDS,-1,DUF1656 domain-containing protein AaeX,-0.03633193,-0.094855979,-0.094831492,-0.022548208,-0.034669625,0.006202425,-0.027424888,0.032278038,0.083682828,-0.02564876,-0.400779519,0.070128765,0.10433917,-0.066339421,-0.22463082,-0.173058029,-0.024003898,-0.061798759,0.034557207,-0.129935935,-0.054817548,0.03650115,-0.079400949,-0.079629179,-0.11178567,-0.128352438,-0.01710389,0.098668529,-0.323156636,0.088759219,-0.101634344,0.006605803,0.028437296,-0.043442299,0.105352071,0.085557621,0.052706728,0.182284308,0.022313507,0.030576173,-0.155595751,-0.026768628,0.205217439,0.382036932,0.161557452,0.241411032,-0.027309279,-0.127066711,0.134703904,0.037104551,-0.031047257,-0.067109249,0.044905639
aas,b2836,CDS,-1,acyltransferase,0.102862959,0.632557386,0.000492056,0.129095221,0.108587201,-0.013469724,-5.67E-05,0.069504099,-0.087904046,0.105750817,-0.060279729,0.014685958,-0.037096968,0.034559608,-0.577887264,-0.189693582,-0.038476848,-0.078604797,-0.028434338,0.663251261,0.201510975,0.227764693,0.113114748,-0.041901531,-0.011808203,0.055103633,-0.051912277,0.152703732,0.08306151,0.324521758,-0.118244936,0.142065106,0.085715838,0.689056598,-0.196364805,-0.491558768,-0.071952808,-1.926856583,-0.004109794,0.206509358,-0.287773569,-0.330382579,-0.07936901,0.310545836,-0.438922369,-0.524428562,-0.017046031,-0.727256063,0.000837153,0.180484283,0.000217702,0.098088129,-0.075660909
aat,b0885,CDS,-1,leucyl/phenylalanyl-tRNA--protein transferase,-0.147081075,-0.062106271,-0.054267106,0.201635528,-0.033352121,-0.135340698,-0.036807881,0.049633524,-0.061154131,0.144450839,-0.24375519,-0.061488053,0.046543719,-0.088944596,-0.362914075,0.007361524,-0.137973844,-0.080193686,-0.022631557,-0.11585338,-0.032209298,-0.122409217,0.037026594,-0.122185578,0.208535448,-0.182283401,-0.210231388,0.131413333,-0.340663969,0.128461828,-0.283454163,-0.211303273,-0.170820875,-0.338303183,-0.08653541,0.204275932,-0.091316508,-0.087514981,0.031649193,0.171290585,-0.038628653,0.041326796,-0.03670514,0.119614345,-0.191359714,-0.182619758,-0.188472968,-0.32729434,-0.000415026,0.174553708,-0.061321092,-0.119019479,-0.062582032
abrB,b0715,CDS,-1,putative regulator,-0.082698586,0.051114188,0.068770585,0.134933767,0.027646073,-0.145253701,-0.048830981,0.008177407,0.053844287,-0.18321883,-0.312521141,0.062084269,0.204683326,-0.075796525,0.09696952,-0.119897578,-0.004779183,-0.254606329,-0.115638774,-0.155680787,0.054407303,-0.012835653,-0.128779118,-0.248001221,-0.264734415,-0.101161275,0.032578674,-0.088558273,-0.115140855,-0.048328997,-0.08314557,0.023142942,0.031928228,-0.232195259,0.12950407,0.040308208,-0.155193685,-0.27488007,-0.109351227,-0.20127361,-0.00024598,-0.49918271,-0.029206481,-0.19345605,-0.022568186,0.06970703,-0.012533437,0.308446481,-0.166118288,0.057209801,0.001699112,-0.094859774,-0.025887334
accA,b0185,CDS,1,acetyl-CoA carboxyltransferase subunit alpha,-4.735310927,-4.476200495,-5.769420122,-4.939128662,-3.204808787,-5.281014305,-5.802243801,-5.066498643,-4.363606649,-5.172128202,-6.393376504,-4.655972545,-4.633916921,-4.640307862,-6.879735811,-4.110514584,-5.808962358,-5.401998533,-4.352996014,-3.889452355,-5.779088085,-4.970805312,-3.676373518,-6.652737067,-5.787711996,-4.784745225,-5.369837399,-3.773225012,-5.443780925,-4.851060554,-4.997627986,-4.929380165,-4.784009759,-4.071951928,-6.186258536,-5.402210511,-4.195440654,-5.126013361,-5.105447573,-5.214345663,-5.095736443,-7.098709485,-5.192010409,-5.372259135,-5.600059586,-4.862034602,-4.268010572,-6.758909082,-4.429145353,-5.738183284,-5.002813652,-4.950092739,-5.159011885
accB,b3255,CDS,1,biotin carboxyl carrier protein,-6.665036063,-6.400938211,-7.338739021,-6.233130564,-6.849554017,-6.157566235,-6.063854141,-5.699187669,-6.270946838,-5.902475024,-6.837090624,-6.290459209,-6.652114929,-6.591159072,-6.64033316,-6.073826702,-6.651172517,-7.192920952,-6.133382884,-6.382257429,-7.388673018,-6.738383145,-6.254377188,-6.017304032,-6.343898172,-5.881110799,-6.402433253,-5.445477555,-6.765117877,-7.103474332,-7.135962375,-5.837259121,-6.211810351,-6.613726197,-7.228264678,-6.951974861,-7.096119356,-6.547946475,-6.217023114,-5.43037875,-6.440091832,-5.730481329,-6.820697345,-6.924768724,-5.95555562,-5.824679583,-6.556981668,-5.729188348,-6.458120988,-6.575942762,-6.496048641,-6.363077801,-6.503033732
accC,b3256,CDS,1,biotin carboxylase,-8.089235651,-9.562269694,-7.870220215,-7.852990515,-8.036521862,-8.165736526,-7.735133133,-8.023761286,-8.089708771,-7.648831919,-8.306781255,-7.556433103,-7.03406708,-7.414266754,-8.32487709,-8.138842936,-6.313941355,-7.750906544,-7.84169502,-9.639474144,-7.255781449,-7.917374024,-7.424976083,-8.087524842,-7.783092841,-8.111976432,-8.21450783,-7.026714468,-7.247564526,-7.669151362,-8.340314136,-6.255727273,-7.942233602,-9.49167881,-7.759745871,-6.92904242,-7.90737124,-8.053358481,-7.006300225,-7.27480145,-8.514353854,-7.510762305,-7.303143994,-7.490445753,-8.183718694,-7.790180323,-8.145869825,-8.20405036,-8.047658284,-6.2387116,-7.94699075,-7.812393931,-7.848775782
