Gene,41_1Ti9,E101,E1167,HS,H120,TA054,TA249,TA280,TA447,M114,E1114,MG1655,ROAR8,JJ1886,UTI89,S88
aaeA,1.609828552,1.894816335,1.462613656,2.276474919,2.290165041,2.414896407,2.240306135,1.503172713,2.592810916,1.679488713,2.523965412,2.238210745,1.68988024,2.421398147,2.235602012,1.804461805
aaeB,2.055253234,2.09349667,2.085520219,2.284958294,2.298669193,2.292793872,1.838917292,1.982854229,2.253901837,1.822359127,2.340528376,2.161293981,1.72458522,2.406866642,2.009424561,2.307742626
aaeR,4.914771642,4.586042515,4.759592968,4.644842881,4.798970664,4.65637178,5.791656616,4.585217607,4.79491021,4.939250746,4.599247147,4.928539915,5.161020475,6.107527869,6.222782391,6.029998005
aaeX,1.599245351,1.619355587,2.520880957,2.404280589,1.689084114,2.735908457,2.858109011,1.17856905,2.797095369,1.105222772,1.933319003,1.253544388,1.966857042,1.421255779,2.298309572,2.552119568
aas,5.503896943,5.817368739,5.575914331,5.595270132,5.440915175,5.529326765,5.341647835,5.454093283,5.992811833,5.54751775,6.420596419,5.068382355,5.417459199,5.523865938,5.657393005,5.487243495
aat,5.032321521,5.740168276,5.618821911,5.714794358,5.068596459,6.207590241,5.148097274,5.28697516,5.950410867,4.857207101,6.032432825,5.467923177,4.937052426,5.531023062,5.722025742,5.929373139
abrB,3.363768275,3.658396143,3.068218708,2.982205419,3.647464091,3.483051944,4.948343785,4.367298635,4.226076965,4.698299145,2.653702422,3.456727042,4.449747542,5.648995933,5.985423625,5.5987311
accA,8.263048273,9.075706598,9.415103294,8.901448527,8.647145248,9.076574193,7.891906859,8.346693438,9.222155721,7.988312522,8.670235929,7.840873843,8.211683081,8.549524377,8.319512216,8.479546135
accB,10.18329128,10.23549521,10.50759658,10.62176562,10.42647923,10.31759741,9.930467257,10.14981957,10.56779986,9.845534685,10.38792786,9.354233319,9.934335987,9.853602095,9.492048703,9.759927492
accC,10.74568721,10.8602025,10.81641999,10.93693657,10.89018227,10.83460472,10.31836164,10.64558804,10.95040627,10.55224158,10.78388687,9.796652897,10.42589478,10.66732625,10.18646073,10.10180069
accD,8.693231071,8.701730767,9.12281535,8.926545067,8.99805467,8.845006294,8.333536792,8.877965112,9.187728497,8.863189135,8.779653591,8.118083389,8.405861852,8.39495587,8.074236611,8.236745649
aceA,3.350776842,3.769174853,2.685485591,2.621569195,3.112750322,3.014441568,2.954356652,3.246892749,2.677433512,3.726657882,2.750476584,8.241500686,3.23467674,3.231860049,3.349662844,3.56755656
aceB,2.803939533,2.650297147,3.144963821,2.97194362,3.22597322,3.103319002,2.047397692,2.39889436,2.303433699,2.897404432,3.220732804,8.192510737,2.480783465,2.170691693,2.135642952,2.384232091
aceE,11.03850069,9.703342582,10.33597183,10.80827525,10.54529162,9.967436442,10.90835781,10.64482219,10.5699748,10.55289885,9.669371711,10.17347037,10.30010353,10.28324018,10.10684469,10.35266752
aceF,9.580467173,8.433805223,9.073865962,9.626230149,9.398126429,8.884779155,9.701605496,9.325064515,9.427111883,9.271783332,8.087871145,8.586957057,8.928978123,8.493883068,8.733566599,9.269987544
ackA,9.621187555,8.722327179,9.360749831,9.908284565,9.328612166,8.918682679,9.67186351,9.238252114,9.708421994,9.225493863,9.002908075,7.921472752,9.095052773,9.52950666,9.075468659,9.479340424
acnB,10.86007417,10.68749518,10.4532569,10.51067989,10.49950213,10.27736759,10.12382105,10.36204828,10.56906565,10.86883131,9.765828539,10.72568966,10.30271169,9.968090947,10.41926969,10.11435555
acpH,5.726258864,5.135075968,4.975238245,4.765324818,5.099159519,5.363015526,5.859492195,7.543396319,5.294177611,7.273790666,4.93153731,4.319413951,4.312122392,4.692796129,6.588512717,6.571361448
acpP,11.93336236,12.07251948,12.23376919,12.21768835,12.06472741,12.25993499,12.14972354,12.06325077,12.56878247,12.08184638,11.7909152,12.02580507,12.07615595,12.02977038,11.8482099,12.28254895
acpS,4.816148693,4.879277874,4.766689217,4.189229847,4.326055461,4.476658177,4.750918406,5.116677388,4.990881356,4.446896376,4.13792797,5.204774257,6.070308545,5.165058684,5.082053399,5.833001896
acpT,5.790237104,6.73729823,6.299138727,6.420376227,6.237091395,6.743761595,5.925101456,5.011390576,6.348949647,5.328898678,6.696637301,5.247154388,5.596152824,5.243007513,5.46483199,5.444495886
acrA,8.221045762,8.046272231,8.0070014,7.891191117,8.057612386,8.4097643,7.841280226,8.231887124,8.171793649,8.23264176,8.860011141,7.155530155,8.072186082,7.372594803,7.699673643,7.982155077
acrB,8.822199575,8.672970759,8.732789973,8.55115415,8.903568512,8.990840794,8.834167674,8.916877183,8.679394172,9.015651341,9.767299269,8.201331916,8.781324073,8.239444268,8.578153996,8.524371908
acrD,3.328032923,3.501570922,3.905006404,4.171340784,3.723380669,3.667623999,3.275072548,3.245726744,4.264938253,3.144709987,4.323635014,3.086477114,3.509270025,3.191480558,3.846759357,3.209612995
acrF,1.821252117,2.657661142,2.39382001,2.1801799,2.278055633,2.604343856,2.801066423,5.767321421,2.965233588,2.324535329,2.49333506,2.322407482,2.046280811,2.745541662,2.790977265,3.142565267
acrR,4.940858197,5.152913744,5.422889258,5.584134201,5.215684605,5.509706376,4.437084477,4.889464884,5.419132448,5.309513282,7.276813822,4.537615274,4.735720839,4.616135936,4.934052893,4.947918884
