Gene deletion	alpha_max (min-1)	Odmax	ECKnb
hchA	0.009932608401811	0.636391997241314	ECK1963
bglG	0.011019164160061	0.627195935242518	ECK3716
cytR	0.008087541249308	0.687981352594063	ECK3926
fnr	0.009350779308668	0.657574546853878	ECK1330
hupB	0.009970547083627	0.71703668095769	ECK0434
nagC	0.009557120648883	0.668502949155193	ECK0664
rhaR	0.009777495935675	0.621435750305358	ECK3899
tyrR	0.009441914377528	0.417337246341633	ECK1319
rcsC	0.010267192224905	0.580277868671276	ECK2211
aceF	0.011739428259031	0.64756689407458	ECK0114
sdhC	0.010696778806774	0.633325146691695	ECK0710
btuR	0.010029937044837	0.585350212391871	ECK1264
deoR	0.009923905727486	0.649668513171657	ECK0830
fucR	0.009934807974439	0.653608222418826	ECK2800
argP	0.009896251357684	0.633664746608758	ECK2912
nanR	0.009132409246938	0.612928390062651	ECK3215
uidR	0.00993934100021	0.639346008784908	ECK1613
acnB	0.009284635810967	0.632384210761483	ECK0117
sdhD	0.010443747503896	0.56804079519192	ECK0711
ada	0.009710306273089	0.629960727417275	ECK2205
cadC	0.010024535078564	0.63806734065834	ECK4127
dsdC	0.009529335681802	0.662736783941907	ECK2360
galR	0.009573209415226	0.609740544671263	ECK2835
idnR	0.009363581946076	0.617931395567025	ECK4257
melR	0.009764379587141	0.64493916199577	ECK4111
nhaR	0.010302246396041	0.556879400437197	ECK0021
soxR	0.009550536213358	0.582932982805239	ECK4055
uxuR	0.010423963988608	0.672285502641845	ECK4315
cra	0.009844645864047	0.596428758093428	ECK0081
prpC	0.008957497910152	0.641622405559045	ECK0330
sdhA	0.010179486067631	0.552001726689006	ECK0712
adiY	0.009543464904801	0.628607740996288	ECK4109
cbl	0.009750515023447	0.652957806765275	ECK1982
ebgR	0.009762208404138	0.663271741676929	ECK3065
galS	0.010126290009611	0.548446758565556	ECK2144
ilvY	0.010308401806306	0.664951031479853	ECK3765
metJ	0.009777217424906	0.709520733596291	ECK3930
pdhR	0.009321314591159	0.500030305108428	ECK0112
soxS	0.009512171286535	0.665156444360514	ECK4054
xapR	0.010081341241509	0.661871691172834	ECK2399
ihfA	0.00977656215201	0.545202223285619	ECK1710
cyoD	0.010323588244119	0.585154754339581	ECK0423
sdhB	0.010724151362983	0.575670889918193	ECK0713
appY	0.010161174225143	0.694748624414101	ECK0556
chbR	0.010535621577812	0.664929778293188	ECK1733
acrS	0.010053182193267	0.62912681309669	ECK3251
leuO	0.009621677181386	0.620752082541401	ECK0078
metR	0.010628484206721	0.443094097479647	ECK3822
perR	0.01023145717692	0.687511184501924	ECK0256
stpA	0.01022055902147	0.708068103502583	ECK2663
zntR	0.00894174819105	0.67116182263389	ECK3279
rbsR	0.009908274250812	0.654125937910347	ECK3747
cyoC	0.010075270943307	0.584736901971715	ECK0424
sucA	0.010323178464841	0.603526945469	ECK0714
argR	0.00718664310084	0.497537527535075	ECK3226
crp	0.007572022267273	0.566926735065114	ECK3345
envY	0.00957481262871	0.679624953241018	ECK0558
ihfB	0.009594298844556	0.559809722103833	ECK0903
lrp	0.008427982922737	0.68178418704519	ECK0880
mhpR	0.009759414070222	0.668032119428869	ECK0343
phnF	0.009558471334436	0.570321587889345	ECK4095
tdcA	0.009443172057211	0.599701396347332	ECK3107
yafC	0.010249070387366	0.508034145259948	ECK0208
sdiA	0.011084587893695	0.64148557914244	ECK1915
cyoB	0.01000282775283	0.594882813721349	ECK0425
sucB	0.010539850973371	0.514569129459944	ECK0715
asnC	0.009597229453442	0.684438877422596	ECK3737
csgD	0.009605290056194	0.660705061378526	ECK1026
fadR	0.00929828378957	0.710755986324007	ECK1175
hns	0.00724145386886	0.733296849962108	ECK1232
lysR	0.009497531533079	0.646132724936227	ECK2837
nac	0.0099616438434	0.599915198371433	ECK1983
treR	0.010157872766311	0.643099684397067	ECK4236
ybdO	0.01042936404527	0.616864526326384	ECK0597
srlR	0.009327329805786	0.643311155780686	ECK2702
cyoA	0.010213138808657	0.61302360543472	ECK0426
sucC	0.009648902447983	0.623855351180361	ECK0716
betI	0.009770119248418	0.649632715782782	ECK0311
cynR	0.009574020488829	0.634706317351856	ECK0335
fis	0.010435866698425	0.74422930688597	ECK3248
hupA	0.010085487485858	0.72249840035207	ECK3992
malI	0.008815560234719	0.641095106021152	ECK1615
purR	0.009506685409395	0.60468423312466	ECK1654
trpR	0.009531330325469	0.66240622975091	ECK4385
ybeF	0.009862111982045	0.60330912722043	ECK0622
talB	0.009370014535931	0.638337586857129	ECK0008
fdrA	0.00983881746433	0.637366639292104	ECK0511
ybiW	0.010171749284334	0.559151431652181	ECK0813
adhE	0.010105659652305	0.659384369395836	ECK1235
ppsA	0.009131066477473	0.538282317378261	ECK1700
nuoL	0.009305171219459	0.599331403107953	ECK2272
nuoB	0.009005164983574	0.582519348543931	ECK2281
mdh	0.009814913361784	0.622659028330171	ECK3225
pflD	0.009149709403092	0.598662717566369	ECK3942
frdD	0.009518452565839	0.694704490641919	ECK4147
phoQ	0.010210058923087	0.686276506901291	ECK1115
cheB	0.00930567658681	0.686040608873338	ECK1884
