"Node","Sector","TRorNon_TR","SRorNon_SR"
"QseB","core","TR","SR"
"FliZ","core","TR","Non-SR"
"SlyA","core","TR","Non-SR"
"RpoH","core","TR","Non-SR"
"AdiY","core","TR","Non-SR"
"SdiA","core","TR","SR"
"GadX","core","TR","Non-SR"
"CytR","core","TR","SR"
"LrhA","core","TR","Non-SR"
"FlhDC","core","TR","Non-SR"
"Fur","core","TR","SR"
"LexA","core","TR","SR"
"Lrp","core","TR","SR"
"AcrR","core","TR","SR"
"OmpR","core","TR","SR"
"HdfR","core","TR","Non-SR"
"OxyR","core","TR","SR"
"GadE","core","TR","Non-SR"
"YjjQ","core","TR","Non-SR"
"PhoB","core","TR","SR"
"DnaA","core","TR","SR"
"CpxR","core","TR","SR"
"RpoS","core","TR","Non-SR"
"Fis","core","TR","SR"
"RcsAB","core","TR","Non-SR"
"Nac","core","TR","Non-SR"
"EvgA","core","TR","SR"
"StpA","core","TR","Non-SR"
"CsgD","core","TR","Non-SR"
"RpoD","core","TR","Non-SR"
"GadE-RcsB","core","TR","Non-SR"
"SoxS","core","TR","Non-SR"
"ArgP","core","TR","SR"
"NtrC","core","TR","SR"
"CspA","core","TR","Non-SR"
"IHF","core","TR","SR"
"RpoN","core","TR","Non-SR"
"YdeO","core","TR","Non-SR"
"MlrA","core","TR","Non-SR"
"SutR","core","TR","Non-SR"
"PhoP","core","TR","SR"
"TorR","core","TR","SR"
"MqsA","core","TR","Non-SR"
"SoxR","core","TR","SR"
"ArgR","core","TR","SR"
"RstA","core","TR","SR"
"DksA","core","TR","SR"
"RcsB","core","TR","SR"
"RpoE","core","TR","Non-SR"
"ZraR","core","TR","SR"
"Cra","core","TR","SR"
"H-NS","core","TR","SR"
"RutR","core","TR","SR"
"GadW","core","TR","Non-SR"
"ArcA","core","TR","SR"
"LeuO","core","TR","SR"
"Fnr","core","TR","SR"
"EcpR","core","TR","Non-SR"
"RcsB-BglJ","core","TR","SR"
"Crp","core","TR","SR"
"BolA","core","TR","SR"
"FliA","core","TR","Non-SR"
"AlpA","inp","TR","Non-SR"
"GlaR","inp","TR","SR"
