"gene","Bnb","DMmut","DMenv","DMevo","DMstrs","DMstrs_hp","DMstrs_he","DMprtn","DMnoise_ch"
"thrA","b0002",0.118914461554336,0.945809534676585,0.181295010587444,0.180388575814537,0.654751722804315,0.143110556110169,0.22159072758594,NA
"thrB","b0003",0.130444863613231,0.660087880222569,0.353042234968904,0.17311133353777,0.592922273324253,0.134357452726343,0.242960614033655,NA
"thrC","b0004",-0.00266677172469887,0.677964889510561,0.165824174072698,0.210753795188938,0.627506011941315,0.130706672877941,0.16518033838234,NA
"yaaA","b0006",-0.225563006163139,-0.262234376317953,-0.189602108748931,-0.0637199147415355,-0.131379767532378,-0.0548234970116034,0.320772682845921,0.0531129618646063
"talB","b0008",-0.204742824253624,-0.259089074624059,-0.0208733316444707,-0.0946191614992173,-0.0258237367271898,-0.0658417723136658,-0.101248593857111,NA
"mog","b0009",0.148537727750548,-0.0932382198755716,-0.0851690695122577,0.0170599764998365,-0.0114805016577711,0.0182758093152267,0.38926475750637,0.00113688394376577
"satP","b0010",-0.219222512071541,0.302861627167597,0.182374850827201,-0.00112624732295058,0.149126149695644,0.0544400978540612,NA,NA
"yaaW","b0011",0.0675868333037217,-0.248193755834087,-0.109514769751127,-0.0583242147459445,-0.0196609106756581,0.185970034721754,NA,NA
"yaaI","b0013",0.0334785734348164,0.169393165444948,0.229853257815404,0.0872777658868437,0.0201021533351708,0.446630546176359,NA,NA
"dnaK","b0014",0.457452265108517,0.279189467009183,0.241996458302918,0.159729724472295,0.0335195193074886,-0.0117660062471495,0.00254366512404214,-0.013007796209151
"nhaA","b0019",0.121653692763682,0.131462274305513,0.0662925523016545,NA,NA,NA,NA,NA
"nhaR","b0020",0.00547384752495383,-0.162456199492458,-0.0784384859825196,NA,NA,NA,NA,NA
"rpsT","b0023",0.325739018453721,0.388032862550877,0.405044399677477,0.0275432521042232,-0.0410619068802706,0.00999564084319113,0.103979317899643,NA
"ribF","b0025",-0.172074361238633,-0.362723190574625,-0.136919013406971,-0.135766160469075,-0.124457072559374,-0.0973052472306983,-0.252144892215024,-0.0958782022744648
"ileS","b0026",-0.188123919678282,-0.313897859067062,-0.236824149194992,-0.112579239718902,-0.154038324259857,-0.0631312922149619,-0.0901536999531073,-0.0528853343054972
"lspA","b0027",-0.116475455765224,-0.247191697122071,-0.207640710603095,-0.0471323115093585,-0.279769059240328,0.0196674891375227,NA,NA
"fkpB","b0028",-0.0837041853903069,-0.0662445435871347,-0.0100534323479904,-0.15176004118251,-0.121977061786861,-0.0888456503599715,0.303262821958838,NA
