"label","Pathway_ID","Pathway_name","size","Bnb","DMenv","DMevo","DMmut","label.sel"
1,"eco01110","Biosynthesis of secondary metabolites",282,"b0002,b0003,b0004,b0008,b0025,b0029,b0031,b0071,b0072,b0073,b0074,b0077,b0078,b0114,b0115,b0116,b0118,b0124,b0125,b0131,b0133,b0134,b0154,b0173,b0174,b0175,b0185,b0186,b0238,b0242,b0243,b0325,b0356,b0369,b0386,b0388,b0394,b0403,b0414,b0415,b0420,b0421,b0425,b0428,b0474,b0475,b0480,b0514,b0522,b0523,b0583,b0586,b0593,b0594,b0595,b0596,b0662,b0674,b0675,b0720,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0754,b0755,b0756,b0767,b0771,b0801,b0828,b0844,b0870,b0907,b0908,b1004,b1033,b1090,b1092,b1093,b1094,b1131,b1136,b1197,b1208,b1210,b1236,b1241,b1260,b1261,b1263,b1277,b1613,b1622,b1662,b1675,b1686,b1693,b1702,b1732,b1779,b1780,b1814,b1849,b1852,b1896,b1897,b1927,b2019,b2020,b2022,b2024,b2025,b2026,b2029,b2042,b2097,b2132,b2210,b2232,b2241,b2242,b2260,b2261,b2262,b2263,b2264,b2265,b2290,b2311,b2312,b2316,b2329,b2341,b2342,b2388,b2400,b2414,b2436,b2465,b2476,b2478,b2499,b2500,b2508,b2515,b2518,b2533,b2551,b2557,b2585,b2599,b2600,b2601,b2744,b2746,b2747,b2751,b2752,b2779,b2797,b2818,b2838,b2844,b2889,b2903,b2904,b2905,b2906,b2907,b2913,b2914,b2925,b2926,b2929,b2935,b2942,b2957,b2965,b3008,b3018,b3039,b3041,b3059,b3117,b3124,b3172,b3187,b3212,b3213,b3236,b3255,b3256,b3281,b3359,b3368,b3385,b3386,b3389,b3403,b3416,b3417,b3425,b3426,b3429,b3430,b3432,b3433,b3437,b3519,b3553,b3571,b3572,b3588,b3607,b3608,b3612,b3670,b3671,b3744,b3769,b3770,b3771,b3774,b3788,b3789,b3803,b3804,b3805,b3809,b3812,b3821,b3829,b3833,b3843,b3845,b3846,b3850,b3867,b3916,b3918,b3919,b3925,b3930,b3939,b3940,b3942,b3957,b3958,b3959,b3960,b3997,b4005,b4006,b4013,b4014,b4015,b4019,b4024,b4025,b4039,b4042,b4054,b4117,b4131,b4151,b4152,b4153,b4154,b4160,b4171,b4211,b4232,b4269,b4384,b4388,b4395,b4471",0.334500615365665,0.0684851789435216,0.160728476867993,""
2,"eco01120","Microbial metabolism in diverse environments",181,"b0002,b0003,b0004,b0008,b0031,b0061,b0114,b0115,b0116,b0118,b0154,b0166,b0185,b0186,b0323,b0325,b0355,b0356,b0369,b0512,b0514,b0515,b0521,b0529,b0578,b0720,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0755,b0756,b0767,b0771,b0851,b0870,b0903,b0907,b0963,b0968,b0996,b0997,b0998,b1002,b1033,b1136,b1210,b1227,b1241,b1406,b1650,b1670,b1675,b1687,b1702,b1761,b1779,b1780,b1850,b1851,b1852,b1873,b1967,b1970,b2029,b2097,b2154,b2167,b2203,b2206,b2210,b2296,b2311,b2316,b2341,b2342,b2388,b2400,b2414,b2465,b2472,b2478,b2521,b2551,b2659,b2660,b2661,b2662,b2750,b2751,b2752,b2762,b2764,b2779,b2799,b2800,b2803,b2838,b2840,b2844,b2866,b2867,b2868,b2874,b2913,b2914,b2925,b2926,b2929,b2935,b2994,b2997,b3073,b3114,b3124,b3212,b3213,b3236,b3255,b3256,b3355,b3359,b3365,b3366,b3368,b3386,b3403,b3425,b3433,b3437,b3526,b3553,b3588,b3607,b3612,b3803,b3804,b3805,b3809,b3830,b3845,b3846,b3870,b3885,b3892,b3893,b3902,b3903,b3904,b3916,b3919,b3925,b3940,b3941,b3956,b4014,b4015,b4024,b4025,b4070,b4131,b4151,b4152,b4153,b4154,b4192,b4193,b4194,b4195,b4196,b4197,b4198,b4214,b4232,b4269,b4388,b4395",0.321388717079164,0.138646292128706,0.185055719757758,""
3,"eco01200","Carbon metabolism",85,"b0008,b0114,b0115,b0116,b0118,b0185,b0323,b0355,b0356,b0521,b0529,b0720,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0755,b0767,b0771,b0907,b1136,b1702,b1732,b1779,b1814,b1850,b1851,b1852,b2029,b2097,b2154,b2210,b2296,b2316,b2341,b2388,b2414,b2465,b2551,b2779,b2797,b2844,b2874,b2903,b2904,b2905,b2913,b2914,b2925,b2926,b2935,b3117,b3236,b3255,b3256,b3355,b3386,b3403,b3437,b3526,b3607,b3612,b3846,b3892,b3893,b3916,b3919,b3925,b3941,b3956,b4014,b4015,b4025,b4151,b4152,b4153,b4154,b4232,b4388,b4395,b4471",0.361995387198056,0.108681797826937,0.291438107691637,""
4,"eco01210","2-Oxocarboxylic acid metabolism",29,"b0071,b0072,b0073,b0074,b0077,b0078,b0114,b0115,b0116,b0118,b0720,b0726,b0727,b0771,b1136,b2290,b2818,b3359,b3433,b3670,b3671,b3769,b3770,b3771,b3774,b3957,b3958,b3959,b4024",0.753533876839738,0.0252655036570603,0.228540623235218,""
5,"eco01212","Fatty acid metabolism",18,"b0180,b0185,b0221,b0954,b1091,b1092,b1093,b1095,b1805,b2316,b2323,b2341,b2342,b2844,b3255,b3256,b3845,b3846",0.10391955721081,-0.0334801286312728,0.0111182468948312,""
6,"eco01230","Biosynthesis of amino acids",100,"b0002,b0003,b0004,b0008,b0031,b0071,b0072,b0073,b0074,b0077,b0078,b0118,b0159,b0166,b0242,b0243,b0386,b0388,b0674,b0720,b0754,b0755,b0771,b0870,b0907,b0908,b1136,b1260,b1261,b1263,b1622,b1693,b1779,b1814,b2019,b2020,b2022,b2024,b2025,b2026,b2097,b2290,b2329,b2414,b2421,b2465,b2472,b2478,b2551,b2599,b2600,b2601,b2687,b2779,b2797,b2818,b2838,b2913,b2914,b2925,b2926,b2935,b2942,b3008,b3117,b3172,b3212,b3213,b3281,b3359,b3386,b3389,b3433,b3607,b3612,b3670,b3671,b3744,b3769,b3770,b3771,b3774,b3809,b3829,b3870,b3916,b3919,b3939,b3940,b3957,b3958,b3959,b3960,b4013,b4019,b4024,b4054,b4388,b4395,b4471",0.481939887695568,0.0185566041052617,0.185643979729391,""
7,"eco01232","Nucleotide metabolism",52,"b0030,b0104,b0125,b0160,b0171,b0238,b0337,b0469,b0474,b0480,b0651,b0675,b0910,b1131,b1238,b1759,b2065,b2066,b2143,b2234,b2235,b2291,b2498,b2507,b2508,b2518,b2593,b2675,b2676,b2744,b2780,b2781,b2795,b2827,b2866,b2867,b2868,b2883,b2954,b3085,b3248,b3399,b3640,b3648,b3665,b3831,b4177,b4238,b4374,b4382,b4384,b4394",0.0721830617969806,0.0232834015328591,0.0594621503587619,""
8,"eco01250","Biosynthesis of nucleotide sugars",33,"b0200,b0222,b0394,b0758,b0759,b0918,b1119,b1215,b1236,b1613,b1640,b2028,b2042,b2253,b2255,b2388,b3052,b3176,b3189,b3197,b3198,b3430,b3619,b3729,b3730,b3786,b3787,b3788,b3789,b3790,b3791,b3972,b4025",-0.0653258360641194,0.0604783042834947,-0.0143654484524517,""
9,"eco01240","Biosynthesis of cofactors",129,"b0009,b0025,b0032,b0048,b0052,b0103,b0109,b0116,b0131,b0133,b0134,b0142,b0154,b0171,b0180,b0369,b0414,b0415,b0417,b0423,b0425,b0428,b0474,b0475,b0529,b0628,b0630,b0638,b0662,b0750,b0774,b0775,b0778,b0781,b0782,b0783,b0785,b0827,b0844,b0907,b0931,b0945,b1004,b1062,b1093,b1095,b1096,b1131,b1210,b1236,b1270,b1277,b1281,b1593,b1613,b1636,b1662,b1686,b1740,b1768,b1812,b1865,b1991,b1992,b1993,b2028,b2042,b2103,b2104,b2153,b2232,b2260,b2261,b2262,b2263,b2264,b2265,b2311,b2315,b2320,b2323,b2400,b2418,b2436,b2518,b2530,b2551,b2564,b2574,b2615,b2688,b2765,b2780,b2906,b2907,b2927,b2942,b2947,b3041,b3058,b3177,b3360,b3368,b3412,b3634,b3639,b3642,b3770,b3803,b3804,b3805,b3812,b3833,b3843,b3850,b3867,b3930,b3974,b3990,b3991,b3992,b3993,b3994,b3997,b4039,b4177,b4211,b4244,b4245",0.133564421288848,-0.00321699039163021,0.0414635601120147,""
10,"eco00010","Glycolysis / Gluconeogenesis",31,"b0114,b0115,b0116,b0325,b0356,b0755,b0756,b1002,b1241,b1702,b1734,b1779,b1780,b2097,b2388,b2417,b2779,b2901,b2925,b2926,b3403,b3588,b3612,b3885,b3916,b3919,b3925,b4025,b4232,b4269,b4395",0.181136063224626,0.132555313039418,0.152241163831515,""
