"sample_ID","sample","rep_id","Strain.Description","Strain","Base.Media","Carbon.Source..g.L.","Nitrogen.Source..g.L.","Electron.Acceptor","Trace.Element.Mixture","Supplement","Temperature..C.","pH","Culture.Type","Growth.Rate..1.hr."
"ecoli_00001","control__wt_glc__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",NA
"ecoli_00002","control__wt_glc__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",NA
"ecoli_00003","fur__wt_dpd__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","","DPD (0.2mM)",37,7,"Batch",0
"ecoli_00004","fur__wt_dpd__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","","DPD (0.2mM)",37,7,"Batch",0
"ecoli_00005","fur__wt_fe__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","","FeCl2 (0.1mM)",37,7,"Batch",1.06
"ecoli_00006","fur__wt_fe__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","","FeCl2 (0.1mM)",37,7,"Batch",1.06
"ecoli_00011","acid__wt_ph5__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","","",37,5.5,"Batch",NA
"ecoli_00012","acid__wt_ph5__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","","",37,5.5,"Batch",NA
"ecoli_00019","oxidative__wt_pq__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","","PQ (250uM)",37,7,"Batch",0
"ecoli_00020","oxidative__wt_pq__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","","PQ (250uM)",37,7,"Batch",0
"ecoli_00027","nac_ntrc__wt_csn__1",1,"Escherichia coli K-12 MG1655","MG1655","W2","glucose(2)","cytosine(2)","O2","","",37,7,"Batch",NA
"ecoli_00028","nac_ntrc__wt_csn__2",2,"Escherichia coli K-12 MG1655","MG1655","W2","glucose(2)","cytosine(2)","O2","","",37,7,"Batch",NA
"ecoli_00029","nac_ntrc__wt_cytd__1",1,"Escherichia coli K-12 MG1655","MG1655","W2","glucose(2)","cytidine(2)","O2","","",37,7,"Batch",NA
"ecoli_00030","nac_ntrc__wt_cytd__2",2,"Escherichia coli K-12 MG1655","MG1655","W2","glucose(2)","cytidine(2)","O2","","",37,7,"Batch",NA
"ecoli_00031","nac_ntrc__wt_gln__1",1,"Escherichia coli K-12 MG1655","MG1655","W2","glucose(2)","glutamine(2)","O2","","",37,7,"Batch",NA
"ecoli_00032","nac_ntrc__wt_gln__2",2,"Escherichia coli K-12 MG1655","MG1655","W2","glucose(2)","glutamine(2)","O2","","",37,7,"Batch",NA
"ecoli_00041","misc__wt_no_te__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","","",37,7,"Batch",NA
"ecoli_00042","misc__wt_no_te__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","","",37,7,"Batch",NA
"ecoli_00049","misc__nitr_031__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(10mM)","O2","sauer trace element mixture","",37,7,"Chemostat",NA
"ecoli_00050","omics__wt_glu__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","glutamate (10mM)",37,7,"Batch",NA
"ecoli_00051","omics__wt_glu__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","glutamate (10mM)",37,7,"Batch",NA
"ecoli_00052","omics__wt_gly__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","glycine (10mM)",37,7,"Batch",NA
"ecoli_00053","omics__wt_gly__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","glycine (10mM)",37,7,"Batch",NA
"ecoli_00054","omics__wt_thr__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","threonine (10mM)",37,7,"Batch",NA
"ecoli_00055","omics__wt_thr__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","threonine (10mM)",37,7,"Batch",NA
"ecoli_00064","ompr__wt_nacl__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","","NaCl (0.3M)",37,7,"Batch",0
"ecoli_00065","ompr__wt_nacl__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(2)","NH4Cl(1)","O2","","NaCl (0.3M)",37,7,"Batch",0
"ecoli_00068","minspan__wt_ade__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","adenine (10mM)",37,7,"Batch",NA
"ecoli_00070","minspan__wt_glc__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",NA
"ecoli_00071","minspan__wt_glc__3",3,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",NA
"ecoli_00072","minspan__wt_glc__4",4,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","O2","sauer trace element mixture","",37,7,"Batch",NA
"ecoli_00073","minspan__wt_glc_anaero__1",1,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","","sauer trace element mixture","",37,7,"Batch",NA
"ecoli_00074","minspan__wt_glc_anaero__2",2,"Escherichia coli K-12 MG1655","MG1655","M9","glucose(4)","NH4Cl(1)","","sauer trace element mixture","",37,7,"Batch",NA
