"Regulator","Regulator_Bnb","Target","Target_Bnb","Effect","Source","Category"
"AaeR","b3243","aaeA","b3241","+","RegulonDB_TF","TF"
"AaeR","b3243","aaeB","b3240","+","RegulonDB_TF","TF"
"AaeR","b3243","aaeX","b3242","+","RegulonDB_TF","TF"
"AccB","b3255","accB","b3255","-","RegulonDB_TF","TF"
"AccB","b3255","accC","b3256","-","RegulonDB_TF","TF"
"AcrR","b0464","acrA","b0463","-","RegulonDB_TF","TF"
"AcrR","b0464","acrB","b0462","-","RegulonDB_TF","TF"
"AcrR","b0464","acrR","b0464","-","RegulonDB_TF","TF"
"AcrR","b0464","flhC","b1891","-","RegulonDB_TF","TF"
"AcrR","b0464","flhD","b1892","-","RegulonDB_TF","TF"
"AcrR","b0464","marA","b1531","-","RegulonDB_TF","TF"
"AcrR","b0464","marB","b1532","-","RegulonDB_TF","TF"
"AcrR","b0464","marR","b1530","-","RegulonDB_TF","TF"
"AcrR","b0464","micF","b4439","-","RegulonDB_TF","TF"
"AcrR","b0464","soxR","b4063","-","RegulonDB_TF","TF"
"AcrR","b0464","soxS","b4062","-","RegulonDB_TF","TF"
"Ada","b2213","aidB","b4187","+","RegulonDB_TF","TF"
"Ada","b2213","alkA","b2068","+","RegulonDB_TF","TF"
"AdiY","b4116","adiA","b4117","+","RegulonDB_TF","TF"
"AdiY","b4116","gadA","b3517","+","RegulonDB_TF","TF"
"AdiY","b4116","gadB","b1493","+","RegulonDB_TF","TF"
"AdiY","b4116","gadC","b1492","+","RegulonDB_TF","TF"
"AdiY","b4116","gadX","b3516","+","RegulonDB_TF","TF"
"AdiY","b4116","gltB","b3212","+","RegulonDB_TF","TF"
"AdiY","b4116","gltD","b3213","+","RegulonDB_TF","TF"
"AdiY","b4116","gltF","b3214","+","RegulonDB_TF","TF"
"AgaR","b3131","agaB","b3138","-","RegulonDB_TF","TF"
"AgaR","b3131","agaC","b3139","-","RegulonDB_TF","TF"
"AgaR","b3131","agaD","b3140","-","RegulonDB_TF","TF"
"AgaR","b3131","agaI","b3141","-","RegulonDB_TF","TF"
"AgaR","b3131","agaR","b3131","-","RegulonDB_TF","TF"
"AgaR","b3131","agaS","b3136","-","RegulonDB_TF","TF"
"AgaR","b3131","agaV","b3133","-","RegulonDB_TF","TF"
"AgaR","b3131","kbaY","b3137","-","RegulonDB_TF","TF"
"AgaR","b3131","kbaZ","b3132","-","RegulonDB_TF","TF"
"AidB","b4187","aidB","b4187","-","RegulonDB_TF","TF"
"AlaS","b2697","alaS","b2697","-","RegulonDB_TF","TF"
"AllR","b0506","allA","b0505","-","RegulonDB_TF","TF"
"AllR","b0506","allB","b0512","-","RegulonDB_TF","TF"
"AllR","b0506","allS","b0504","-","RegulonDB_TF","TF"
"AllR","b0506","gcl","b0507","-","RegulonDB_TF","TF"
"AllR","b0506","glxK","b0514","-","RegulonDB_TF","TF"
"AllR","b0506","glxR","b0509","-","RegulonDB_TF","TF"
"AllR","b0506","hyi","b0508","-","RegulonDB_TF","TF"
"AllR","b0506","ybbW","b0511","-","RegulonDB_TF","TF"
"AllR","b0506","ybbY","b0513","-","RegulonDB_TF","TF"
"AllS","b0504","allC","b0516","+","RegulonDB_TF","TF"
"AllS","b0504","allD","b0517","+","RegulonDB_TF","TF"
"AllS","b0504","allE","b0515","+","RegulonDB_TF","TF"
"AlpA","b2624","phoB","b0399","-","RegulonDB_TF","TF"
"AlpA","b2624","phoR","b0400","-","RegulonDB_TF","TF"
"AlsR","b4089","alsA","b4087","-","RegulonDB_TF","TF"
"AlsR","b4089","alsB","b4088","-","RegulonDB_TF","TF"
"AlsR","b4089","alsC","b4086","-","RegulonDB_TF","TF"
"AlsR","b4089","alsE","b4085","-","RegulonDB_TF","TF"
