TF,TU_name,Promoter_Name,TU_name.alt,Promoter_name.alt
AccB,accBC,accBp,accBC,"accBp1,accBp2"
ArcA,aceEF,aceEp,aceEF,"aceEp1,aceEp2"
FNR,aceEF,aceEp,aceEF,"aceEp1,aceEp2"
NsrR,aceEF,aceEp,aceEF,"aceEp1,aceEp2"
ArcA,acnB,acnBp,acnB,"acnBp1,acnBp2"
CRP,acnB,acnBp,acnB,"acnBp1,acnBp2"
Cra,acnB,acnBp,acnB,"acnBp1,acnBp2"
Fis,acnB,acnBp,acnB,"acnBp1,acnBp2"
MetJ,ahpCF,ahpCp,ahpCF,"ahpCp1,ahpCp2"
OxyR,ahpCF,ahpCp,ahpCF,"ahpCp1,ahpCp2"
Ada,aidB,aidBp,aidB,"aidBp1,aidBp2"
AidB,aidB,aidBp,aidB,"aidBp1,aidBp2"
Lrp,aidB,aidBp,aidB,"aidBp1,aidBp2"
DpiA,appY,appYp,appY,"appYp1,appYp2,appYp3"
H-NS,appY,appYp,appY,"appYp1,appYp2,appYp3"
AraC,araFGH,araFp,araFGH,"araFp1,araFp2,araFp3"
CRP,araFGH,araFp,araFGH,"araFp1,araFp2,araFp3"
TrpR,aroL-yaiA-aroM,aroLp,aroL-yaiA-aroM,"aroLp1,aroLp2"
TyrR,aroL-yaiA-aroM,aroLp,aroL-yaiA-aroM,"aroLp1,aroLp2"
CRP,bglG,bglGp,bglG,"bglGp1,bglGp2"
Fis,bglG,bglGp,bglG,"bglGp1,bglGp2"
H-NS,bglG,bglGp,bglG,"bglGp1,bglGp2"
LeuO,bglG,bglGp,bglG,"bglGp1,bglGp2"
RcsB-BglJ,bglG,bglGp,bglG,"bglGp1,bglGp2"
StpA,bglG,bglGp,bglG,"bglGp1,bglGp2"
CRP,bglGFB,bglGp,bglGFB,"bglGp1,bglGp2"
Fis,bglGFB,bglGp,bglGFB,"bglGp1,bglGp2"
H-NS,bglGFB,bglGp,bglGFB,"bglGp1,bglGp2"
LeuO,bglGFB,bglGp,bglGFB,"bglGp1,bglGp2"
RcsB-BglJ,bglGFB,bglGp,bglGFB,"bglGp1,bglGp2"
StpA,bglGFB,bglGp,bglGFB,"bglGp1,bglGp2"
CRP,chiP-ybfN,chiPp,chiZPQ,"chiZp,chiPp"
NagC,chiP-ybfN,chiPp,chiZPQ,"chiZp,chiPp"
BasR,cspI,cspIp,cspI,"cspIp1,cspIp2"
Fis,cspI,cspIp,cspI,"cspIp1,cspIp2"
CRP,dcuB-fumB,dcuBp,dcuB-fumB,"dcuBp1,dcuBp2"
FNR,dcuB-fumB,dcuBp,dcuB-fumB,"dcuBp1,dcuBp2"
NarL,dcuB-fumB,dcuBp,dcuB-fumB,"dcuBp1,dcuBp2"
PhoP,dcuD,dcuDp,dcuD,"dcuDp1,dcuDp2"
NtrC,ddpXABCDF,ddpXp,ddpXABCDF,"ddpXp1,ddpXp2,ddpXp3"
ArcA,dpiBA,dpiBp,dpiBA,"dpiBp1,dpiBp2"
CRP,dpiBA,dpiBp,dpiBA,"dpiBp1,dpiBp2"
DpiA,dpiBA,dpiBp,dpiBA,"dpiBp1,dpiBp2"
FNR,dpiBA,dpiBp,dpiBA,"dpiBp1,dpiBp2"
NarL,dpiBA,dpiBp,dpiBA,"dpiBp1,dpiBp2"
Cra,edd-eda,eddp1,edd-eda,eddp
GntR,edd-eda,eddp1,edd-eda,eddp
KdgR,edd-eda,eddp1,edd-eda,eddp
FadR,fadR,fadRp,fadR,"fadRp1,fadRp2"
Fur,fhuF,fhuFp,fhuF,"fhuFp1,fhuFp2"
OxyR,fhuF,fhuFp,fhuF,"fhuFp1,fhuFp2"
FlhDC,fliDST,fliDp,fliDST,"fliDp1,fliDp2"
CsgD,fliE,fliEp,fliE,"fliEp1,fliEp2"
ArcA,fumC,fumCp,fumC,"fumCp1,fumCp2"
CRP,fumC,fumCp,fumC,"fumCp1,fumCp2"
FNR,fumC,fumCp,fumC,"fumCp1,fumCp2"
Fur,fumC,fumCp,fumC,"fumCp1,fumCp2"
MarA,fumC,fumCp,fumC,"fumCp1,fumCp2"
SoxR,fumC,fumCp,fumC,"fumCp1,fumCp2"
SoxS,fumC,fumCp,fumC,"fumCp1,fumCp2"
ArcA,gadE,gadEp1,gadEF,gadEp1
ArcA,gadE,gadEp3,gadEF,gadEp3
GadE,gadE,gadEp1,gadEF,gadEp1
GadX,gadE,gadEp3,gadEF,gadEp3
PhoP,gadE,gadEp1,gadEF,gadEp1
YdeO,gadE,gadEp3,gadEF,gadEp3
CRP,gadEF-mdtEF,gadEp,gadEF-mdtEF,gadEp2
EvgA,gadEF-mdtEF,gadEp,gadEF-mdtEF,gadEp2
FliZ,gadEF-mdtEF,gadEp,gadEF-mdtEF,gadEp2
GadE,gadEF-mdtEF,gadEp,gadEF-mdtEF,gadEp2
GadW,gadEF-mdtEF,gadEp,gadEF-mdtEF,gadEp2
GadX,gadEF-mdtEF,gadEp,gadEF-mdtEF,gadEp2
H-NS,gadEF-mdtEF,gadEp,gadEF-mdtEF,gadEp2
YdeO,gadEF-mdtEF,gadEp,gadEF-mdtEF,gadEp2
ArgP,gdhA,gdhAp1,gdhA,gdhAp
CRP,gdhA,gdhAp1,gdhA,gdhAp
FNR,gdhA,gdhAp1,gdhA,gdhAp
Fur,gdhA,gdhAp1,gdhA,gdhAp
Nac,gdhA,gdhAp1,gdhA,gdhAp
Cra,glk,glkp,glk,"glkp1,glkp2,glkp3,glkp4"
Cra,gpmM-envC-yibQ,gpmMp,gpmM-envC-yibQ,"gpmMp1,gpmMp2"
H-NS,hchA,hchAp,hchA,"hchAp1,hchAp2"
FNR,hcp-hcr,hcpp,hcp-hcr,"hcpp1,hcpp2"
NarL,hcp-hcr,hcpp,hcp-hcr,"hcpp1,hcpp2"
NarP,hcp-hcr,hcpp,hcp-hcr,"hcpp1,hcpp2"
NsrR,hcp-hcr,hcpp,hcp-hcr,"hcpp1,hcpp2"
OxyR,hcp-hcr,hcpp,hcp-hcr,"hcpp1,hcpp2"
FNR,hcp-hcr-poxB,hcpp,hcp-hcr-poxB,hcpp1
NarL,hcp-hcr-poxB,hcpp,hcp-hcr-poxB,hcpp1
NarP,hcp-hcr-poxB,hcpp,hcp-hcr-poxB,hcpp1
NsrR,hcp-hcr-poxB,hcpp,hcp-hcr-poxB,hcpp1
OxyR,hcp-hcr-poxB,hcpp,hcp-hcr-poxB,hcpp1
IHF,hemF,hemFp,hemF,"hemFp1,hemFp2,hemFp3"
ArcA,iraM,iraMp,iraM,"iraMp1,iraMp2"
FNR,iraM,iraMp,iraM,"iraMp1,iraMp2"
PhoP,iraM,iraMp,iraM,"iraMp1,iraMp2"
LeuO,leuL,leuLp,leuL,leuLp1
LeuO,leuLABCD,leuLp,leuLABCD,"leuLp1,leuLp2"
CRP,malEFG,malEp,malEFGH,malEp
CreB,malEFG,malEp,malEFGH,malEp
Fis,malEFG,malEp,malEFGH,malEp
H-NS,malEFG,malEp,malEFGH,malEp
MalT,malEFG,malEp,malEFGH,malEp
StpA,malEFG,malEp,malEFGH,malEp
H-NS,mdtJI,mdtJp,mdtUJI,mdtJp
Fur,metH,metHp,metH,"metHp1,metHp2"
MetR,metH,metHp,metH,"metHp1,metHp2"
AcrR,micF,micFp,micF,"micFp1,micFp2"
H-NS,micF,micFp,micF,"micFp1,micFp2"
HU,micF,micFp,micF,"micFp1,micFp2"
IHF,micF,micFp,micF,"micFp1,micFp2"
Lrp,micF,micFp,micF,"micFp1,micFp2"
MarA,micF,micFp,micF,"micFp1,micFp2"
OmpR,micF,micFp,micF,"micFp1,micFp2"
Rob,micF,micFp,micF,"micFp1,micFp2"
SoxS,micF,micFp,micF,"micFp1,micFp2"
CRP,modABC,modAp,modABC,"modAp1,modAp2"
ModE,modABC,modAp,modABC,"modAp1,modAp2"
MqsA,mqsRA,mqsRp,mqsRA,"mqsRp1,mqsRp2"
Cra,poxB,poxBp,poxB,"poxBp1,poxBp2"
MarA,poxB,poxBp,poxB,"poxBp1,poxBp2"
SoxS,poxB,poxBp,poxB,"poxBp1,poxBp2"
Cra,pps,ppsp,ppsA,ppsp
BasR,qseBC,qseBp2,qseBC,"qseBp1,qseBp2"
QseB,qseBC,qseBp2,qseBC,"qseBp1,qseBp2"
CpxR,rpoH,rpoHp,rpoH,"rpoH1,rpoH2,rpoH3,rpoH4,rpoH5,rpoH6"
Fis,rrsE-gltV-rrlE-rrfE,rrsEp,rrsE-gltV-rrlE-rrfE,"rrsEp1,rrsEp2,rrsEp3"
Lrp,rrsE-gltV-rrlE-rrfE,rrsEp,rrsE-gltV-rrlE-rrfE,"rrsEp1,rrsEp2,rrsEp3"
CRP,sdhDAB,sdhDp2,sdhDAB,sdhDp
CRP,serC,serCp,serC,"serCp1,serCp2"
Lrp,serC,serCp,serC,"serCp1,serCp2"
CRP,serC-aroA,serCp,serC-aroA,"serCp1,serCp2"
Lrp,serC-aroA,serCp,serC-aroA,"serCp1,serCp2"
BasR,tomB-hha,tomBp1,tomB-hha,tonBp
CpxR,tomB-hha,tomBp1,tomB-hha,tonBp
PdhR,tomB-hha,tomBp1,tomB-hha,tonBp
CRP,trg,trgp1,trg,trgp
Fis,trg,trgp1,trg,trgp
FeaR,tynA,tynAp1,tynA,tynAp
CRP,uxaCA,uxaCp,uxaCA,"uxaCp1,uxaCp2"
ExuR,uxaCA,uxaCp,uxaCA,"uxaCp1,uxaCp2"
FNR,uxaCA,uxaCp,uxaCA,"uxaCp1,uxaCp2"
RcsAB,wza-wzb-wzc-wcaAB,wzap,wza-wzb-wzc-wcaAB,wzap1
FNR,xdhABC,xdhAp,xdhABC,"xdhAp1,xdhAp2"
Cra,yahA,pdeLp1,pdeL,"pdeLp1,pdeLp2,pdeLp3"
PdeL,yahA,pdeLp2,pdeL,"pdeLp1,pdeLp2,pdeLp3"
CRP,ycfQ,comRp,comR,comRp
