Regulator	Regulated	Effect	Evidence	Strength
Sigma24	ahpF	+	[AIPP, TIM]	Strong
Sigma24	apaG	+	[NTAS, TASES]	Weak
Sigma24	apaH	+	[NTAS, TASES]	Weak
Sigma24	bacA	+	[AIPP, TIM]	Weak
Sigma24	bamA	+	[AIPP, HIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	bamB	+	[AIPP, TIM]	Weak
Sigma24	bamC	+	[HIPP, TIM]	Weak
Sigma24	bamD	+	[AIPP, HIPP, TIM]	Weak
Sigma24	bamE	+	[AIPP, TIM]	Weak
Sigma24	bepA	+	[AIPP, TIM]	Weak
Sigma24	bhsA	+	[HTTIM]	Strong
Sigma24	cca	+	[AIPP, TIM]	Weak
Sigma24	clpX	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	degP	+	[HIPP, TIM]	Weak
Sigma24	der	+	[AIPP, TIM]	Weak
Sigma24	dnaE	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	dsbC	+	[AIPP, HIPP, TIM]	Weak
Sigma24	ecpR	+	[ICWHO]	Weak
Sigma24	essD	+	[AIPP, TIM]	Weak
Sigma24	fabZ	+	[AIPP, HIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	fadM	+	[ICWHO]	Weak
Sigma24	fkpA	+	[AIPP, IHBCE, RS-EPT-CBR, TIM]	Weak
Sigma24	ftnB	+	[AIPP, TIM]	Weak
Sigma24	fusA	+	[AIPP, TIM]	Weak
Sigma24	greA	+	[AIPP, TIM]	Weak
Sigma24	gspA	+	[AIPP, TIM]	Weak
Sigma24	gspB	+	[AIPP, TIM]	Weak
Sigma24	hcp	+	[AIPP, TIM]	Weak
Sigma24	hcr	+	[AIPP, TIM]	Weak
Sigma24	hokE	+	[AIPP]	Weak
Sigma24	hpf	+	[AIPP, TIM]	Weak
Sigma24	ibaG	+	[HIPP, ICWHO]	Weak
Sigma24	insK	+	[HIPP]	Weak
Sigma24	lgoR	+	[ICWHO]	Weak
Sigma24	lhr	+	[AIPP, TIM]	Weak
Sigma24	lon	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	lptA	+	[HIPP, IDA, IMP, TIM]	Weak
Sigma24	lptB	+	[AIPP, HIPP, IDA, IMP, TIM]	Weak
Sigma24	lptD	+	[HIPP, TIM]	Weak
Sigma24	lpxA	+	[AIPP, HIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	lpxB	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	lpxD	+	[AIPP, HIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	lpxP	+	[AIPP, HIPP, TIM]	Weak
Sigma24	lyxK	+	[AIPP, TIM]	Weak
Sigma24	malQ	+	[AIPP, TIM]	Weak
Sigma24	micA	+	[HIPP, TIM]	Weak
Sigma24	micL	+	[RS-EPT-CBR, TIM]	Strong
Sigma24	mscM	+	[AIPP, TIM]	Weak
