GID,probe_id,Bnb
GENE2233X,1760409_s_at,b2725
GENE3601X,1761199_s_at,b4236
GENE2221X,1767134_s_at,b2731
GENE134X,1766543_s_at,b0064
GENE1921X,1765902_at,b4293
GENE2864X,1761433_s_at,b3405
GENE3748X,1760377_s_at,b2707
GENE3514X,1763446_s_at,b4140
GENE1768X,1762531_s_at,b2177
GENE2309X,1760305_s_at,b1891
GENE697X,1762824_s_at,b1892
GENE2073X,1764712_s_at,b2742
GENE2481X,1763114_s_at,b3002
GENE3819X,1768827_s_at,b0889
GENE1620X,1767221_s_at,b1982
GENE2673X,1767674_s_at,b3261
GENE3486X,1764343_s_at,b4111
GENE87X,1759187_at,b4432
GENE202X,1762392_s_at,b0116
GENE212X,1768073_at,b0118
GENE3348X,1762572_s_at,b3962
GENE3179X,1768775_s_at,b3751
GENE3182X,1760971_s_at,b3749
GENE3180X,1763403_s_at,b3750
GENE3695X,1762794_s_at,b0458
GENE308X,1763770_s_at,b0313
GENE757X,1769013_s_at,b0893
GENE901X,1764813_s_at,b3403
GENE2468X,1767918_s_at,b2980
GENE3810X,1768444_s_at,b2150
GENE587X,1769042_s_at,b0728
GENE582X,1760290_s_at,b0727
GENE589X,1767719_s_at,b0729
GENE596X,1767040_s_at,b0722
GENE661X,1762750_s_at,b0723
GENE575X,1769260_s_at,b0724
GENE578X,1766868_s_at,b0726
GENE1909X,1767184_s_at,b1612
GENE85X,1763679_at,b4438
GENE663X,1764424_at,b2082
GENE3115X,1762978_s_at,b3686
GENE3122X,1769060_s_at,b3687
GENE2148X,1759164_s_at,b2614
GENE107X,1763357_s_at,b0014
GENE2129X,1764871_s_at,b2592
GENE2915X,1763838_s_at,b3461
GENE3512X,1764894_s_at,b4142
GENE3522X,1768518_s_at,b4143
GENE110X,1769019_s_at,b0015
GENE2112X,1761025_s_at,b2572
GENE2186X,1760969_s_at,b0161
GENE3384X,1762343_s_at,b4014
GENE2810X,1766873_s_at,b3236
GENE3388X,1763981_s_at,b4015
GENE220X,1766180_s_at,b0811
GENE3185X,1763733_s_at,b3748
GENE3022X,1761548_s_at,b3570
GENE2685X,1762053_s_at,b3192
GENE3061X,1766662_s_at,b3610
GENE3309X,1765167_s_at,b3928
GENE2861X,1762003_s_at,b3207
GENE2824X,1763873_s_at,b3363
GENE3726X,1763206_s_at,b4391
GENE2521X,1766008_s_at,b3041
GENE3476X,1763857_s_at,b1562
GENE1649X,1769072_s_at,b2017
GENE2540X,1761089_at,b1563
GENE3212X,1760110_at,b1564
GENE2066X,1759704_s_at,b2530
GENE2064X,1764497_s_at,b2529
GENE559X,1764175_s_at,b2531
GENE2061X,1762825_s_at,b2528
GENE3727X,1763169_s_at,b4383
GENE2427X,1762370_s_at,b2924
GENE2412X,1764974_s_at,b2922
GENE2773X,1760956_s_at,b3233
GENE3004X,1761114_s_at,b3556
GENE3541X,1765901_s_at,b4172
GENE3542X,1762453_s_at,b4171
GENE1502X,1765695_s_at,b1847
GENE2011X,1763510_s_at,b1740
GENE968X,1761783_s_at,b1176
GENE965X,1767749_s_at,b1175
GENE786X,1764771_s_at,b0926
GENE1117X,1766725_s_at,b1446
GENE156X,1766568_s_at,b1094
GENE1333X,1768047_s_at,b1667
GENE1089X,1762603_s_at,b1324
GENE1329X,1767805_s_at,b1614
GENE569X,1760593_s_at,b0684
GENE1071X,1763542_s_at,b1273
GENE880X,1769115_s_at,b1093
GENE3591X,1764409_s_at,b4226
GENE686X,1762132_s_at,b0740
GENE1376X,1764531_s_at,b1719
GENE346X,1767263_s_at,b2779
GENE174X,1764724_s_at,b0093
GENE1667X,1760711_s_at,b2042
GENE1254X,1760600_s_at,b1539
GENE1328X,1763700_s_at,b1654
GENE1473X,1767508_s_at,b1814
GENE2285X,1766129_s_at,b0932
GENE2125X,1763473_s_at,b2587
GENE1853X,1759438_s_at,b2288
GENE1827X,1761759_s_at,b2287
GENE2500X,1766040_at,b3022
GENE1030X,1768602_at,b3021
GENE2043X,1761207_s_at,b2504
GENE393X,1763709_s_at,b0437
GENE571X,1765071_s_at,b0683
GENE1856X,1766869_s_at,b2294
GENE394X,1762543_s_at,b0438
GENE3314X,1762036_s_at,b3936
GENE1066X,1762494_s_at,b1267
GENE709X,1763054_s_at,b0839
GENE3272X,1761875_s_at,b3885
GENE397X,1762423_s_at,b3037
GENE2655X,1764253_s_at,b1779
GENE2947X,1768748_s_at,b3495
GENE282X,1768232_s_at,b1656
GENE985X,1759918_s_at,b0882
GENE909X,1763416_s_at,b1108
