Original_Name,Prom,ORF,Prom_ORF,Cel,Replicate,Name
nlpD_appY_100a.CEL,nlpD,appY,nlpD_appY,100a.CEL,rep1,nlpD_appY_rep1
nlpD_appY_100c.CEL,nlpD,appY,nlpD_appY,100c.CEL,rep2,nlpD_appY_rep2
nlpD_appY_100b.CEL,nlpD,appY,nlpD_appY,100b.CEL,rep3,nlpD_appY_rep3
rpoH_fis_106a.CEL,rpoH,fis,rpoH_fis,106a.CEL,rep1,rpoH_fis_rep1
rpoH_fis_106b.CEL,rpoH,fis,rpoH_fis,106b.CEL,rep2,rpoH_fis_rep2
rpoH_fis_106c.CEL,rpoH,fis,rpoH_fis,106c.CEL,rep3,rpoH_fis_rep3
rpoH_rpoD_108b.CEL,rpoH,rpoD,rpoH_rpoD,108b.CEL,rep1,rpoH_rpoD_rep1
rpoH_rpoD_108a.CEL,rpoH,rpoD,rpoH_rpoD,108a.CEL,rep2,rpoH_rpoD_rep2
rpoH_rpoD_108c.CEL,rpoH,rpoD,rpoH_rpoD,108c.CEL,rep3,rpoH_rpoD_rep3
rpoE_fecI_10a.CEL,rpoE,fecI,rpoE_fecI,10a.CEL,rep1,rpoE_fecI_rep1
rpoE_fecI_10b.CEL,rpoE,fecI,rpoE_fecI,10b.CEL,rep2,rpoE_fecI_rep2
rpoE_fecI_10c.CEL,rpoE,fecI,rpoE_fecI,10c.CEL,rep3,rpoE_fecI_rep3
rpoE_hns_11a.CEL,rpoE,hns,rpoE_hns,11a.CEL,rep1,rpoE_hns_rep1
rpoE_hns_11b.CEL,rpoE,hns,rpoE_hns,11b.CEL,rep2,rpoE_hns_rep2
rpoE_hns_11c.CEL,rpoE,hns,rpoE_hns,11c.CEL,rep3,rpoE_hns_rep3
rpoH_malT_123a.CEL,rpoH,malT,rpoH_malT,123a.CEL,rep1,rpoH_malT_rep1
rpoH_malT_123b.CEL,rpoH,malT,rpoH_malT,123b.CEL,rep2,rpoH_malT_rep2
rpoH_malT_123c.CEL,rpoH,malT,rpoH_malT,123c.CEL,rep3,rpoH_malT_rep3
rpoE_fliA_12a.CEL,rpoE,fliA,rpoE_fliA,12a.CEL,rep1,rpoE_fliA_rep1
rpoE_fliA_12b.CEL,rpoE,fliA,rpoE_fliA,12b.CEL,rep2,rpoE_fliA_rep2
rpoE_fliA_12c.CEL,rpoE,fliA,rpoE_fliA,12c.CEL,rep3,rpoE_fliA_rep3
rpoE_ompR_13a.CEL,rpoE,ompR,rpoE_ompR,13a.CEL,rep1,rpoE_ompR_rep1
rpoE_ompR_13b.CEL,rpoE,ompR,rpoE_ompR,13b.CEL,rep2,rpoE_ompR_rep2
rpoE_ompR_13c.CEL,rpoE,ompR,rpoE_ompR,13c.CEL,rep3,rpoE_ompR_rep3
fliA_ihfAB_14a.CEL,fliA,ihfAB,fliA_ihfAB,14a.CEL,rep1,fliA_ihfAB_rep1
