name,NaCl_1,NaCl_2,NaCl_3,NaCl_4,NaCl_5,KCl_1,KCl_2,KCl_3,KCl_4,KCl_5,CoCl2_1,CoCl2_2,CoCl2_3,CoCl2_4,CoCl2_5,Na2CO3_1,Na2CO3_2,Na2CO3_3,Na2CO3_4,Na2CO3_5,Lac_1,Lac_2,Lac_3,Lac_4,Lac_5,Mal_1,Mal_2,Mal_3,Mal_4,Mal_5,MCL_1,MCL_2,MCL_3,MCL_4,MCL_5,Cro_1,Cro_2,Cro_3,Cro_4,Cro_5,MG_1,MG_2,MG_3,MG_4,MG_5,BuOH_1,BuOH_2,BuOH_3,BuOH_4,BuOH_5,CPC_1,CPC_2,CPC_3,CPC_4,CPC_5
thrL,4.140 ,3.997 ,4.019 ,4.073 ,4.010 ,4.168 ,4.262 ,4.282 ,4.265 ,4.254 ,4.073 ,4.491 ,4.654 ,4.554 ,4.554 ,4.527 ,4.451 ,4.454 ,4.444 ,4.523 ,4.111 ,4.447 ,4.272 ,4.320 ,4.181 ,4.440 ,4.532 ,4.382 ,4.536 ,4.646 ,4.510 ,4.471 ,4.427 ,4.346 ,4.388 ,4.400 ,4.382 ,4.581 ,4.457 ,4.544 ,4.028 ,4.236 ,4.127 ,4.104 ,4.251 ,4.367 ,4.463 ,4.282 ,4.382 ,4.317 ,4.310 ,4.159 ,4.228 ,4.279 ,4.177 
thrA,3.738 ,3.688 ,3.671 ,3.628 ,3.576 ,3.813 ,3.754 ,3.740 ,3.681 ,3.735 ,3.847 ,3.644 ,3.881 ,3.815 ,3.887 ,3.763 ,3.925 ,3.881 ,4.073 ,3.978 ,4.191 ,3.910 ,3.948 ,3.810 ,3.849 ,4.279 ,4.037 ,4.040 ,4.025 ,4.048 ,3.734 ,3.817 ,4.042 ,4.083 ,3.986 ,4.177 ,3.950 ,3.861 ,4.108 ,3.859 ,3.724 ,3.655 ,3.737 ,3.718 ,3.859 ,3.797 ,3.970 ,3.837 ,3.941 ,3.960 ,3.859 ,3.894 ,3.703 ,3.616 ,3.617 
thrB,3.751 ,3.703 ,3.664 ,3.648 ,3.577 ,3.776 ,3.700 ,3.712 ,3.650 ,3.688 ,3.790 ,3.555 ,3.780 ,3.732 ,3.773 ,3.686 ,3.849 ,3.797 ,3.978 ,3.877 ,4.228 ,3.923 ,4.025 ,3.837 ,3.827 ,4.191 ,3.983 ,3.970 ,3.936 ,3.923 ,3.624 ,3.726 ,3.950 ,3.980 ,3.920 ,4.060 ,3.867 ,3.749 ,4.087 ,3.756 ,3.776 ,3.644 ,3.735 ,3.734 ,3.839 ,3.766 ,3.938 ,3.815 ,3.906 ,3.988 ,3.877 ,3.881 ,3.678 ,3.620 ,3.591 
thrC,3.635 ,3.594 ,3.580 ,3.555 ,3.486 ,3.664 ,3.621 ,3.588 ,3.573 ,3.573 ,3.751 ,3.520 ,3.674 ,3.647 ,3.716 ,3.610 ,3.778 ,3.729 ,3.865 ,3.833 ,4.073 ,3.726 ,3.894 ,3.712 ,3.760 ,4.037 ,3.859 ,3.872 ,3.724 ,3.788 ,3.639 ,3.661 ,3.859 ,3.872 ,3.877 ,3.920 ,3.677 ,3.629 ,3.896 ,3.677 ,3.667 ,3.606 ,3.751 ,3.664 ,3.825 ,3.651 ,3.815 ,3.732 ,3.817 ,3.941 ,3.819 ,3.796 ,3.614 ,3.632 ,3.607 
yaaX,2.304 ,2.238 ,2.193 ,2.197 ,2.128 ,2.357 ,2.287 ,2.347 ,2.291 ,2.308 ,2.497 ,2.513 ,2.509 ,2.463 ,2.475 ,2.449 ,2.513 ,2.486 ,2.462 ,2.516 ,2.651 ,2.489 ,2.628 ,2.473 ,2.591 ,2.491 ,2.521 ,2.410 ,2.414 ,2.401 ,2.632 ,2.521 ,2.721 ,2.716 ,2.693 ,2.568 ,2.346 ,2.526 ,2.558 ,2.520 ,2.443 ,2.433 ,2.587 ,2.529 ,2.494 ,2.465 ,2.518 ,2.467 ,2.514 ,2.641 ,2.516 ,2.660 ,2.507 ,2.390 ,2.438 
yaaA,2.747 ,2.775 ,2.768 ,2.744 ,2.766 ,2.763 ,2.796 ,2.759 ,2.784 ,2.787 ,2.744 ,2.752 ,2.754 ,2.699 ,2.682 ,2.649 ,2.718 ,2.647 ,2.708 ,2.722 ,2.628 ,2.773 ,2.677 ,2.705 ,2.623 ,2.626 ,2.589 ,2.643 ,2.584 ,2.583 ,2.723 ,2.628 ,2.700 ,2.687 ,2.765 ,2.583 ,2.406 ,2.570 ,2.620 ,2.601 ,2.725 ,2.637 ,2.646 ,2.740 ,2.710 ,2.643 ,2.681 ,2.653 ,2.686 ,2.691 ,2.700 ,2.670 ,2.691 ,2.578 ,2.596 
yaaJ,1.926 ,1.968 ,1.889 ,1.964 ,1.927 ,1.946 ,1.947 ,1.917 ,1.936 ,1.928 ,1.835 ,1.964 ,1.969 ,2.007 ,1.963 ,1.920 ,1.906 ,1.898 ,1.901 ,1.919 ,1.872 ,1.869 ,1.895 ,1.811 ,1.836 ,1.803 ,1.871 ,1.883 ,1.837 ,1.844 ,1.964 ,2.072 ,1.865 ,1.869 ,1.853 ,1.885 ,1.861 ,1.908 ,1.848 ,1.878 ,1.862 ,1.842 ,1.829 ,1.833 ,1.924 ,1.746 ,1.792 ,1.788 ,1.862 ,1.892 ,1.943 ,1.848 ,1.781 ,1.789 ,1.793 
talB,3.361 ,3.422 ,3.352 ,3.359 ,3.339 ,3.330 ,3.338 ,3.322 ,3.336 ,3.334 ,3.383 ,3.289 ,3.349 ,3.325 ,3.315 ,3.396 ,3.355 ,3.280 ,3.457 ,3.452 ,3.584 ,3.394 ,3.552 ,3.494 ,3.536 ,3.448 ,3.402 ,3.369 ,3.428 ,3.376 ,3.314 ,3.391 ,3.450 ,3.486 ,3.475 ,3.340 ,3.326 ,3.336 ,3.351 ,3.334 ,3.364 ,3.375 ,3.313 ,3.393 ,3.392 ,3.330 ,3.392 ,3.332 ,3.402 ,3.390 ,3.391 ,3.403 ,3.310 ,3.351 ,3.356 
mog,2.646 ,2.716 ,2.653 ,2.618 ,2.631 ,2.584 ,2.538 ,2.505 ,2.578 ,2.581 ,2.543 ,2.622 ,2.458 ,2.517 ,2.476 ,2.780 ,2.555 ,2.539 ,2.563 ,2.594 ,2.457 ,2.450 ,2.508 ,2.551 ,2.609 ,2.312 ,2.433 ,2.348 ,2.342 ,2.404 ,2.563 ,2.501 ,2.460 ,2.463 ,2.513 ,2.506 ,2.426 ,2.623 ,2.443 ,2.657 ,2.563 ,2.758 ,2.619 ,2.587 ,2.541 ,2.576 ,2.600 ,2.612 ,2.648 ,2.661 ,2.579 ,2.546 ,2.554 ,2.794 ,2.808 
yaaH,2.165 ,2.079 ,2.158 ,2.189 ,2.173 ,2.454 ,2.233 ,2.319 ,2.166 ,2.314 ,2.369 ,2.451 ,2.332 ,2.430 ,2.322 ,2.500 ,2.441 ,2.519 ,2.343 ,2.357 ,2.301 ,2.318 ,2.256 ,2.261 ,2.316 ,2.201 ,2.243 ,2.252 ,2.227 ,2.231 ,2.289 ,2.293 ,2.224 ,2.198 ,2.150 ,2.365 ,2.315 ,2.342 ,2.376 ,2.315 ,2.535 ,2.459 ,2.387 ,2.522 ,2.416 ,2.523 ,2.417 ,2.429 ,2.354 ,2.316 ,2.400 ,2.547 ,2.555 ,2.512 ,2.518 
yaaW,1.644 ,1.711 ,1.649 ,1.693 ,1.679 ,1.675 ,1.666 ,1.595 ,1.684 ,1.607 ,1.659 ,1.656 ,1.618 ,1.642 ,1.566 ,1.655 ,1.595 ,1.664 ,1.672 ,1.626 ,1.706 ,1.779 ,1.647 ,1.694 ,1.688 ,1.766 ,1.782 ,1.752 ,1.788 ,1.768 ,1.641 ,1.696 ,1.934 ,1.919 ,1.909 ,1.744 ,1.631 ,1.707 ,1.711 ,1.815 ,1.629 ,1.679 ,1.605 ,1.601 ,1.687 ,1.642 ,1.693 ,1.663 ,1.616 ,1.671 ,1.641 ,1.520 ,1.597 ,1.607 ,1.644 
htgA,1.174 ,1.122 ,1.261 ,1.126 ,1.100 ,1.053 ,1.131 ,1.194 ,1.258 ,1.276 ,1.307 ,1.185 ,1.313 ,1.173 ,1.224 ,1.262 ,1.156 ,1.248 ,1.094 ,1.172 ,1.028 ,1.310 ,1.338 ,1.301 ,1.182 ,1.234 ,1.186 ,1.289 ,1.255 ,1.283 ,1.300 ,1.277 ,1.493 ,1.561 ,1.444 ,1.434 ,1.384 ,1.236 ,1.205 ,1.288 ,1.181 ,1.235 ,1.177 ,1.300 ,1.153 ,1.148 ,0.966 ,1.079 ,1.120 ,1.010 ,1.053 ,1.282 ,1.061 ,1.252 ,1.227 
yaaI,1.497 ,1.581 ,1.548 ,1.551 ,1.571 ,1.410 ,1.498 ,1.516 ,1.504 ,1.547 ,1.610 ,1.608 ,1.524 ,1.601 ,1.504 ,1.704 ,1.489 ,1.501 ,1.468 ,1.541 ,1.669 ,1.695 ,1.680 ,1.699 ,1.750 ,1.743 ,1.872 ,1.722 ,1.809 ,1.717 ,1.592 ,1.618 ,2.219 ,2.224 ,2.142 ,1.621 ,1.601 ,1.793 ,1.659 ,1.782 ,1.572 ,1.829 ,1.639 ,1.624 ,1.598 ,1.631 ,1.665 ,1.642 ,1.555 ,1.648 ,1.542 ,1.657 ,1.614 ,1.741 ,1.726 
dnaK,4.163 ,4.292 ,4.104 ,4.089 ,4.100 ,3.894 ,3.923 ,3.867 ,4.048 ,3.920 ,3.706 ,3.780 ,3.735 ,3.753 ,3.674 ,3.698 ,3.799 ,3.804 ,3.829 ,3.835 ,4.057 ,3.943 ,3.941 ,3.821 ,3.952 ,4.254 ,4.048 ,4.132 ,4.272 ,4.108 ,3.794 ,3.769 ,3.869 ,3.877 ,3.844 ,3.983 ,3.986 ,4.048 ,4.013 ,4.040 ,3.744 ,3.715 ,3.692 ,3.738 ,3.804 ,3.817 ,3.927 ,3.877 ,3.908 ,3.973 ,3.796 ,3.891 ,3.783 ,3.619 ,3.686 
dnaJ,3.317 ,3.362 ,3.225 ,3.180 ,3.206 ,3.068 ,3.162 ,3.109 ,3.260 ,3.167 ,3.161 ,3.088 ,2.953 ,2.990 ,2.998 ,3.023 ,3.050 ,3.076 ,3.004 ,3.028 ,3.133 ,3.104 ,3.136 ,3.078 ,3.204 ,3.214 ,3.213 ,3.252 ,3.126 ,3.168 ,3.128 ,3.084 ,2.968 ,2.959 ,2.996 ,3.132 ,3.120 ,3.282 ,3.095 ,3.298 ,3.149 ,3.179 ,3.277 ,3.209 ,3.255 ,3.243 ,3.277 ,3.245 ,3.236 ,3.314 ,3.162 ,3.223 ,3.178 ,3.107 ,3.156 
insL-1,0.824 ,0.913 ,1.091 ,0.959 ,1.088 ,1.194 ,0.794 ,1.084 ,0.970 ,1.070 ,1.044 ,0.956 ,0.952 ,0.980 ,0.999 ,0.983 ,0.968 ,0.766 ,1.086 ,1.019 ,0.888 ,0.929 ,0.855 ,1.047 ,1.207 ,0.941 ,0.971 ,1.167 ,0.984 ,1.021 ,0.984 ,1.099 ,0.938 ,0.952 ,0.948 ,1.045 ,1.215 ,0.901 ,0.993 ,0.973 ,0.823 ,1.174 ,0.883 ,1.017 ,1.049 ,1.005 ,0.968 ,0.978 ,0.838 ,0.912 ,0.901 ,1.070 ,1.001 ,0.983 ,0.940 
insL-2,1.057 ,0.948 ,0.972 ,1.075 ,0.894 ,1.060 ,0.834 ,0.944 ,0.987 ,0.956 ,1.064 ,0.975 ,1.021 ,1.045 ,1.043 ,1.024 ,0.781 ,0.989 ,0.937 ,0.904 ,0.992 ,1.111 ,1.059 ,1.012 ,0.884 ,0.962 ,0.813 ,0.908 ,0.981 ,1.149 ,0.781 ,0.961 ,0.954 ,1.164 ,0.977 ,0.826 ,1.062 ,1.088 ,1.016 ,0.966 ,1.046 ,1.203 ,0.955 ,1.080 ,1.039 ,0.955 ,0.855 ,0.893 ,0.920 ,1.099 ,0.933 ,1.020 ,1.180 ,0.901 ,1.012 
insL-3,1.149 ,0.971 ,1.069 ,0.923 ,0.869 ,1.113 ,0.918 ,0.829 ,0.968 ,1.198 ,1.088 ,0.880 ,0.876 ,1.158 ,1.014 ,1.123 ,0.985 ,0.970 ,1.024 ,1.159 ,1.119 ,0.956 ,1.086 ,1.081 ,1.202 ,0.970 ,0.909 ,0.936 ,0.987 ,0.906 ,0.815 ,0.973 ,0.950 ,0.997 ,0.989 ,1.082 ,0.959 ,0.934 ,0.857 ,1.067 ,0.967 ,1.010 ,0.878 ,0.970 ,0.904 ,0.884 ,0.994 ,0.867 ,0.971 ,0.981 ,0.952 ,1.125 ,0.757 ,0.930 ,0.977 
hokC,0.766 ,0.755 ,0.774 ,0.819 ,0.767 ,0.753 ,0.813 ,0.770 ,0.816 ,0.876 ,0.763 ,0.800 ,0.802 ,0.776 ,0.792 ,0.781 ,0.759 ,0.820 ,0.829 ,0.811 ,0.859 ,0.800 ,0.892 ,0.818 ,0.805 ,0.801 ,0.774 ,0.785 ,0.761 ,0.778 ,0.746 ,0.744 ,0.771 ,0.778 ,0.819 ,0.809 ,0.746 ,0.816 ,0.813 ,0.793 ,1.011 ,0.833 ,0.769 ,0.773 ,0.770 ,0.792 ,0.807 ,0.765 ,0.789 ,0.765 ,0.798 ,0.795 ,0.766 ,0.786 ,0.768 
mokC,0.821 ,0.843 ,0.964 ,0.939 ,0.872 ,1.073 ,1.082 ,0.897 ,0.740 ,0.811 ,0.970 ,0.906 ,0.946 ,0.938 ,0.865 ,0.997 ,0.934 ,0.721 ,0.890 ,0.917 ,0.841 ,1.019 ,0.830 ,0.773 ,0.777 ,0.893 ,0.880 ,1.068 ,1.088 ,0.934 ,0.751 ,0.987 ,0.834 ,0.746 ,0.779 ,0.961 ,0.869 ,0.948 ,0.946 ,0.997 ,0.810 ,0.869 ,0.844 ,0.882 ,0.966 ,0.774 ,0.914 ,0.805 ,0.839 ,0.892 ,0.915 ,0.774 ,1.053 ,0.741 ,0.910 
