name,NoStress,NaCl,KCl,CoCl,SoC,Lac,Mal,MCL,Cro,MG,BuOH,CPC
thrL,4.360 ,4.206 ,4.440 ,4.434 ,4.510 ,4.592 ,4.610 ,4.400 ,4.532 ,4.597 ,4.527 ,4.586 
thrA,3.864 ,3.621 ,3.670 ,3.945 ,3.088 ,3.991 ,4.093 ,3.801 ,4.145 ,3.796 ,3.918 ,3.808 
thrB,3.860 ,3.623 ,3.694 ,3.934 ,3.099 ,3.896 ,4.030 ,3.732 ,4.050 ,3.726 ,3.877 ,3.743 
thrC,3.813 ,3.516 ,3.551 ,3.867 ,2.965 ,3.760 ,3.847 ,3.645 ,3.943 ,3.664 ,3.768 ,3.644 
yaaX,2.631 ,2.150 ,2.344 ,2.700 ,2.039 ,2.498 ,2.506 ,2.380 ,2.633 ,2.493 ,2.374 ,2.435 
yaaA,2.709 ,2.688 ,2.735 ,2.719 ,2.579 ,2.640 ,2.616 ,2.691 ,2.700 ,2.657 ,2.662 ,2.662 
yaaJ,1.913 ,1.986 ,1.937 ,1.843 ,1.910 ,1.941 ,1.836 ,1.980 ,1.883 ,1.925 ,1.947 ,1.964 
talB,3.344 ,3.371 ,3.311 ,3.384 ,3.253 ,3.401 ,3.457 ,3.336 ,3.502 ,3.288 ,3.396 ,3.285 
mog,2.559 ,2.606 ,2.516 ,2.696 ,2.455 ,2.369 ,2.379 ,2.474 ,2.579 ,2.513 ,2.529 ,2.493 
yaaH,2.615 ,2.278 ,2.325 ,2.238 ,2.408 ,2.315 ,2.220 ,2.239 ,2.380 ,2.509 ,2.293 ,2.519 
yaaW,1.655 ,1.661 ,1.689 ,1.663 ,1.761 ,1.656 ,1.743 ,1.729 ,1.575 ,1.544 ,1.607 ,1.651 
htgA,1.051 ,1.185 ,1.276 ,1.191 ,1.126 ,1.218 ,1.195 ,1.151 ,1.235 ,1.271 ,1.189 ,1.326 
yaaI,1.546 ,1.500 ,1.546 ,1.576 ,1.605 ,1.572 ,1.742 ,1.580 ,1.429 ,1.516 ,1.531 ,1.562 
dnaK,3.785 ,4.111 ,3.906 ,4.025 ,3.927 ,3.936 ,4.127 ,3.878 ,3.815 ,3.765 ,3.835 ,3.819 
dnaJ,3.108 ,3.175 ,3.102 ,3.391 ,3.142 ,3.059 ,3.113 ,3.148 ,3.019 ,3.117 ,3.155 ,3.125 
insL-1,0.917 ,0.981 ,0.990 ,0.961 ,1.097 ,0.950 ,1.087 ,0.966 ,0.944 ,0.962 ,0.940 ,0.968 
insL-2,1.029 ,1.015 ,1.061 ,0.962 ,0.970 ,0.924 ,1.108 ,1.092 ,1.082 ,0.851 ,1.094 ,0.961 
insL-3,0.951 ,0.991 ,1.097 ,0.889 ,1.003 ,0.889 ,1.102 ,1.015 ,1.211 ,0.935 ,0.853 ,1.084 
hokC,0.814 ,0.791 ,0.788 ,0.809 ,0.797 ,0.796 ,0.824 ,0.797 ,0.764 ,0.763 ,0.804 ,0.744 
mokC,0.901 ,0.792 ,0.909 ,0.883 ,1.003 ,0.896 ,0.909 ,0.944 ,0.951 ,0.850 ,0.756 ,1.005 
nhaA,0.947 ,0.867 ,1.191 ,1.084 ,1.216 ,1.213 ,0.857 ,1.107 ,1.287 ,1.169 ,1.144 ,0.855 
nhaR,0.816 ,0.851 ,0.814 ,0.816 ,0.822 ,0.873 ,0.789 ,0.831 ,0.820 ,0.813 ,0.798 ,0.788 
insB-1,1.091 ,0.941 ,0.933 ,1.043 ,1.106 ,0.938 ,1.233 ,1.123 ,1.067 ,1.049 ,1.065 ,0.888 
insB-2,1.192 ,1.014 ,0.897 ,1.111 ,1.103 ,0.994 ,0.912 ,1.027 ,1.100 ,0.979 ,0.944 ,1.104 
insB-3,1.077 ,1.151 ,1.090 ,1.161 ,1.000 ,1.115 ,1.007 ,1.127 ,1.237 ,1.069 ,1.005 ,1.001 
insB-4,1.097 ,1.009 ,1.017 ,0.973 ,1.104 ,1.100 ,0.954 ,0.935 ,1.024 ,1.014 ,0.998 ,1.208 
insB-6,1.148 ,0.976 ,0.954 ,1.100 ,0.953 ,1.011 ,0.959 ,0.964 ,0.892 ,1.089 ,1.044 ,1.114 
insB-7_1,0.898 ,0.836 ,0.916 ,0.970 ,1.025 ,0.944 ,0.992 ,0.983 ,0.921 ,0.824 ,0.945 ,0.957 
insB-7_2,0.820 ,0.843 ,0.823 ,0.853 ,0.728 ,0.815 ,0.750 ,0.910 ,0.809 ,0.713 ,0.721 ,0.895 
insB-7,0.891 ,0.806 ,0.919 ,0.830 ,1.001 ,1.005 ,0.932 ,0.964 ,0.941 ,0.810 ,0.844 ,0.936 
insB,1.028 ,0.969 ,1.029 ,0.955 ,0.941 ,1.029 ,1.031 ,0.914 ,1.037 ,1.123 ,1.072 ,1.016 
insA-1,1.167 ,1.082 ,0.964 ,1.028 ,0.853 ,0.985 ,1.025 ,0.921 ,1.164 ,1.080 ,0.940 ,0.894 
insA-2,1.036 ,1.016 ,1.018 ,1.045 ,1.008 ,1.005 ,1.035 ,0.939 ,1.061 ,1.097 ,1.121 ,1.036 
insA-3,1.156 ,0.909 ,1.111 ,1.140 ,0.906 ,1.065 ,0.914 ,0.850 ,0.948 ,0.971 ,0.970 ,0.923 
insA-6,1.164 ,0.792 ,0.992 ,1.152 ,0.858 ,1.047 ,0.908 ,0.893 ,1.069 ,1.001 ,1.141 ,0.998 
insA-7,1.347 ,1.368 ,1.309 ,1.504 ,1.257 ,1.475 ,1.423 ,1.428 ,1.366 ,1.475 ,1.289 ,1.334 
insA-4,1.110 ,0.993 ,1.036 ,0.913 ,1.017 ,1.040 ,1.084 ,1.017 ,0.974 ,0.967 ,0.959 ,1.163 
insA,1.123 ,1.128 ,0.996 ,1.010 ,0.851 ,1.166 ,1.126 ,0.992 ,1.125 ,1.066 ,1.107 ,1.120 
rpsT,4.477 ,4.303 ,4.367 ,4.420 ,4.275 ,4.471 ,4.437 ,4.427 ,4.483 ,4.487 ,4.356 ,4.434 
yaaY,1.944 ,2.085 ,1.935 ,2.045 ,2.419 ,1.946 ,2.137 ,1.962 ,1.869 ,1.939 ,2.018 ,1.894 
ribF,3.343 ,3.409 ,3.356 ,3.408 ,3.480 ,3.312 ,3.358 ,3.369 ,3.339 ,3.309 ,3.361 ,3.310 
ileS,3.454 ,3.390 ,3.369 ,3.523 ,3.552 ,3.406 ,3.447 ,3.466 ,3.481 ,3.399 ,3.455 ,3.421 
lspA,4.121 ,4.028 ,4.004 ,4.159 ,4.136 ,4.028 ,4.145 ,4.132 ,4.163 ,4.127 ,4.186 ,4.104 
fkpB,3.343 ,3.300 ,3.306 ,3.399 ,3.456 ,3.270 ,3.305 ,3.356 ,3.332 ,3.317 ,3.382 ,3.282 
ispH,3.062 ,2.964 ,2.998 ,3.074 ,3.137 ,2.972 ,2.979 ,3.019 ,3.054 ,3.010 ,3.020 ,3.003 
rihC,2.289 ,2.261 ,2.219 ,2.338 ,2.189 ,2.125 ,1.978 ,2.151 ,2.195 ,2.234 ,2.366 ,2.117 
dapB,3.611 ,3.098 ,3.236 ,3.555 ,3.058 ,3.336 ,3.522 ,3.488 ,3.387 ,3.370 ,3.281 ,3.382 
carA,3.734 ,3.529 ,3.674 ,3.774 ,3.364 ,3.543 ,3.370 ,3.773 ,3.600 ,3.825 ,3.565 ,3.763 
carB,3.527 ,3.297 ,3.438 ,3.557 ,3.090 ,3.248 ,3.170 ,3.566 ,3.422 ,3.519 ,3.273 ,3.537 
caiF,2.661 ,2.405 ,2.387 ,2.191 ,1.784 ,2.334 ,1.891 ,2.533 ,2.316 ,2.457 ,2.157 ,2.503 
caiE,1.497 ,1.655 ,1.674 ,1.541 ,1.337 ,1.394 ,1.441 ,1.601 ,1.510 ,1.525 ,1.584 ,1.555 
caiD,1.189 ,1.344 ,1.272 ,1.200 ,1.033 ,1.154 ,1.047 ,1.219 ,1.140 ,1.128 ,1.277 ,1.199 
caiC,1.883 ,1.727 ,1.853 ,1.709 ,1.837 ,1.685 ,1.634 ,1.907 ,1.827 ,1.824 ,1.874 ,1.807 
caiB,2.056 ,1.878 ,1.958 ,1.851 ,1.952 ,1.826 ,1.856 ,1.976 ,1.871 ,1.869 ,1.974 ,1.913 
caiA,1.816 ,1.734 ,1.780 ,1.821 ,1.875 ,1.737 ,1.786 ,1.740 ,1.886 ,1.775 ,1.762 ,1.729 
caiT,1.379 ,1.370 ,1.391 ,1.481 ,1.484 ,1.404 ,1.467 ,1.404 ,1.188 ,1.425 ,1.465 ,1.383 
fixA,1.258 ,1.263 ,1.247 ,1.181 ,1.166 ,1.226 ,1.210 ,1.178 ,1.240 ,1.210 ,1.245 ,1.226 
fixB,1.335 ,1.295 ,1.321 ,1.324 ,1.315 ,1.367 ,1.345 ,1.236 ,1.373 ,1.264 ,1.273 ,1.370 
fixC,1.192 ,1.312 ,1.324 ,1.185 ,1.331 ,1.346 ,1.182 ,1.290 ,1.289 ,1.239 ,1.321 ,1.308 
fixX,1.577 ,1.584 ,1.531 ,1.572 ,1.604 ,1.495 ,1.561 ,1.500 ,1.661 ,1.556 ,1.572 ,1.445 
yaaU,1.430 ,1.541 ,1.601 ,1.516 ,1.635 ,1.368 ,1.643 ,1.547 ,1.614 ,1.487 ,1.569 ,1.380 
kefF,2.108 ,2.066 ,2.064 ,2.059 ,1.883 ,2.204 ,2.175 ,2.120 ,1.929 ,2.180 ,2.144 ,2.204 
kefC,2.449 ,2.186 ,2.303 ,2.269 ,2.122 ,2.364 ,2.417 ,2.277 ,2.179 ,2.443 ,2.358 ,2.433 
