Column	Row	ProbeName	ID	RefNumber	ControlType	GeneName	TopHit	Description	Go	ChromosomalLocation	EntrezGeneID
1	1	GE_BrightCorner	GE_BrightCorner	1	pos	GE_BrightCorner		Unknown		Unknown	
2	1	DarkCorner	DarkCorner	2	pos	DarkCorner		Unknown		Unknown	
3	1	DarkCorner	DarkCorner	3	pos	DarkCorner		Unknown		Unknown	
4	1		31181	4	FALSE			Unknown		unmapped	
5	1		55868	5	FALSE			Unknown		unmapped	
6	1		962	6	FALSE			Unknown		unmapped	
7	1		35358	7	FALSE			Unknown		unmapped	
8	1		35162	8	FALSE			Unknown		unmapped	
9	1		36071	9	FALSE			Unknown		unmapped	
10	1		52905	10	FALSE			Unknown		unmapped	
11	1		3230	11	FALSE			Unknown		unmapped	
12	1		33885	12	FALSE			Unknown		unmapped	
13	1		9192	13	FALSE			Unknown		unmapped	
14	1		17526	14	FALSE			Unknown		unmapped	
15	1		404	15	FALSE			Unknown		unmapped	
16	1		25538	16	FALSE			Unknown		unmapped	
17	1		56628	17	FALSE			Unknown		unmapped	
18	1		536	18	FALSE			Unknown		unmapped	
19	1		23224	19	FALSE			Unknown		unmapped	
20	1		12134	20	FALSE			Unknown		unmapped	
21	1		14216	21	FALSE			Unknown		unmapped	
22	1		12680	22	FALSE			Unknown		unmapped	
23	1		52842	23	FALSE			Unknown		unmapped	
24	1		59273	24	FALSE			Unknown		unmapped	
25	1		16549	25	FALSE			Unknown		unmapped	
26	1		30639	26	FALSE			Unknown		unmapped	
27	1		35439	27	FALSE			Unknown		unmapped	
28	1		21457	28	FALSE			Unknown		unmapped	
29	1		50023	29	FALSE			Unknown		unmapped	
30	1		10709	30	FALSE			Unknown		unmapped	
31	1		47213	31	FALSE			Unknown		unmapped	
32	1		39021	32	FALSE			Unknown		unmapped	
33	1		28572	33	FALSE			Unknown		unmapped	
34	1		8718	34	FALSE			Unknown		unmapped	
35	1		25815	35	FALSE			Unknown		unmapped	
36	1		47005	36	FALSE			Unknown		unmapped	
37	1		8625	37	FALSE			Unknown		unmapped	
38	1		7913	38	FALSE			Unknown		unmapped	
39	1		58807	39	FALSE			Unknown		unmapped	
40	1		40878	40	FALSE			Unknown		unmapped	
41	1		51201	41	FALSE			Unknown		unmapped	
42	1		25112	42	FALSE			Unknown		unmapped	
43	1		15784	43	FALSE			Unknown		unmapped	
44	1		52081	44	FALSE			Unknown		unmapped	
45	1		389	45	FALSE			Unknown		unmapped	
46	1		2429	46	FALSE			Unknown		unmapped	
47	1		6033	47	FALSE			Unknown		unmapped	
48	1		5858	48	FALSE			Unknown		unmapped	
49	1		7738	49	FALSE			Unknown		unmapped	
50	1		29966	50	FALSE			Unknown		unmapped	
51	1		59755	51	FALSE			Unknown		unmapped	
52	1		25995	52	FALSE			Unknown		unmapped	
53	1		42325	53	FALSE			Unknown		unmapped	
54	1		36561	54	FALSE			Unknown		unmapped	
55	1		17346	55	FALSE			Unknown		unmapped	
56	1		25073	56	FALSE			Unknown		unmapped	
57	1		8937	57	FALSE			Unknown		unmapped	
58	1		11803	58	FALSE			Unknown		unmapped	
59	1		51675	59	FALSE			Unknown		unmapped	
60	1		3954	60	FALSE			Unknown		unmapped	
61	1		14779	61	FALSE			Unknown		unmapped	
62	1		17340	62	FALSE			Unknown		unmapped	
63	1		3480	63	FALSE			Unknown		unmapped	
64	1		56149	64	FALSE			Unknown		unmapped	
65	1		16042	65	FALSE			Unknown		unmapped	
66	1		21859	66	FALSE			Unknown		unmapped	
67	1		54411	67	FALSE			Unknown		unmapped	
68	1		57771	68	FALSE			Unknown		unmapped	
69	1		47710	69	FALSE			Unknown		unmapped	
70	1		29148	70	FALSE			Unknown		unmapped	
71	1		22707	71	FALSE			Unknown		unmapped	
72	1		24680	72	FALSE			Unknown		unmapped	
73	1		49899	73	FALSE			Unknown		unmapped	
74	1		55603	74	FALSE			Unknown		unmapped	
75	1		5302	75	FALSE			Unknown		unmapped	
76	1		47400	76	FALSE			Unknown		unmapped	
77	1		46218	77	FALSE			Unknown		unmapped	
78	1		52769	78	FALSE			Unknown		unmapped	
79	1		3932	79	FALSE			Unknown		unmapped	
80	1		52657	80	FALSE			Unknown		unmapped	
81	1		21277	81	FALSE			Unknown		unmapped	
82	1		40339	82	FALSE			Unknown		unmapped	
83	1		51432	83	FALSE			Unknown		unmapped	
84	1		22784	84	FALSE			Unknown		unmapped	
85	1		30815	85	FALSE			Unknown		unmapped	
86	1		199	86	FALSE			Unknown		unmapped	
87	1		9622	87	FALSE			Unknown		unmapped	
88	1		11853	88	FALSE			Unknown		unmapped	
89	1		4870	89	FALSE			Unknown		unmapped	
90	1		12784	90	FALSE			Unknown		unmapped	
91	1		26673	91	FALSE			Unknown		unmapped	
92	1		32655	92	FALSE			Unknown		unmapped	
93	1		40363	93	FALSE			Unknown		unmapped	
94	1		9911	94	FALSE			Unknown		unmapped	
95	1		42962	95	FALSE			Unknown		unmapped	
96	1		24897	96	FALSE			Unknown		unmapped	
97	1		42667	97	FALSE			Unknown		unmapped	
98	1		22751	98	FALSE			Unknown		unmapped	
99	1	b3238	A_07_P012663	99	FALSE	yhcN	cmr|b3238|cmr|b3238|asap|ABE-0010623	"orf, hypothetical protein [b3238]"		unmapped	
100	1		55092	100	FALSE			Unknown		unmapped	
101	1		7412	101	FALSE			Unknown		unmapped	
102	1		45362	102	FALSE			Unknown		unmapped	
103	1		56254	103	FALSE			Unknown		unmapped	
104	1		10843	104	FALSE			Unknown		unmapped	
105	1		16976	105	FALSE			Unknown		unmapped	
106	1		35396	106	FALSE			Unknown		unmapped	
107	1		39882	107	FALSE			Unknown		unmapped	
108	1		42809	108	FALSE			Unknown		unmapped	
109	1		33586	109	FALSE			Unknown		unmapped	
110	1		58432	110	FALSE			Unknown		unmapped	
111	1		47052	111	FALSE			Unknown		unmapped	
112	1		42025	112	FALSE			Unknown		unmapped	
113	1		35492	113	FALSE			Unknown		unmapped	
114	1		42532	114	FALSE			Unknown		unmapped	
115	1		31926	115	FALSE			Unknown		unmapped	
116	1		4198	116	FALSE			Unknown		unmapped	
117	1		7992	117	FALSE			Unknown		unmapped	
118	1		50874	118	FALSE			Unknown		unmapped	
119	1		53824	119	FALSE			Unknown		unmapped	
120	1		44182	120	FALSE			Unknown		unmapped	
121	1		45778	121	FALSE			Unknown		unmapped	
122	1		32730	122	FALSE			Unknown		unmapped	
123	1		52193	123	FALSE			Unknown		unmapped	
124	1		38041	124	FALSE			Unknown		unmapped	
125	1		44293	125	FALSE			Unknown		unmapped	
126	1		17469	126	FALSE			Unknown		unmapped	
127	1		56439	127	FALSE			Unknown		unmapped	
128	1		34367	128	FALSE			Unknown		unmapped	
129	1		13810	129	FALSE			Unknown		unmapped	
130	1		8270	130	FALSE			Unknown		unmapped	
131	1		44890	131	FALSE			Unknown		unmapped	
