Start	End	CDS	Strand	Name	Locus_tag	Product	Bnb	JWnb	ECKnb
190	255	CDS	D	thrL	ECMDS42_0001	thr operon leader peptide	b0001	JW4367	ECK0001
337	2799	CDS	D	thrA	ECMDS42_0002	fused aspartokinase I and homoserine dehydrogenase I	b0002	JW0001	ECK0002
2801	3733	CDS	D	thrB	ECMDS42_0003	homoserine kinase	b0003	JW0002	ECK0003
3734	5020	CDS	D	thrC	ECMDS42_0004	threonine synthase	b0004	JW0003	ECK0004
5234	5530	CDS	D	yaaX	ECMDS42_0005	predicted protein	b0005	JW0004	ECK0005
5683	6459	CDS	C	yaaA	ECMDS42_0006	conserved protein	b0006	JW0005	ECK0006
6529	7959	CDS	C	yaaJ	ECMDS42_0007	predicted transporter	b0007	JW0006	ECK0007
8238	9191	CDS	D	talB	ECMDS42_0008	transaldolase B	b0008	JW0007	ECK0008
9306	9893	CDS	D	mog	ECMDS42_0009	predicted molybdochelatase	b0009	JW0008	ECK0009
9928	10494	CDS	C	yaaH	ECMDS42_0010	conserved inner membrane protein	b0010	JW0009	ECK0010
10643	11356	CDS	C	yaaW	ECMDS42_0011	conserved protein	b0011	JW0010	ECK0011
10830	11315	CDS	D	htgA	ECMDS42_0012	predicted protein	b0012	JW5001	ECK0012
11382	11786	CDS	C	yaaI	ECMDS42_0013	predicted protein	b0013	JW0012	ECK0013
12163	14079	CDS	D	dnaK	ECMDS42_0014	chaperone Hsp70%2C co-chaperone with DnaJ	b0014	JW0013	ECK0014
14168	15298	CDS	D	dnaJ	ECMDS42_0015	chaperone Hsp40%2C co-chaperone with DnaK	b0015	JW0014	ECK0015
15640	15903	CDS	C	rpsT	ECMDS42_0016	30S ribosomal subunit protein S20	b0023	JW0022	ECK0024
16006	16224	CDS	D	yaaY	ECMDS42_0017	predicted protein	b0024	JW5003	ECK0025
16232	17173	CDS	D	ribF	ECMDS42_0018	bifunctional riboflavin kinase/FAD synthetase	b0025	JW0023	ECK0026
17216	20032	CDS	D	ileS	ECMDS42_0019	isoleucyl-tRNA synthetase	b0026	JW0024	ECK0027
20032	20526	CDS	D	lspA	ECMDS42_0020	prolipoprotein signal peptidase	b0027	JW0025	ECK0028
20651	21100	CDS	D	fkpB	ECMDS42_0021	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	b0028	JW0026	ECK0029
21102	22052	CDS	D	ispH	ECMDS42_0022	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase%2C 4Fe-4S protein	b0029	JW0027	ECK0030
22118	23032	CDS	D	rihC	ECMDS42_0023	ribonucleoside hydrolase 3	b0030	JW0028	ECK0031
23199	24020	CDS	D	dapB	ECMDS42_0024	dihydrodipicolinate reductase	b0031	JW0029	ECK0032
24476	25624	CDS	D	carA	ECMDS42_0025	carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase	b0032	JW0030	ECK0033
25642	28863	CDS	D	carB	ECMDS42_0026	carbamoyl-phosphate synthase large subunit	b0033	JW0031	ECK0034
29125	29520	CDS	D	caiF	ECMDS42_0027	DNA-binding transcriptional activator	b0034	JW0033	ECK0035
29606	30196	CDS	C	caiE	ECMDS42_0028	predicted acyl transferase	b0035	JW5004	ECK0036
30202	31095	CDS	C	caiD	ECMDS42_0029	crotonobetainyl CoA hydratase	b0036	JW0035	ECK0037
31096	32664	CDS	C	caiC	ECMDS42_0030	predicted crotonobetaine CoA ligase:carnitine CoA ligase	b0037	JW0036	ECK0038
32723	33940	CDS	C	caiB	ECMDS42_0031	crotonobetainyl CoA:carnitine CoA transferase	b0038	JW0037	ECK0039
34069	35211	CDS	C	caiA	ECMDS42_0032	crotonobetaine reductase subunit II%2C FAD-binding	b0039	JW0038	ECK0040
35242	36756	CDS	C	caiT	ECMDS42_0033	predicted transporter	b0040	JW0039	ECK0041
37228	37998	CDS	D	fixA	ECMDS42_0034	predicted electron transfer flavoprotein subunit%2C ETFP adenine nucleotide-binding domain	b0041	JW0040	ECK0042
38013	38954	CDS	D	fixB	ECMDS42_0035	predicted electron transfer flavoprotein%2C NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like	b0042	JW0041	ECK0043
39005	40291	CDS	D	fixC	ECMDS42_0036	predicted oxidoreductase%2C FAD/NAD(P)-binding domain	b0043	JW0042	ECK0044
40288	40575	CDS	D	fixX	ECMDS42_0037	predicted 4Fe-4S ferredoxin-type protein	b0044	JW0043	ECK0045
40632	41963	CDS	D	yaaU	ECMDS42_0038	predicted transporter	b0045	JW0044	ECK0046
42071	42601	CDS	D	kefF	ECMDS42_0039	flavoprotein subunit for the KefC potassium efflux system	b0046	JW0045	ECK0047
42594	44456	CDS	D	kefC	ECMDS42_0040	potassium:proton antiporter	b0047	JW0046	ECK0048
44648	45127	CDS	D	folA	ECMDS42_0041	dihydrofolate reductase	b0048	JW0047	ECK0049
45205	46047	CDS	C	apaH	ECMDS42_0042	diadenosine tetraphosphatase	b0049	JW0048	ECK0050
46054	46431	CDS	C	apaG	ECMDS42_0043	hypothetical protein	b0050	JW0049	ECK0051
46434	47255	CDS	C	ksgA	ECMDS42_0044	S-adenosylmethionine-6-N'%2CN'-adenosyl (rRNA) dimethyltransferase	b0051	JW0050	ECK0052
47252	48241	CDS	C	pdxA	ECMDS42_0045	4-hydroxy-L-threonine phosphate dehydrogenase%2C NAD-dependent	b0052	JW0051	ECK0053
48241	49527	CDS	C	surA	ECMDS42_0046	peptidyl-prolyl cis-trans isomerase	b0053	JW0052	ECK0054
49580	51934	CDS	C	imp	ECMDS42_0047	exported protein required for envelope biosynthesis and integrity	b0054	JW0053	ECK0055
52189	53004	CDS	D	djlA	ECMDS42_0048	DnaJ-like protein%2C membrane anchored	b0055	JW0054	ECK0056
53299	53949	CDS	D	yabP	ECMDS42_0049	predicted protein	b0056	JW0055	ECK0057
53946	54104	CDS	D	yabQ	ECMDS42_0050	predicted protein	b0057	JW0056	ECK0058
54512	55171	CDS	C	rluA	ECMDS42_0051	pseudouridine synthase for 23S rRNA and tRNAphe	b0058	JW0057	ECK0059
55183	58089	CDS	C	hepA	ECMDS42_0052	BAL37372.1	b0059	JW0058	ECK0060
58254	60605	CDS	C	polB	ECMDS42_0053	DNA polymerase II	b0060	JW0059	ECK0061
60680	61375	CDS	C	araD	ECMDS42_0054	L-ribulose-5-phosphate 4-epimerase	b0061	JW0060	ECK0062
61660	63162	CDS	C	araA	ECMDS42_0055	L-arabinose isomerase	b0062	JW0061	ECK0063
63173	64873	CDS	C	araB	ECMDS42_0056	L-ribulokinase	b0063	JW0062	ECK0064
65212	66090	CDS	D	araC	ECMDS42_0057	DNA-binding transcriptional dual regulator	b0064	JW0063	ECK0065
66176	66940	CDS	D	yabI	ECMDS42_0058	conserved inner membrane protein	b0065	JW5005	ECK0066
67054	67752	CDS	C	thiQ	ECMDS42_0059	thiamin transporter subunit	b0066	JW0065	ECK0067
67736	69346	CDS	C	thiP	ECMDS42_0060	fused subunits of thiamin transporter	b0067	JW0066	ECK0068
69322	70305	CDS	C	tbpA	ECMDS42_0061	thiamin transporter subunit	b0068	JW0067	ECK0069
70469	72124	CDS	C	sgrR	ECMDS42_0062	DNA-binding transcriptional regulator	b0069	JW0068	ECK0070
72446	73624	CDS	D	setA	ECMDS42_0064	broad specificity sugar efflux system	b0070	JW0069	ECK0072
73673	74278	CDS	C	leuD	ECMDS42_0065	3-isopropylmalate isomerase subunit	b0071	JW0070	ECK0073
74289	75689	CDS	C	leuC	ECMDS42_0066	3-isopropylmalate isomerase subunit%2C dehydratase component	b0072	JW0071	ECK0074
75692	76783	CDS	C	leuB	ECMDS42_0067	3-isopropylmalate dehydrogenase	b0073	JW5807	ECK0075
76783	78354	CDS	C	leuA	ECMDS42_0068	2-isopropylmalate synthase	b0074	JW0073	ECK0076
78447	78533	CDS	C	leuL	ECMDS42_0069	leu operon leader peptide	b0075	JW0074	ECK0077
79193	80137	CDS	D	leuO	ECMDS42_0070	DNA-binding transcriptional activator	b0076	JW0075	ECK0078
80455	82179	CDS	D	ilvI	ECMDS42_0071	acetolactate synthase III%2C large subunit	b0077	JW0076	ECK0079
82182	82673	CDS	D	ilvH	ECMDS42_0072	acetolactate synthase III%2C thiamin-dependent%2C small subunit	b0078	JW0077	ECK0080
82853	83857	CDS	D	fruR	ECMDS42_0073	DNA-binding transcriptional dual regulator	b0080	JW0078	ECK0081
84459	84917	CDS	D	mraZ	ECMDS42_0074	conserved protein	b0081	JW0079	ECK0082
84919	85860	CDS	D	mraW	ECMDS42_0075	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	b0082	JW0080	ECK0083
85857	86222	CDS	D	ftsL	ECMDS42_0076	membrane bound cell division protein at septum containing leucine zipper motif	b0083	JW0081	ECK0084
86238	88004	CDS	D	ftsI	ECMDS42_0077	transpeptidase	b0084	JW0082	ECK0085
