Start	End	Biotype	Strand	Name	Product	Bnb	JWnb	ECKnb
190	255	protein_coding	D	thrL	thr operon leader peptide	b0001	JW4367	ECK0001
337	2799	protein_coding	D	thrA	fused aspartokinase I and homoserine dehydrogenase I	b0002	JW0001	ECK0002
2801	3733	protein_coding	D	thrB	homoserine kinase	b0003	JW0002	ECK0003
3734	5020	protein_coding	D	thrC	threonine synthase	b0004	JW0003	ECK0004
5234	5530	protein_coding	D	yaaX	hypothetical protein	b0005	JW0004	ECK0005
5683	6459	protein_coding	C	yaaA	conserved hypothetical protein	b0006	JW0005	ECK0006
6529	7959	protein_coding	C	yaaJ	predicted transporter	b0007	JW0006	ECK0007
8238	9191	protein_coding	D	talB	transaldolase B	b0008	JW0007	ECK0008
9306	9893	protein_coding	D	mog	predicted molybdochelatase	b0009	JW0008	ECK0009
9928	10494	protein_coding	C	yaaH	conserved inner membrane protein associated with acetate transport	b0010	JW0009	ECK0010
10643	11356	protein_coding	C	yaaW	conserved hypothetical protein	b0011	JW0010	ECK0011
10830	11315	protein_coding	D	htgA	hypothetical protein	b0012	JW5001	ECK0012
11382	11786	protein_coding	C	yaaI	hypothetical protein	b0013	JW0012	ECK0013
12163	14079	protein_coding	D	dnaK	chaperone Hsp70%2C co-chaperone with DnaJ	b0014	JW0013	ECK0014
14168	15298	protein_coding	D	dnaJ	chaperone Hsp40%2C co-chaperone with DnaK	b0015	JW0014	ECK0015
15445	16557	protein_coding	D	insL	IS186/IS421 transposase	b0016	JW0015	ECK0016
16751	16960	protein_coding	C	mokC	regulatory protein for HokC%2C overlaps CDS of hokC	b0018	JW5879	ECK0018
16751	16903	protein_coding	C	hokC	toxic membrane protein%2C small	b4412	JW5002	ECK0017
16952	17006	misc_RNA	D	sokC		b4413	JWR0224	ECK0019
17489	18655	protein_coding	D	nhaA	sodium-proton antiporter	b0019	JW0018	ECK0020
18715	19620	protein_coding	D	nhaR	DNA-binding transcriptional activator	b0020	JW0019	ECK0021
19811	20314	protein_coding	C	insB	IS1 transposase InsAB'	b0021	JW0020	ECK0022
20233	20508	protein_coding	C	insA	IS1 repressor protein InsA	b0022	JW0021	ECK0023
20815	21078	protein_coding	C	rpsT	30S ribosomal subunit protein S20	b0023	JW0022	ECK0024
21181	21399	protein_coding	D	yaaY	hypothetical protein	b0024	JW5003	ECK0025
21407	22348	protein_coding	D	ribF	bifunctional riboflavin kinase and FAD synthetase	b0025	JW0023	ECK0026
22391	25207	protein_coding	D	ileS	isoleucyl-tRNA synthetase	b0026	JW0024	ECK0027
25207	25701	protein_coding	D	lspA	prolipoprotein signal peptidase	b0027	JW0025	ECK0028
25826	26275	protein_coding	D	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase	b0028	JW0026	ECK0029
26277	27227	protein_coding	D	ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase%2C 4Fe-4S protein	b0029	JW0027	ECK0030
27293	28207	protein_coding	D	rihC	ribonucleoside hydrolase 3	b0030	JW0028	ECK0031
28374	29195	protein_coding	D	dapB	dihydrodipicolinate reductase	b0031	JW0029	ECK0032
29651	30799	protein_coding	D	carA	carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase	b0032	JW0030	ECK0033
30817	34038	protein_coding	D	carB	carbamoyl-phosphate synthase large subunit	b0033	JW0031	ECK0034
34300	34695	protein_coding	D	caiF	DNA-binding transcriptional activator	b0034	JW0033	ECK0035
34781	35371	protein_coding	C	caiE	predicted acyl transferase	b0035	JW5004	ECK0036
35377	36270	protein_coding	C	caiD	crotonobetainyl CoA hydratase	b0036	JW0035	ECK0037
36271	37839	protein_coding	C	caiC	predicted crotonobetaine CoA ligase:carnitine CoA ligase	b0037	JW0036	ECK0038
37898	39115	protein_coding	C	caiB	crotonobetainyl CoA:carnitine CoA transferase	b0038	JW0037	ECK0039
39244	40386	protein_coding	C	caiA	crotonobetaine reductase subunit II%2C FAD-binding	b0039	JW0038	ECK0040
40417	41931	protein_coding	C	caiT	predicted transporter	b0040	JW0039	ECK0041
