Name,Starts,Ends,ECKnb,JWnb,Bnb,ID
gadA,3973505,3973564,ECK3502,JW3485,b3517,gene-gadA
ileX,3214255,3214314,ECK3059,JWR0069,b3069,rna-ileX
nohB,580543,580602,ECK0552,JW0549,b0560,gene-nohB
phnE,4327194,4327253,ECK4096+ECK4097,JW4064+JW4065,b4103+b4104,cds-phnE
pinQ,1435020,1435079,ECK1538,JW1538,b1545,gene-pinQ
tfaR,1434339,1434398,ECK1368,JW1367,b1373,gene-tfaR
tfaS,2476309,2476368,ECK2347,JW5383,b2353,gene-tfaS
tufA,4169367,4169426,ECK3326,JW3301,b3339,gene-tufA
ybfQ,4015816,4015875,ECK0693,JW0694,b4514,gene-ybfQ
ydfK,1435827,1435886,ECK1537,JW1537,b1544,gene-ydfK
ykgM,311611,311670,ECK0295+ECK0296,JW5034+JW5035,b4506+b0296,gene-ykgM
