"","ACCID","DB","Feature","Start","End","misc1","Strand","misc2","Notes","gene_synonym","locus_tag","GeneID","Parent","ID","gbkey","gene_biotype","gene","product","ECKnb"
"1","NC_000913.3","RefSeq","gene",190,255,".","+",".","ID=gene-b0001;Dbxref=ASAP:ABE-0000006,ECOCYC:EG11277,GeneID:944742;Name=thrL;gbkey=Gene;gene=thrL;gene_biotype=protein_coding;gene_synonym=ECK0001;locus_tag=b0001","ECK0001","b0001","944742",NA,"gene-b0001","Gene","protein_coding","thrL","thr operon leader peptide","ECK0001"
"2","NC_000913.3","RefSeq","gene",337,2799,".","+",".","ID=gene-b0002;Dbxref=ASAP:ABE-0000008,ECOCYC:EG10998,GeneID:945803;Name=thrA;gbkey=Gene;gene=thrA;gene_biotype=protein_coding;gene_synonym=ECK0002,Hs,thrA1,thrA2,thrD;locus_tag=b0002","ECK0002,Hs,thrA1,thrA2,thrD","b0002","945803",NA,"gene-b0002","Gene","protein_coding","thrA","fused aspartate kinase/homoserine dehydrogenase 1","ECK0002"
"3","NC_000913.3","RefSeq","gene",2801,3733,".","+",".","ID=gene-b0003;Dbxref=ASAP:ABE-0000010,ECOCYC:EG10999,GeneID:947498;Name=thrB;gbkey=Gene;gene=thrB;gene_biotype=protein_coding;gene_synonym=ECK0003;locus_tag=b0003","ECK0003","b0003","947498",NA,"gene-b0003","Gene","protein_coding","thrB","homoserine kinase","ECK0003"
"4","NC_000913.3","RefSeq","gene",3734,5020,".","+",".","ID=gene-b0004;Dbxref=ASAP:ABE-0000012,ECOCYC:EG11000,GeneID:945198;Name=thrC;gbkey=Gene;gene=thrC;gene_biotype=protein_coding;gene_synonym=ECK0004;locus_tag=b0004","ECK0004","b0004","945198",NA,"gene-b0004","Gene","protein_coding","thrC","threonine synthase","ECK0004"
"5","NC_000913.3","RefSeq","gene",5234,5530,".","+",".","ID=gene-b0005;Dbxref=ASAP:ABE-0000015,ECOCYC:G6081,GeneID:944747;Name=yaaX;gbkey=Gene;gene=yaaX;gene_biotype=protein_coding;gene_synonym=ECK0005;locus_tag=b0005","ECK0005","b0005","944747",NA,"gene-b0005","Gene","protein_coding","yaaX","DUF2502 domain-containing protein YaaX","ECK0005"
"6","NC_000913.3","RefSeq","gene",5683,6459,".","-",".","ID=gene-b0006;Dbxref=ASAP:ABE-0000018,ECOCYC:EG10011,GeneID:944749;Name=yaaA;gbkey=Gene;gene=yaaA;gene_biotype=protein_coding;gene_synonym=ECK0006;locus_tag=b0006","ECK0006","b0006","944749",NA,"gene-b0006","Gene","protein_coding","yaaA","DNA binding and peroxide stress response protein YaaA","ECK0006"
"7","NC_000913.3","RefSeq","gene",6529,7959,".","-",".","ID=gene-b0007;Dbxref=ASAP:ABE-0000020,ECOCYC:EG11555,GeneID:944745;Name=yaaJ;gbkey=Gene;gene=yaaJ;gene_biotype=protein_coding;gene_synonym=ECK0007;locus_tag=b0007","ECK0007","b0007","944745",NA,"gene-b0007","Gene","protein_coding","yaaJ","putative transporter YaaJ","ECK0007"
"8","NC_000913.3","RefSeq","gene",8238,9191,".","+",".","ID=gene-b0008;Dbxref=ASAP:ABE-0000027,ECOCYC:EG11556,GeneID:944748;Name=talB;gbkey=Gene;gene=talB;gene_biotype=protein_coding;gene_synonym=ECK0008,yaaK;locus_tag=b0008","ECK0008,yaaK","b0008","944748",NA,"gene-b0008","Gene","protein_coding","talB","transaldolase B","ECK0008"
"9","NC_000913.3","RefSeq","gene",9306,9893,".","+",".","ID=gene-b0009;Dbxref=ASAP:ABE-0000030,ECOCYC:EG11511,GeneID:944760;Name=mog;gbkey=Gene;gene=mog;gene_biotype=protein_coding;gene_synonym=bisD,chlG,ECK0009,mogA,yaaG;locus_tag=b0009","bisD,chlG,ECK0009,mogA,yaaG","b0009","944760",NA,"gene-b0009","Gene","protein_coding","mog","molybdopterin adenylyltransferase","ECK0009"
"10","NC_000913.3","RefSeq","gene",9928,10494,".","-",".","ID=gene-b0010;Dbxref=ASAP:ABE-0000032,ECOCYC:EG11512,GeneID:944792;Name=satP;gbkey=Gene;gene=satP;gene_biotype=protein_coding;gene_synonym=ECK0010,yaaH;locus_tag=b0010","ECK0010,yaaH","b0010","944792",NA,"gene-b0010","Gene","protein_coding","satP","acetate/succinate:H(+) symporter","ECK0010"
"11","NC_000913.3","RefSeq","gene",10643,11356,".","-",".","ID=gene-b0011;Dbxref=ASAP:ABE-0000037,ECOCYC:G6082,GeneID:944771;Name=yaaW;gbkey=Gene;gene=yaaW;gene_biotype=protein_coding;gene_synonym=ECK0011;locus_tag=b0011","ECK0011","b0011","944771",NA,"gene-b0011","Gene","protein_coding","yaaW","putative enzyme-specific chaperone YaaW","ECK0011"
"12","NC_000913.3","RefSeq","gene",10830,11315,".","+",".","ID=gene-b0012;Dbxref=ASAP:ABE-0000040,ECOCYC:EG11509,GeneID:948295;Name=mbiA;gbkey=Gene;gene=mbiA;gene_biotype=protein_coding;gene_synonym=ECK0012,htgA,htpY;locus_tag=b0012","ECK0012,htgA,htpY","b0012","948295",NA,"gene-b0012","Gene","protein_coding","mbiA","uncharacterized protein MbiA","ECK0012"
"13","NC_000913.3","RefSeq","gene",11382,11786,".","-",".","ID=gene-b0013;Dbxref=ASAP:ABE-0000043,ECOCYC:G8202,GeneID:944751;Name=yaaI;gbkey=Gene;gene=yaaI;gene_biotype=protein_coding;gene_synonym=ECK0013;locus_tag=b0013","ECK0013","b0013","944751",NA,"gene-b0013","Gene","protein_coding","yaaI","DUF2541 domain-containing protein YaaI","ECK0013"
"14","NC_000913.3","RefSeq","gene",12163,14079,".","+",".","ID=gene-b0014;Dbxref=ASAP:ABE-0000052,ECOCYC:EG10241,GeneID:944750;Name=dnaK;gbkey=Gene;gene=dnaK;gene_biotype=protein_coding;gene_synonym=ECK0014,groPAB,groPC,groPF,grpC,grpF,seg;locus_tag=b0014","ECK0014,groPAB,groPC,groPF,grpC,grpF,seg","b0014","944750",NA,"gene-b0014","Gene","protein_coding","dnaK","chaperone protein DnaK","ECK0014"
