b_number	dN/dS	dN	dS
b0001	4.25146	35.6766	8.3916
b0002	0.02595	0.0185	0.712
b0003	0.04499	0.0256	0.568
b0004	0.04581	0.0225	0.4922
b0005	NA	NA	NA
b0006	0.11109	0.0377	0.3391
b0007	NA	NA	NA
b0008	0.02754	0.0081	0.2927
b0009	0.08277	0.0219	0.2642
b0010	0.07069	0.016	0.2257
b0011	0.1353	0.051	0.3772
b0013	0.16205	0.0672	0.4144
b0014	0.02376	0.0049	0.206
b0015	0.03672	0.0138	0.3756
b0016	NA	NA	NA
b0018	NA	NA	NA
b4412	1.91557	1.6508	0.8618
b4413	NA	NA	NA
b0019	0.04061	0.0271	0.6662
b0020	0.03489	0.043	1.2319
b0021	1.03249	0.1491	0.1444
b0022	0.53412	0.8675	1.6241
b0023	NA	NA	NA
b0024	NA	NA	NA
b0025	0.07107	0.0264	0.3716
b0026	NA	NA	NA
b0027	0.07678	0.0181	0.2358
b0028	0.01022	0.0033	0.3195
b0029	NA	NA	NA
b0030	0.1026	0.1294	1.2614
b0031	0.08997	0.0374	0.4156
b0032	0.02623	0.019	0.7229
b0033	0.01808	0.0174	0.9629
b0034	0.09738	0.0217	0.223
b0035	0.2521	0.0942	0.3737
b0036	0.02237	0.0072	0.3208
b0037	0.13873	0.0744	0.5359
b0038	0.04568	0.0296	0.6479
b0039	0.01666	0.0073	0.4377
b0040	0.05636	0.0266	0.472
b0041	0.07115	0.0318	0.4471
b0042	0.14327	0.0631	0.4401
b0043	0.03816	0.0258	0.6758
b0044	0.0857	0.0245	0.2854
b0045	0.03145	0.0246	0.7829
b0046	0.05087	0.0267	0.5254
b0047	0.02556	0.0154	0.6022
b0048	0.04139	0.0147	0.3556
b0049	0.08352	0.0454	0.5433
b0050	0.14772	0.0108	0.0733
b0051	0.09421	0.0271	0.2879
b0052	NA	NA	NA
b0053	0.10654	0.0257	0.2414
b0054	0.06018	0.0336	0.5576
b0055	0.05406	0.0265	0.4908
b4659	NA	NA	NA
b0058	0.04811	0.023	0.4771
b0059	0.02186	0.0156	0.7156
b0060	0.24599	0.1269	0.5158
b0061	0.07613	0.0602	0.7912
b0062	0.01829	0.0158	0.8613
b0063	0.11869	0.0701	0.5908
b0064	0.22036	0.0683	0.3101
b0065	0.07573	0.076	1.0037
b0066	0.08395	0.0953	1.1352
b0067	0.07805	0.075	0.9604
b0068	0.1219	0.1693	1.3889
b0069	0.0766	0.0716	0.9342
b4577	NA	NA	NA
b4662	0.27492	39.8306	144.8788
b0070	NA	NA	NA
b0071	0.03179	0.0204	0.642
b0072	0.01064	0.0081	0.7648
b0073	0.03007	0.0199	0.6612
b0074	0.01608	0.0098	0.6104
b0075	2.17026	8.2786	3.8146
b0076	0.0696	0.0315	0.4527
b0077	0.03492	0.0263	0.7536
b0078	0.02072	0.0091	0.4387
b0080	0.03394	0.0118	0.3478
b0081	0.09359	0.0066	0.0705
b0082	0.08316	0.0211	0.2543
b0083	0.06726	0.009	0.1334
b0084	0.03099	0.0116	0.3728
b0085	0.0716	0.0419	0.5853
b0086	0.07463	0.0358	0.4802
b0087	0.02115	0.0098	0.4624
b0088	0.03671	0.0214	0.5827
b0089	0.01442	0.0052	0.3639
b0090	0.05829	0.0185	0.3176
b0091	0.03662	0.0163	0.4443
b0092	0.17525	0.0464	0.2646
b0093	0.05328	0.007	0.131
b0094	0.02814	0.0047	0.1681
b0095	0.0001	0	0.2706
b0096	0.01258	0.0022	0.1789
b0097	0.18322	0.0374	0.204
b0098	NA	NA	NA
b0099	0.37556	0.1008	0.2685
b0101	NA	NA	NA
b0102	0.13181	0.0286	0.2173
b0103	0.17935	0.0239	0.1332
b0104	0.0397	0.0127	0.3203
b0106	NA	NA	NA
b0107	0.19015	0.0708	0.3722
b0108	0.18094	0.0489	0.27
b0109	0.05923	0.018	0.3032
b0110	0.19879	0.042	0.2112
b0111	0.09643	0.0506	0.5249
b0112	0.04275	0.0202	0.472
b0113	0.00933	0.0022	0.2336
b0114	0.0035	0.0016	0.46
b0115	0.10891	0.2072	1.9024
b0116	0.0086	0.0031	0.3582
b0117	0.17383	0.1685	0.9693
b0118	0.01014	0.0108	1.063
b0119	0.11155	0.0962	0.8626
b0120	0.02546	0.0099	0.3876
b0121	0.07856	0.031	0.395
b0122	0.0001	0	0.3249
b0123	0.07506	0.0682	0.9091
b0124	0.02696	0.0255	0.9443
b0125	NA	NA	NA
b0126	0.04109	0.0119	0.2895
b0127	0.03102	0.0126	0.4064
b0128	0.01847	0.0116	0.6279
b0129	0.13002	0.0788	0.6062
b0130	0.13453	0.0781	0.5806
b0131	0.026	0.0126	0.4831
b0132	0.07486	0.068	0.9081
b0133	0.0312	0.0458	1.4681
b0134	0.04686	0.0588	1.2542
b0135	NA	NA	NA
b0136	0.13154	1.7336	13.1797
b0137	0.15935	1.9475	12.2213
b0138	NA	NA	NA
b0139	0.07974	1.0072	12.6317
b0140	NA	NA	NA
b0141	0.06958	1.2461	17.9087
b0142	0.21215	0.3507	1.6531
b0143	0.01508	0.0138	0.9139
b0144	0.10304	0.0911	0.8845
b0145	0.03799	0.0036	0.0945
b0146	0.10965	0.0246	0.2242
b0147	0.22678	0.0688	0.3033
b0148	0.09605	0.0841	0.8752
b0149	0.01618	0.0152	0.9376
b0150	NA	NA	NA
b0151	0.05411	0.0361	0.6672
b0152	0.07033	0.0634	0.9016
b0153	0.04933	0.0587	1.1907
b0154	0.0345	0.0194	0.5616
b0155	0.02721	0.0161	0.5934
b0156	0.0001	0	0.2224
b0157	0.06396	0.0167	0.2608
b0158	NA	NA	NA
b0159	0.04363	0.0126	0.2899
b0160	0.05715	0.0245	0.4292
b0161	0.04401	0.019	0.4316
b0162	0.03464	0.0179	0.5172
b0163	0.01932	0.0168	0.8721
b0164	0.38678	1.1036	2.8534
b0166	0.02033	0.0159	0.7801
b0167	0.02351	0.0193	0.8209
b0168	0.01911	0.0069	0.3622
b4414	NA	NA	NA
b0169	0.08464	0.0041	0.0479
b0170	0.12696	0.0107	0.0841
b0171	0.03327	0.0039	0.1172
b0172	0.0001	0	0.0585
b0173	0.10774	0.0204	0.1894
b0174	0.03853	0.004	0.1042
b0175	NA	NA	NA
b0176	0.15376	0.0226	0.1471
b0177	0.08228	0.0504	0.6127
b0178	0.01764	0.0035	0.1972
b0179	0.07109	0.0174	0.2448
b0180	0.04437	0.0041	0.0926
b0181	0.04029	0.0094	0.2342
b0182	0.06094	0.0404	0.6631
b0183	0.08062	0.0396	0.4909
b0184	0.01459	0.0086	0.5876
b0185	0.01887	0.0077	0.409
b0186	0.04281	0.0261	0.6107
b0187	0.13882	0.034	0.2447
b0188	0.17255	0.1535	0.8895
b0189	0.09063	0.0256	0.2829
b4406	NA	NA	NA
b0190	0.09104	0.0389	0.4274
b0191	0.1659	0.0845	0.5095
b0192	0.0863	0.0796	0.9229
b0193	0.09319	0.0467	0.5015
b0194	0.03962	0.0215	0.5416
b0195	0.06645	0.0353	0.5309
b0196	0.07318	0.021	0.2863
b0197	0.03389	0.0105	0.3107
b0198	0.0334	0.0141	0.4226
b0199	NA	NA	NA
b0200	0.09037	0.026	0.2872
b0202	NA	NA	NA
b0203	999	0.0001	0
b0206	NA	NA	NA
b0207	0.26301	0.0712	0.2709
b0208	0.2434	0.1287	0.5288
b0209	0.03542	0.0118	0.3323
b0210	0.35822	0.191	0.5331
b0211	NA	NA	NA
b0212	0.20543	0.0497	0.2421
b0213	0.09093	0.0356	0.3914
b0214	0.0254	0.0174	0.684
b0215	0.06002	0.0233	0.3884
b0216	NA	NA	NA
b0217	NA	NA	NA
b4586	0.88337	7.3778	8.3519
b0218	NA	NA	NA
b4503	NA	NA	NA
b0219	0.12891	0.0821	0.6367
b0220	0.01439	0.0061	0.4232
b0221	0.06212	0.0354	0.5695
b0222	0.0205	0.0122	0.5951
b0223	0.04863	0.0271	0.5577
b0224	0.01432	0.0075	0.5233
b0225	NA	NA	NA
b0226	NA	NA	NA
b0227	0.05707	0.141	2.4705
b0228	0.01953	1.1175	57.2175
b0229	0.03076	0.0682	2.2162
b0230	0.05416	0.0654	1.2072
b0231	0.03511	0.0397	1.1318
b0232	NA	NA	NA
b0233	NA	NA	NA
b0234	0.41872	0.2852	0.6812
b0235	0.09431	1.2103	12.8327
b0236	NA	NA	NA
b0237	0.03199	0.0226	0.7056
b0238	0.10479	0.0077	0.0734
b0239	0.04707	0.0308	0.6542
b0240	0.15415	0.1046	0.6783
b0241	0.02978	0.032	1.0746
b0242	0.08144	0.0205	0.2517
b0243	0.06533	0.0639	0.9776
b0244	NA	NA	NA
b4626	NA	NA	NA
b0245	0.18009	0.5301	2.9435
b0246	NA	NA	NA
b4504	NA	NA	NA
b0247	0.04437	0.8854	19.9573
b0248	1.10784	3.9819	3.5943
b0249	0.23673	1.5471	6.5352
b0250	0.21601	0.7899	3.6569
b0251	NA	NA	NA
b4627	NA	NA	NA
b4628	NA	NA	NA
b0252	NA	NA	NA
b0253	NA	NA	NA
b0254	0.0001	0	0.0001
b4587	NA	NA	NA
b0256	NA	NA	NA
b4690	NA	NA	NA
b0258	NA	NA	NA
b0259	#N/A	#N/A	#N/A
b0260	0.49354	0.0011	0.0022
b0261	999	0.0017	0
b0262	NA	NA	NA
b0263	NA	NA	NA
b0264	0.30251	0.0026	0.0087
b0265	NA	NA	NA
b4708	999	0.0139	0
b4505	NA	NA	NA
b0266	0.09024	0.2341	2.5937
b0267	1.13748	2.796	2.4581
b0268	0.0001	0	0.0001
b0269	NA	NA	NA
b0270	999	0.0009	0
b0271	NA	NA	NA
b0272	0.0001	0	0.0001
b0273	999	0.0013	0
b4688	NA	NA	NA
b0274	2.24998	1.5293	0.6797
b0275	NA	NA	NA
b0276	0.0001	0	0
b0277	0.72111	4.4308	6.1444
