Gene,Bnb,Left,Right,Product,ECKnb,Synonyms,Object ID,Activated,Activated_Bnb,Inhibited,Inhibited_Bnb
thiD,b2103,2183716,2184516,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,ECK2096,"thiD,thiA,thiJ,b2103,ECK2096",G7135,,,,
pal,b0741,779067,779588,peptidoglycan-associated outer membrane lipoprotein Pal,ECK0730,"pal,excC,b0741,ECK0730",EG10684,,,,
malS,b3571,3737497,3739527,alpha-amylase,ECK3560,"malS,b3571,ECK3560",EG11316,,,,
frvR,b3897,4088107,4089855,putative DNA-binding transcriptional regulator FrvR,ECK3890,"frvR,yiiH,b3897,ECK3890",EG11861,,,,
mepH,b1655,1734435,1735250,"peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase MepH",ECK1651,"mepH,ydhO,b1655,ECK1651",G6892,,,,
thiI,b0423,441549,442997,tRNA uridine 4-sulfurtransferase,ECK0417,"thiI,nuvA,yajK,b0423,ECK0417",G6238,,,,
ybeU,b0648,679508,680215,DUF1266 domain-containing protein YbeU,ECK0641,"ybeU,b0648,ECK0641",G6355,,,,
holE,b1842,1925108,1925338,DNA polymerase III subunit &theta;,ECK1843,"holE,b1842,ECK1843",EG11505,,,,
uhpT,b3666,3845776,3847167,hexose-6-phosphate:phosphate antiporter,ECK3657,"uhpT,b3666,ECK3657",EG11054,,,,
rsxC,b1629,1706919,1709141,SoxR [2Fe-2S] reducing system protein RsxC,ECK1625,"rsxC,ydgN,b1629,ECK1625",G6873,,,,
yahK,b0325,342884,343933,"aldehyde reductase, NADPH-dependent",ECK0323,"yahK,b0325,ECK0323",G6190,,,,
thiS,b4407,4192637,4192837,sulfur carrier protein ThiS,ECK3983,"thiS,thiG1,b4407,ECK3983",G1,,,,
btuB,b3966,4163639,4165483,cobalamin outer membrane transporter,ECK3958,"btuB,bfe,cer,b3966,ECK3958",EG10126,,,,
rbsB,b3751,3936278,3937168,ribose ABC transporter periplasmic binding protein,ECK3745,"rbsB,prlB,rbsP,b3751,ECK3745",EG10815,,,,
fimZ,b0535,563848,564480,putative LuxR family transcriptional regulator FimZ,ECK0528,"fimZ,ybcA,b0535,ECK0528",EG11103,,,,
ldtD,b0925,981047,982894,"L,D-transpeptidase LdtD",ECK0916,"ldtD,ycbB,b0925,ECK0916",EG11253,,,,
panE,b0425,443604,444515,2-dehydropantoate 2-reductase,ECK0419,"panE,apbA,b0425,ECK0419",G6239,,,,
kilS,b4833,1418405,1418502,Rac prophage; small RNA KilS,ECK4690,"kilS,b4833,ECK4690",G0-17108,,,,
dnaG,b3066,3211107,3212852,DNA primase,ECK3056,"dnaG,dnaP,parB,sdgA,b3066,ECK3056",EG10239,,,,
mdh,b3236,3383330,3384268,malate dehydrogenase,ECK3225,"mdh,b3236,ECK3225",EG10576,,,,
nupG,b2964,3105714,3106970,nucleoside:H<sup>+</sup> symporter NupG,ECK2959,"nupG,gru,b2964,ECK2959",EG10664,,,,
ypeD,b4819,2512687,2512776,protein YpeD,ECK4676,"ypeD,b4819,ECK4676",G0-17094,,,,
panC,b0133,147944,148795,pantothenate synthetase,ECK0132,"panC,b0133,ECK0132",EG11746,,,,
yfjW,b2642,2773318,2775021,CP4-57 prophage; uncharacterized protein YfjW,ECK2638,"yfjW,b2642,ECK2638",G7377,,,,
lacY,b0343,361926,363179,lactose permease,ECK0340,"lacY,b0343,ECK0340",EG10526,,,,
osmE,b1739,1821918,1822256,osmotically-inducible lipoprotein OsmE,ECK1737,"osmE,anr,b1739,ECK1737",EG10044,,,,
mepM,b1856,1940313,1941635,peptidoglycan endopeptidase MepM,ECK1857,"mepM,yebA,b1856,ECK1857",EG10013,,,,
coaA,b3974,4174076,4175026,pantothenate kinase,ECK3966,"coaA,panK,rts,ts-9,b3974,ECK3966",EG10922,,,,
naRNA2,,4326205,4326281,naRNA2,,naRNA2,G0-16695,,,,
holC,b4259,4483837,4484280,DNA polymerase III subunit &chi;,ECK4252,"holC,b4259,ECK4252",EG11413,,,,
fucA,b2800,2933041,2933688,L-fuculose-phosphate aldolase,ECK2795,"fucA,fucC,prd,b2800,ECK2795",EG10348,,,,
ydcV,b1443,1514762,1515556,putative ABC transporter membrane subunit YdcV,ECK1437,"ydcV,b1443,ECK1437",G6754,,,,
pmrR,b4703,4332116,4332205,small regulatory membrane protein PmrR,ECK4515,"pmrR,b4703,ECK4515",G0-10707,,,,
dfp,b3639,3812731,3813951,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,ECK3629,"dfp,coaBC,b3639,ECK3629",EG10004,,,,
