Order,rowname,ProbeName,Count,Count.gbkey,Gbleys,IDs,ECKnbs,JWnbs,Bnbs,IStag,Starts,Ends,ECKnb,JWnb,Bnb,ID,IS_inserted
1,1782,arpB,1,3,"CDS,CDS,CDS","cds-arpB,cds-arpB-2,cds-arpB-3",ECK1718,"JW5278+JW1710,JW5278,JW1710","b4494,b1720,b1721",F,,,ECK1718,JW5278+JW1710,b4494,,F
2,1780,arpB_1,1,NA,NA,NA,NA,NA,NA,F,1804910,1804969,ECK1718,JW5278,b1720,cds-arpB-2,F
3,1781,arpB_2,1,NA,NA,NA,NA,NA,NA,F,1806308,1806367,ECK1718,JW1710,b1721,cds-arpB-3,F
4,664,dcuC,3,3,"CDS,CDS,misc_feature","cds-BAA35263.1,cds-BAA35264.1,id-dcuC",ECK0614,"JW0613,JW0616,JW0613+JW0616",b0621,F,,,ECK0614,JW0616,b0621,,T in W3110
5,1472,gapC,1,3,"CDS,CDS,CDS","cds-gapC,cds-gapC-2,cds-gapC-3",ECK1409,"JW5906+JW1413,JW1413,JW5906","b4493,b1416,b1417",F,,,ECK1409,JW5906+JW1413,b4493,,F
6,1471,gapC_1,1,NA,NA,NA,NA,NA,NA,F,1492312,1492371,ECK1409,JW5906,b1417,cds-gapC-3,F
7,1470,gapC_2,1,NA,NA,NA,NA,NA,NA,F,1491588,1491647,ECK1409,JW1413,b1416,cds-gapC-2,F
8,2161,gatA,3,3,"CDS,CDS,misc_feature","cds-BAA15957.2,cds-BAA15964.1,id-gatA",ECK2087,"JW2078,JW2081,JW2078+JW2081",b2094,F,,,ECK2087,JW2078,b2094,,T in W3110
9,2157,gatR,1,3,"CDS,CDS,CDS","cds-gatR,cds-gatR-2,cds-gatR-3",ECK2083,"JW5340+JW2074,JW5340,JW2074","b4498,b2087,b2090",F,,,ECK2083,JW5340+JW2074,b4498,,T
10,2155,gatR_1,1,NA,NA,NA,NA,NA,NA,F,2172186,2172245,ECK2083,JW5340,b2087,cds-gatR-2,F
11,2156,gatR_2,1,NA,NA,NA,NA,NA,NA,F,2173766,2173825,ECK2083,JW2074,b2090,cds-gatR-3,F
12,3833,ilvG,1,3,"CDS,CDS,CDS","cds-ilvG,cds-ilvG-2,cds-ilvG-3",ECK3760,"JW3740+JW3741,JW3741,JW3740","b4488,b3768,b3767",F,,,ECK3760,JW3740+JW3741,b4488,,F
13,3831,ilvG_1,1,NA,NA,NA,NA,NA,NA,F,3685678,3685737,ECK3760,JW3740,b3767,cds-ilvG-3,F
14,3832,ilvG_2,1,NA,NA,NA,NA,NA,NA,F,3684565,3684624,ECK3760,JW3741,b3768,cds-ilvG-2,F
15,38,insA,1,7,"CDS,CDS,CDS,CDS,CDS,CDS,CDS","cds-BAE76034.1,cds-BAE76051.1,cds-BAE76059.1,cds-BAA35753.1,cds-BAA16126.1,cds-BAE77849.1,cds-BAE78285.1",ECK0023,"JW0021,JW0257,JW0269,JW0971,JW2286,JW3408,JW4254","b0022,b0265,b0275,b4516,NA,b3444,b4294",T,,,NA,NA,NA,,
16,32,insA-1,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
17,33,insA-2,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
18,34,insA-3,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
19,37,insA-4,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
20,35,insA-6,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
21,36,insA-7,1,NA,NA,NA,NA,NA,NA,T,4523404,4523463,ECK0023,JW4254,b4294,gene-insA-7,
22,31,insB,1,9,"CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS","cds-BAE76033.1,cds-BAE76050.1,cds-BAE76058.1,cds-BAA35754.1,cds-BAA16125.1,cds-BAE77848.1,cds-insB,cds-insB-2,cds-insB-3",ECK0022,"JW0020,JW0256,JW0268,JW0972,JW2285,JW3409,JW4255+JW4256,JW4255,JW4256","b0021,b0264,b0274,b0988,NA,b3445,b4576,b4563,b4564",T,,,NA,NA,NA,,
23,23,insB-1,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
24,24,insB-2,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
25,25,insB-3,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
26,26,insB-4,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
27,27,insB-6,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
28,30,insB-7,1,NA,NA,NA,NA,NA,NA,T,4523437,4523496,ECK0022,JW4255+JW4256,b4576,cds-insB-2,
29,28,insB-7_1,1,NA,NA,NA,NA,NA,NA,T,4523497,4523556,ECK0022,JW4255,b4563,cds-insB-2,
