b_number,Gene.Name,MDS42CDS_length_bp,leftpos_mds42,rightpos_mds42,ave_pos,Strand,dNdS,dN,dS,lin_expression_NRG,protein_sequence_pecentage_difference_NRG,lin_average expression level_Shibai,lin_variance of  expression level_Shibai,lin_ave_M3DB,lin_sd_M3DB,lin_var_M3DB,syn.num,syn.tube,nons.num,nons.tube,inac.num,inac.tube,lin_Mean_Protein_n,lin_SD_Protein_n,lin_Noise_Protein_n,RunmedNoise_protein_n,SmoothSpline_n,SM_n,log10SmoothSpline_n,log10SM_n,lin_ave_protein_copy_schmidt,lin_var_protein_copy_schmidt,RunmedVar_env_protein,SmoothSpline_schmidt,log10SmoothSpline_schmidt,log10SM_schmidt,Essentiality,dN.dS.inter.species,dN.inter.species,dS.inter.species,alpha_max,Odmax,Ins_index_score,1R172,2R172,3R172,4R172,5R172,6R172,1R268,2R268,3R268,4R268,5R268,6R268,ANC,linaveR172,linaveR268
b0001,thrL,66,190,255,222.5,plus,4.25146,35.6766,8.3916,NA,NA,677.9255123,1034855.507,616.2272476,726.4632037,527748.7884,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.31601,0.0791,0.2504,0.010726165,0.644179317,0.393939394,12321.61588,24257.71962,11195.99273,26430.18846,26263.99154,13696.27881,12475.25458,18702.87231,7359.709462,20736.755,9086.313269,21399.76692,20124.17192,19027.63117,14960.11192
b0002,thrA,2463,337,2799,1568,plus,0.02595,0.0185,0.712,42.17051403,0.054878049,2054.00409,3293180.56,1148.275279,1325.908244,1758032.669,3,3,9,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4580.153437,7109035.025,3301937.557,3758707.11,6.575038485,0.276772168,2,0.02853,0.0322,1.1277,0.009959813,0.443429192,0.219244823,18492.01962,19228.99385,14402.10358,24257.71962,15579.59885,7208.265308,17698.47308,19128.63115,15724.12038,40838.17962,4567.642538,8154.008385,12267.16565,16528.1168,17685.17586
b0003,thrB,933,2801,3733,3267,plus,0.04499,0.0256,0.568,48.32545397,0.067961165,1583.64682,4073021.457,832.6919285,875.9981692,767372.7909,2,1,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,526.6958431,112503.9415,74691.33641,55728.97865,4.746081084,0.305086654,2,0.03048,0.0367,1.2042,0.010081741,0.563632913,0.265809218,18154.23385,23046.62846,15151.04615,25904.66346,16173.15808,8154.008385,17016.14115,24257.71962,16173.15808,38454.21577,5539.194423,11195.99273,12321.61588,17763.9564,18772.73696
b0004,thrC,1287,3734,5020,4377,plus,0.04581,0.0225,0.4922,32.97784262,0.065420561,1210.279862,940848.7343,893.7966407,962.2376283,925901.2533,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8924.753984,24884917.23,17806625.86,17508443.66,7.243247543,0.152688657,2,0.02713,0.0396,1.4592,0.011021745,0.332478504,0.205905206,15885.64731,17388.03577,9807.620731,20613.20885,12355.80188,6575.916577,13261.27246,17894.585,10314.51335,25386.61692,4338.932731,7421.465154,10114.34638,13771.03852,13102.8976
b0005,yaaX,297,5234,5530,5382,plus,NA,NA,NA,NA,NA,285.1682989,212151.2075,348.7265431,291.9681725,85245.41409,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.009304207,0.662855869,0.225589226,1441.291596,1185.447815,660.5071269,1455.423192,447.5031846,613.2398154,1002.462669,1464.478627,584.1062385,1869.795269,261.0916615,515.1169846,534.1322577,967.2354551,949.508575
b0006,yaaA,777,5683,6459,6071,minus,0.11109,0.0377,0.3391,33.12517123,0.13618677,438.5369977,71677.36443,395.3266025,98.61087316,9724.104306,0,0,3,3,0,0,14.738,6.95,0.202634245,0.188857413,0.186201854,0.016432391,-0.730015999,0.036728841,548.8654527,65612.40151,52124.56064,59276.14215,4.772879931,0.044106003,2,0.06143,0.0727,1.1827,0.010550262,0.642250117,0.208494208,709.6929,653.5722192,268.8026154,891.4060538,875.1813577,884.5748231,769.6905192,567.2890231,304.2184038,961.2016346,553.5500308,784.1439923,1021.118,713.8716615,656.6822673
b0007,yaaJ,1431,6529,7959,7244,minus,NA,NA,NA,3.051329359,0.237394958,133.6376943,6086.176909,190.3808141,62.83690933,3948.47717,4,4,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.06489,0.1563,2.4092,0.009703581,0.679747873,0.238993711,471.5665038,133.9029362,124.0090112,137.6919904,119.9273204,350.0109038,582.1471308,177.9899962,117.0737085,268.8026154,181.7490423,309.0073654,124.7118935,222.8514443,272.7949764
b0008,talB,954,8238,9191,8714.5,plus,0.02754,0.0081,0.2927,152.9591612,0.05362776,3118.716787,2412635.634,3162.471307,1392.978562,1940389.279,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10541.36779,16174201.59,26326000.55,27988195.38,7.446974897,-0.238152045,2,0.04405,0.0253,0.5736,0.009370015,0.638337587,0.259958071,6079.617885,7638.718346,5344.420385,5114.0475,7483.628692,7778.424269,6125.786692,9559.413808,4968.292346,4689.5445,6185.987308,9402.060077,4448.718,6573.142846,6821.847455
b0009,mog,588,9306,9893,9599.5,plus,0.08277,0.0219,0.2642,24.8423369,0.092307692,550.8589133,97272.4539,700.8482022,242.5346867,58823.07448,1,1,3,2,0,0,21.221,8.629,0.166112957,0.166666667,0.173072425,-0.006959468,-0.76177212,-0.01782437,39.50112526,1804.579784,459.246665,533.4682232,2.727108555,0.529267533,2,0.03483,0.058,1.6657,0.009917397,0.643086475,0.239795918,935.9201423,1884.757885,2025.592308,938.8088731,1002.462669,1205.720373,1116.619085,2039.521231,1535.5245,1137.8468,1150.664738,1232.722523,845.1066385,1332.210375,1368.816479
b0010,yaaH,567,9928,10494,10211,minus,0.07069,0.016,0.2257,NA,NA,229.9265686,65758.16113,360.3429511,134.8032617,18171.91936,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.08198,0.0487,0.5941,NA,NA,NA,200.7791115,400.5262308,366.1050038,266.0487231,427.2824923,290.1855692,466.0231846,315.7229346,403.0456423,239.6038231,594.4961731,303.3291385,249.9305885,325.1545218,387.036816
b0011,yaaW,714,10643,11356,10999.5,minus,0.1353,0.051,0.3772,2.141486064,0.126582278,171.278267,117914.5764,301.6802929,72.6486687,5277.829064,0,0,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.04745,0.0761,1.6047,0.009419249,0.645024624,0.219887955,107.6405577,85.01738769,86.53529769,81.59575154,107.6405577,100.4782938,176.8778962,82.72860962,97.75667615,85.15604885,119.1396785,105.8186569,85.69844115,94.81797436,111.246261
b0013,yaaI,405,11382,11786,11584,minus,0.16205,0.0672,0.4144,1.616806673,0.186567164,84.75683288,8201.090096,188.8370597,47.84354538,2289.004834,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.0495,0.1058,2.1369,0.009888455,0.64996199,0.261728395,155.7201254,88.36031192,93.93092077,85.53511962,69.54403577,79.50226923,320.5327692,38.14222538,99.25609615,69.00882231,83.77854077,81.77087192,63.34975308,95.43213045,115.4148876
b0014,dnaK,1917,12163,14079,13121,plus,0.02376,0.0049,0.206,218.4998925,0.031347962,3775.662087,5381400.639,3331.540705,2196.953179,4826603.263,2,2,2,2,0,0,2435.911,912.887,0.130548303,0.146627566,0.146660006,-0.016111703,-0.8336883,-0.050540469,22675.12777,163650800,190531977,163960593.4,8.214739481,-0.000821349,2,0.04505,0.0168,0.3731,0.010042591,0.60092987,0.053208138,7622.349654,7421.465154,8067.355769,18423.72077,31898.69269,7386.196154,9704.391808,13561.72385,18059.92115,6823.403615,67002.76615,17307.72154,7089.525731,13469.96337,22076.65469
b0015,dnaJ,1131,14168,15298,14733,plus,0.03672,0.0138,0.3756,40.03000745,0.039893617,1404.62719,870704.2153,1338.220833,853.4654167,728403.2146,3,3,3,2,0,0,68.948,26.625,0.140548138,0.139664804,0.139351723,0.001196415,-0.855887658,0.003712754,771.7644932,184526.6591,89607.39109,101792.3969,5.007715341,0.258343778,2,0.02619,0.0221,0.8424,0.011585793,0.645414471,0.224580018,1685.023038,1858.991,2009.390692,4072.534308,4992.631615,1381.228288,1714.610846,3483.171231,2752.004538,2997.892462,18702.87231,2958.423423,1559.518846,2666.633157,5434.829135
b0016,insL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162.720207,2297887.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.281221923,19.21143954,23.30696796,25.16980427,19.95408531,22.85604219,19.361066,21.13214623,20.56033981,11.21003523,22.11625577,12.60165577,24.01284504,20.2619155,21.64323421,18.60554631
b0018,hokC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.02417161,71.00505019,5041.717153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.359477124,16.04370358,25.64728162,39.30950615,38.55661038,24.81427008,36.36706731,25.60020158,41.97336731,11.28066162,23.06570081,15.09486138,29.51257158,29.74444738,30.12307319,24.42122738
b0019,nhaA,NA,NA,NA,NA,NA,0.04061,0.0271,0.6662,56.96020672,0.077319588,515.6282473,257971.8238,731.5282976,590.776618,349017.0138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.02238,0.0451,2.0139,0.009834183,0.611737135,0.285347044,25.76428677,17.32853692,20.2619155,21.43773896,20.44083246,24.218395,29.61906381,38.74684692,18.18897715,16.14987435,24.06861946,24.26715973,21.91462969,21.57528427,25.17342357
b0020,nhaR,NA,NA,NA,NA,NA,0.03489,0.043,1.2319,22.79838156,0.080267559,571.7863034,334790.113,354.1831283,145.1368315,21064.69984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.02146,0.0459,2.1368,0.010302246,0.5568794,0.270419426,15.42430046,10.89604958,13.75411346,13.20726704,11.78744988,11.55314742,10.81414408,16.78731169,12.03904546,12.70364638,13.07421708,13.38010208,11.63050227,12.77038797,13.13307779
b0021,insB1,NA,NA,NA,NA,NA,1.03249,0.1491,0.1444,NA,NA,761.2441514,2633795.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.357142857,25.10319112,21.72400315,29.74444738,18.83518838,26.8640145,43.16134269,25.76428677,25.60020158,12.13912423,22.87416581,16.44294627,20.7857865,22.87416581,27.57203121,20.60108519
b0022,insA,NA,NA,NA,NA,NA,0.53412,0.8675,1.6241,NA,NA,658.9518278,569144.2846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.311594203,19.75615588,13.15105954,14.59968423,13.85830754,13.97062392,15.09486138,11.03207481,14.03953835,20.09811827,12.62998877,13.99866915,13.97062392,11.00268381,15.07178208,14.29483554
b0023,rpsT,264,15640,15903,15771.5,minus,NA,NA,NA,462.7973178,0.022988506,2408.185411,2155925.483,2012.084791,1595.101209,2544347.856,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21740.88882,218784369.3,182307008,152418953.1,8.183038974,0.156977317,2,0.8376,0.011,0.0132,0.006965852,0.507941089,0,36365.96077,36365.96077,35483.82192,45096.99769,40148.26346,38454.21577,29776.22423,29980.09769,27029.33,35076.69615,32136.83462,35076.69615,34740.55192,38652.53673,31512.64647
