Start	End	Biotype	Strand	Name	Locus_tag	Product	ECKnb
190	255	protein_coding	D	thrL	b0001		ECK0001
337	2799	protein_coding	D	thrA	b0002		ECK0002
2801	3733	protein_coding	D	thrB	b0003		ECK0003
3734	5020	protein_coding	D	thrC	b0004		ECK0004
5234	5530	protein_coding	D	yaaX	b0005		ECK0005
5683	6459	protein_coding	C	yaaA	b0006		ECK0006
6529	7959	protein_coding	C	yaaJ	b0007		ECK0007
8238	9191	protein_coding	D	talB	b0008		ECK0008
9306	9893	protein_coding	D	mog	b0009		ECK0009
9928	10494	protein_coding	C	satP	b0010		ECK0010
10643	11356	protein_coding	C	yaaW	b0011		ECK0011
10830	11315	protein_coding	D	mbiA	b0012		ECK0012
11382	11786	protein_coding	C	yaaI	b0013		ECK0013
12163	14079	protein_coding	D	dnaK	b0014		ECK0014
14168	15298	protein_coding	D	dnaJ	b0015		ECK0015
15445	16557	protein_coding	D	insL1	b0016		ECK0016
16751	16960	protein_coding	C	mokC	b0018		ECK0018
16751	16903	protein_coding	C	hokC	b4412		ECK0017
16952	17010	ncRNA	D	sokC	b4413		ECK0019
17489	18655	protein_coding	D	nhaA	b0019		ECK0020
18715	19620	protein_coding	D	nhaR	b0020		ECK0021
19811	20314	protein_coding	C	insB1	b0021		ECK0022
20233	20508	protein_coding	C	insA1	b0022		ECK0023
20815	21078	protein_coding	C	rpsT	b0023		ECK0024
21181	21399	protein_coding	D	yaaY	b0024		ECK0025
21407	22348	protein_coding	D	ribF	b0025		ECK0026
22391	25207	protein_coding	D	ileS	b0026		ECK0027
25207	25701	protein_coding	D	lspA	b0027		ECK0028
25826	26275	protein_coding	D	fkpB	b0028		ECK0029
26277	27227	protein_coding	D	ispH	b0029		ECK0030
27293	28207	protein_coding	D	rihC	b0030		ECK0031
28374	29195	protein_coding	D	dapB	b0031		ECK0032
29651	30799	protein_coding	D	carA	b0032		ECK0033
30817	34038	protein_coding	D	carB	b0033		ECK0034
34300	34695	protein_coding	D	caiF	b0034		ECK0035
34781	35371	protein_coding	C	caiE	b0035		ECK0036
35377	36162	protein_coding	C	caiD	b0036		ECK0037
36271	37824	protein_coding	C	caiC	b0037		ECK0038
37898	39115	protein_coding	C	caiB	b0038		ECK0039
39244	40386	protein_coding	C	caiA	b0039		ECK0040
40417	41931	protein_coding	C	caiT	b0040		ECK0041
42403	43173	protein_coding	D	fixA	b0041		ECK0042
43188	44129	protein_coding	D	fixB	b0042		ECK0043
